Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Rb1,Rb1_1_-1_-1_-1,9.11984505937875,0.5,0.5,0.5
Rb2,Rb1_1_-1_-1_-1,14.1773752957108,0.75,1,0.5
Si1,Rb1_1_-1_-1_-1,14.1773752957108,0.75,0.5,1
Al1,Rb1_1_-1_-1_-1,14.1773752957108,0.75,0.5,1
Si2,Rb1_1_-1_-1_-1,12.4880409557789,0.684663,0.684663,0.684663
Al2,Rb1_1_-1_-1_-1,12.4880409557789,0.684663,0.684663,0.684663
Si3,Rb1_1_-1_-1_-1,11.9026710533539,0.5,0.803489,0.618019
Al3,Rb1_1_-1_-1_-1,11.9026710533539,0.5,0.803489,0.618019
Rb1,Rb1_25_-1_-1_-1,18.2396901187575,1,1,1
Rb2,Rb1_25_-1_-1_-1,23.1016074311666,1.25,1.5,1
Si1,Rb1_25_-1_-1_-1,23.1016074311666,1.25,1,1.5
Al1,Rb1_25_-1_-1_-1,23.1016074311666,1.25,1,1.5
Si2,Rb1_25_-1_-1_-1,21.6078860151576,1.184663,1.184663,1.184663
Al2,Rb1_25_-1_-1_-1,21.6078860151576,1.184663,1.184663,1.184663
Si3,Rb1_25_-1_-1_-1,20.9268156111914,1,1.303489,1.118019
Al3,Rb1_25_-1_-1_-1,20.9268156111914,1,1.303489,1.118019
Rb1,Rb2_1_-1_-1_-1,12.0644210112786,0.5,1,0.25
Rb2,Rb2_1_-1_-1_-1,17.8556536324994,0.75,1.5,0.25
Si1,Rb2_1_-1_-1_-1,15.3509867023821,0.75,1,0.75
Al1,Rb2_1_-1_-1_-1,15.3509867023821,0.75,1,0.75
Si2,Rb2_1_-1_-1_-1,15.118498235995,0.684663,1.184663,0.434663
Al2,Rb2_1_-1_-1_-1,15.118498235995,0.684663,1.184663,0.434663
Si3,Rb2_1_-1_-1_-1,15.2040757158075,0.5,1.303489,0.368019
Al3,Rb2_1_-1_-1_-1,15.2040757158075,0.5,1.303489,0.368019
Rb1,Rb2_2_-1_-1_-1,14.1773752957108,1,0.75,0.5
Rb2,Rb2_2_-1_-1_-1,19.346112854572,1.25,1.25,0.5
Si1,Rb2_2_-1_-1_-1,18.6158057739334,1.25,0.75,1
Al1,Rb2_2_-1_-1_-1,18.6158057739334,1.25,0.75,1
Si2,Rb2_2_-1_-1_-1,17.449784754729,1.184663,0.934663,0.684663
Al2,Rb2_2_-1_-1_-1,17.449784754729,1.184663,0.934663,0.684663
Si3,Rb2_2_-1_-1_-1,16.623108807772,1,1.053489,0.618019
Al3,Rb2_2_-1_-1_-1,16.623108807772,1,1.053489,0.618019
Rb1,Rb2_3_-1_-1_-1,12.0644210112786,0.25,0.5,1
Rb2,Rb2_3_-1_-1_-1,15.796035,0.5,1,1
Si1,Rb2_3_-1_-1_-1,17.4631737567739,0.5,0.5,1.5
Al1,Rb2_3_-1_-1_-1,17.4631737567739,0.5,0.5,1.5
Si2,Rb2_3_-1_-1_-1,15.118498235995,0.434663,0.684663,1.184663
Al2,Rb2_3_-1_-1_-1,15.118498235995,0.434663,0.684663,1.184663
Si3,Rb2_3_-1_-1_-1,14.7356719089847,0.25,0.803489,1.118019
Al3,Rb2_3_-1_-1_-1,14.7356719089847,0.25,0.803489,1.118019
Rb1,Rb2_4_-1_-1_-1,14.1773752957108,0.5,1,0.75
Rb2,Rb2_4_-1_-1_-1,19.346112854572,0.75,1.5,0.75
Si1,Rb2_4_-1_-1_-1,18.6158057739334,0.75,1,1.25
Al1,Rb2_4_-1_-1_-1,18.6158057739334,0.75,1,1.25
Si2,Rb2_4_-1_-1_-1,17.449784754729,0.684663,1.184663,0.934663
Al2,Rb2_4_-1_-1_-1,17.449784754729,0.684663,1.184663,0.934663
Si3,Rb2_4_-1_-1_-1,17.3118283923057,0.5,1.303489,0.868019
Al3,Rb2_4_-1_-1_-1,17.3118283923057,0.5,1.303489,0.868019
