Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Sr1,Sr1_1_-1_-1_-1,17.754906418227,1,1,1
Sr2,Sr1_1_-1_-1_-1,22.4876012355698,1.25,1.5,1
Si1,Sr1_1_-1_-1_-1,22.4876012355698,1.25,1,1.5
Si2,Sr1_1_-1_-1_-1,21.0283193481909,1.1843,1.1844,1.1844
Si3,Sr1_1_-1_-1_-1,20.3984473226673,1,1.3067,1.1191
Sr1,Sr1_2_-1_-1_-1,8.87745320911352,0.5,0.5,0.5
Sr2,Sr1_2_-1_-1_-1,13.8005618512436,0.75,1,0.5
Si1,Sr1_2_-1_-1_-1,13.8005618512436,0.75,0.5,1
Si2,Sr1_2_-1_-1_-1,12.1508661512468,0.6843,0.6844,0.6844
Si3,Sr1_2_-1_-1_-1,11.6157879992328,0.5,0.8067,0.6191
Sr1,Sr2_1_-1_-1_-1,13.8005618512436,0.75,0.5,1
Sr2,Sr2_1_-1_-1_-1,17.754906418227,1,1,1
Si1,Sr2_1_-1_-1_-1,19.1774907701712,1,0.5,1.5
Si2,Sr2_1_-1_-1_-1,16.9808554003474,0.9343,0.6844,1.1844
Si3,Sr2_1_-1_-1_-1,16.096203274044,0.75,0.8067,1.1191
Sr1,Sr2_2_-1_-1_-1,11.7437667334633,1,0.25,0.5
Sr2,Sr2_2_-1_-1_-1,15.7975437654086,1.25,0.75,0.5
Si1,Sr2_2_-1_-1_-1,16.6081941878098,1.25,0.25,1
Si2,Sr2_2_-1_-1_-1,14.7114987878346,1.1843,0.4344,0.6844
Si3,Sr2_2_-1_-1_-1,13.338649220966,1,0.5567,0.6191
Sr1,Sr2_3_-1_-1_-1,11.7437667334633,0.25,0.5,1
Sr2,Sr2_3_-1_-1_-1,15.3762,0.5,1,1
Si1,Sr2_3_-1_-1_-1,16.9990287004876,0.5,0.5,1.5
Si2,Sr2_3_-1_-1_-1,14.7120344758825,0.4343,0.6844,1.1844
Si3,Sr2_3_-1_-1_-1,14.3717886680589,0.25,0.8067,1.1191
Sr1,Sr2_4_-1_-1_-1,13.8005618512436,1,0.75,0.5
Sr2,Sr2_4_-1_-1_-1,18.8319220914914,1.25,1.25,0.5
Si1,Sr2_4_-1_-1_-1,18.1210254814677,1.25,0.75,1
Si2,Sr2_4_-1_-1_-1,16.9807006976295,1.1843,0.9344,0.6844
Si3,Sr2_4_-1_-1_-1,16.2076127849312,1,1.0567,0.6191
Sr1,Sr2_8_-1_-1_-1,13.8005618512436,0.5,1,0.75
Sr2,Sr2_8_-1_-1_-1,18.8319220914914,0.75,1.5,0.75
Si1,Sr2_8_-1_-1_-1,18.1210254814677,0.75,1,1.25
Si2,Sr2_8_-1_-1_-1,16.9810101016559,0.6843,1.1844,0.9344
Si3,Sr2_8_-1_-1_-1,16.8836610405599,0.5,1.3067,0.8691
Sr1,Sr2_10_-1_-1_-1,11.7437667334633,0.5,1,0.25
Sr2,Sr2_10_-1_-1_-1,17.3810770477551,0.75,1.5,0.25
Si1,Sr2_10_-1_-1_-1,14.9429804209201,0.75,1,0.75
Si2,Sr2_10_-1_-1_-1,14.7118559153672,0.6843,1.1844,0.4344
Si3,Sr2_10_-1_-1_-1,14.8325204448299,0.5,1.3067,0.3691
Sr1,Si1_1_-1_-1_-1,13.8005618512436,0.75,1,0.5
Sr2,Si1_1_-1_-1_-1,19.1774907701712,1,1.5,0.5
Si1,Si1_1_-1_-1_-1,17.754906418227,1,1,1
Si2,Si1_1_-1_-1_-1,16.9808554003474,0.9343,1.1844,0.6844
Si3,Si1_1_-1_-1_-1,16.6973219888523,0.75,1.3067,0.6191
Sr1,Si1_2_-1_-1_-1,11.7437667334633,0.5,0.25,1
Sr2,Si1_2_-1_-1_-1,14.9429804209201,0.75,0.75,1
