Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
K1,K1_1_-1_-1_-1,8.89111908998524,0.5,0.5,0.5
K2,K1_1_-1_-1_-1,13.8218063264077,0.75,1,0.5
Si1,K1_1_-1_-1_-1,11.6199731302259,0.5,0.8059,0.6177
Si2,K1_1_-1_-1_-1,12.1754984818258,0.6847,0.6847,0.6847
Si3,K1_1_-1_-1_-1,13.8218063264077,0.75,0.5,1
K1,K1_25_-1_-1_-1,17.7822381799705,1,1,1
K2,K1_25_-1_-1_-1,22.5222184700781,1.25,1.5,1
Si1,K1_25_-1_-1_-1,20.4163743209755,1,1.3059,1.1177
Si2,K1_25_-1_-1_-1,21.066617571811,1.1847,1.1847,1.1847
Si3,K1_25_-1_-1_-1,22.5222184700781,1.25,1,1.5
K1,K2_1_-1_-1_-1,11.7618449945799,0.5,1,0.25
K2,K2_1_-1_-1_-1,17.4078333395386,0.75,1.5,0.25
Si1,K2_1_-1_-1_-1,14.8442750888702,0.5,1.3059,0.3677
Si2,K2_1_-1_-1_-1,14.7399354947147,0.6847,1.1847,0.4347
Si3,K2_1_-1_-1_-1,14.9659835261452,0.75,1,0.75
K1,K2_2_-1_-1_-1,13.8218063264077,1,0.75,0.5
K2,K2_2_-1_-1_-1,18.8609118025972,1.25,1.25,0.5
Si1,K2_2_-1_-1_-1,16.2214501384895,1,1.0559,0.6177
Si2,K2_2_-1_-1_-1,17.012786457336,1.1847,0.9347,0.6847
Si3,K2_2_-1_-1_-1,18.1489208439855,1.25,0.75,1
K1,K2_3_-1_-1_-1,11.7618449945799,0.25,0.5,1
K2,K2_3_-1_-1_-1,15.39987,0.5,1,1
Si1,K2_3_-1_-1_-1,14.3777142901681,0.25,0.8059,1.1177
Si2,K2_3_-1_-1_-1,14.7399354947147,0.4347,0.6847,1.1847
Si3,K2_3_-1_-1_-1,17.0251968700835,0.5,0.5,1.5
K1,K2_4_-1_-1_-1,13.8218063264077,0.5,1,0.75
K2,K2_4_-1_-1_-1,18.8609118025972,0.75,1.5,0.75
Si1,K2_4_-1_-1_-1,16.8955535280901,0.5,1.3059,0.8677
Si2,K2_4_-1_-1_-1,17.012786457336,0.6847,1.1847,0.9347
Si3,K2_4_-1_-1_-1,18.1489208439855,0.75,1,1.25
K1,K2_5_-1_-1_-1,11.7618449945799,1,0.25,0.5
K2,K2_5_-1_-1_-1,15.8218623786503,1.25,0.75,0.5
Si1,K2_5_-1_-1_-1,13.3488365393952,1,0.5559,0.6177
Si2,K2_5_-1_-1_-1,14.7399354947147,1.1847,0.4347,0.6847
Si3,K2_5_-1_-1_-1,16.633760709865,1.25,0.25,1
K1,K2_6_-1_-1_-1,13.8218063264077,0.75,0.5,1
K2,K2_6_-1_-1_-1,17.7822381799705,1,1,1
Si1,K2_6_-1_-1_-1,16.1065204391856,0.75,0.8059,1.1177
Si2,K2_6_-1_-1_-1,17.012786457336,0.9347,0.6847,1.1847
Si3,K2_6_-1_-1_-1,19.2070124469528,1,0.5,1.5
