Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Na1,Na1_1_-1_-1_-1,17.2698468360319,0.75,1.5,0.25
Na2,Na1_1_-1_-1_-1,11.6686124920661,0.5,1,0.25
Si1,Na1_1_-1_-1_-1,14.7430378877247,0.5,1.30777,0.3674
Si2,Na1_1_-1_-1_-1,14.6134532064985,0.68411,1.18411,0.43411
Si3,Na1_1_-1_-1_-1,14.8473528098446,0.75,1,0.75
Na1,Na1_2_-1_-1_-1,18.7114071961464,1.25,1.25,0.5
Na2,Na1_2_-1_-1_-1,13.7122451484066,1,0.75,0.5
Si1,Na1_2_-1_-1_-1,16.1044088896414,1,1.05777,0.6174
Si2,Na1_2_-1_-1_-1,16.8677628147533,1.18411,0.93411,0.68411
Si3,Na1_2_-1_-1_-1,18.0050599693531,1.25,0.75,1
Na1,Na1_3_-1_-1_-1,15.2778,0.5,1,1
Na2,Na1_3_-1_-1_-1,11.6686124920661,0.25,0.5,1
Si1,Na1_3_-1_-1_-1,14.2722788763494,0.25,0.80777,1.1174
Si2,Na1_3_-1_-1_-1,14.6134532064985,0.43411,0.68411,1.18411
Si3,Na1_3_-1_-1_-1,16.8902434073639,0.5,0.5,1.5
Na1,Na1_4_-1_-1_-1,18.7114071961464,0.75,1.5,0.75
Na2,Na1_4_-1_-1_-1,13.7122451484066,0.5,1,0.75
Si1,Na1_4_-1_-1_-1,16.7751361242221,0.5,1.30777,0.8674
Si2,Na1_4_-1_-1_-1,16.8677628147533,0.68411,1.18411,0.93411
Si3,Na1_4_-1_-1_-1,18.0050599693531,0.75,1,1.25
Na1,Na1_5_-1_-1_-1,15.6964473757599,1.25,0.75,0.5
Na2,Na1_5_-1_-1_-1,11.6686124920661,1,0.25,0.5
Si1,Na1_5_-1_-1_-1,13.2497282941659,1,0.55777,0.6174
Si2,Na1_5_-1_-1_-1,14.6134532064985,1.18411,0.43411,0.68411
Si3,Na1_5_-1_-1_-1,16.5019100403559,1.25,0.25,1
Na1,Na1_6_-1_-1_-1,17.6412838852505,1,1,1
Na2,Na1_6_-1_-1_-1,13.7122451484066,0.75,0.5,1
Si1,Na1_6_-1_-1_-1,15.9864659585628,0.75,0.80777,1.1174
Si2,Na1_6_-1_-1_-1,16.8677628147533,0.93411,0.68411,1.18411
Si3,Na1_6_-1_-1_-1,19.054764407885,1,0.5,1.5
Na1,Na2_1_-1_-1_-1,13.7122451484066,0.75,1,0.5
Na2,Na2_1_-1_-1_-1,8.82064194262527,0.5,0.5,0.5
Si1,Na2_1_-1_-1_-1,11.5397692700934,0.5,0.80777,0.6174
Si2,Na2_1_-1_-1_-1,12.0685787187387,0.68411,0.68411,0.68411
Si3,Na2_1_-1_-1_-1,13.7122451484066,0.75,0.5,1
Na1,Na2_25_-1_-1_-1,22.3436918196166,1.25,1.5,1
Na2,Na2_25_-1_-1_-1,17.6412838852505,1,1,1
Si1,Na2_25_-1_-1_-1,20.2653364208401,1,1.30777,1.1174
Si2,Na2_25_-1_-1_-1,20.889220661364,1.18411,1.18411,1.18411
Si3,Na2_25_-1_-1_-1,22.3436918196166,1.25,1,1.5
Na1,Si1_1_-1_-1_-1,15.6482766803343,0.6326,1.30777,0.5
Na2,Si1_1_-1_-1_-1,10.4311323542749,0.3826,0.80777,0.5
Si1,Si1_1_-1_-1_-1,13.5581616899471,0.3826,1.11554,0.6174
Si2,Si1_1_-1_-1_-1,13.5619777976394,0.56671,0.99188,0.68411
Si3,Si1_1_-1_-1_-1,14.5924989898493,0.6326,0.80777,1
Na1,Si1_2_-1_-1_-1,11.7987975736322,0.44223,1,0.3826
Na2,Si1_2_-1_-1_-1,6.7047333728731,0.19223,0.5,0.3826
Si1,Si1_2_-1_-1_-1,9.87200080892203,0.19223,0.80777,0.5
Si2,Si1_2_-1_-1_-1,9.82646703363398,0.37634,0.68411,0.56671
Si3,Si1_2_-1_-1_-1,11.2708805279912,0.44223,0.5,0.8826
Na1,Si1_3_-1_-1_-1,13.8460110231505,0.75,1.1174,0.19223
Na2,Si1_3_-1_-1_-1,8.32533496118387,0.5,0.6174,0.19223
Si1,Si1_3_-1_-1_-1,11.1657401341291,0.5,0.92517,0.30963
Si2,Si1_3_-1_-1_-1,11.3967635162546,0.68411,0.80151,0.37634
Si3,Si1_3_-1_-1_-1,12.1493048628458,0.75,0.6174,0.69223
Na1,Si1_4_-1_-1_-1,12.3973806428623,0.8674,0.69223,0.5
Na2,Si1_4_-1_-1_-1,8.32533496118387,0.6174,0.19223,0.5
Si1,Si1_4_-1_-1_-1,10.2479791691604,0.6174,0.5,0.6174
Si2,Si1_4_-1_-1_-1,11.3967635162546,0.80151,0.37634,0.68411
Si3,Si1_4_-1_-1_-1,13.624337895823,0.8674,0.19223,1
Na1,Si1_5_-1_-1_-1,16.1044088896414,1.05777,1,0.6174
Na2,Si1_5_-1_-1_-1,11.5397692700934,0.80777,0.5,0.6174
Si1,Si1_5_-1_-1_-1,13.8343205648466,0.80777,0.80777,0.7348
Si2,Si1_5_-1_-1_-1,14.7395388688385,0.99188,0.68411,0.80151
Si3,Si1_5_-1_-1_-1,16.4781935293908,1.05777,0.5,1.1174
Na1,Si1_6_-1_-1_-1,14.3823359929847,0.75,0.8826,0.80777
Na2,Si1_6_-1_-1_-1,10.4311323542749,0.5,0.3826,0.80777
Si1,Si1_6_-1_-1_-1,12.8129260014796,0.5,0.69037,0.92517
Si2,Si1_6_-1_-1_-1,13.5619777976394,0.68411,0.56671,0.99188
Si3,Si1_6_-1_-1_-1,15.8416539924953,0.75,0.3826,1.30777
Na1,Si1_7_-1_-1_-1,10.8239742184712,0.6326,0.69223,0.5
Na2,Si1_7_-1_-1_-1,6.7047333728731,0.3826,0.19223,0.5
Si1,Si1_7_-1_-1_-1,8.98127632560947,0.3826,0.5,0.6174
Si2,Si1_7_-1_-1_-1,9.82646703363398,0.56671,0.37634,0.68411
Si3,Si1_7_-1_-1_-1,12.2100759284154,0.6326,0.19223,1
Na1,Si1_8_-1_-1_-1,12.789424412308,0.44223,1,0.6174
Na2,Si1_8_-1_-1_-1,8.32533496118386,0.19223,0.5,0.6174
Si1,Si1_8_-1_-1_-1,11.2930665852927,0.19223,0.80777,0.7348
Si2,Si1_8_-1_-1_-1,11.3967635162546,0.37634,0.68411,0.80151
Si3,Si1_8_-1_-1_-1,13.2570076980228,0.44223,0.5,1.1174
Na1,Si1_10_-1_-1_-1,16.7751361242221,0.8674,1.30777,0.5
Na2,Si1_10_-1_-1_-1,11.5397692700934,0.6174,0.80777,0.5
Si1,Si1_10_-1_-1_-1,14.4284961456605,0.6174,1.11554,0.6174
Si2,Si1_10_-1_-1_-1,14.7395388688385,0.80151,0.99188,0.68411
Si3,Si1_10_-1_-1_-1,15.7948616863409,0.8674,0.80777,1
Na1,Si1_11_-1_-1_-1,15.3295216190907,1.05777,1,0.3826
Na2,Si1_11_-1_-1_-1,10.4311323542749,0.80777,0.5,0.3826
Si1,Si1_11_-1_-1_-1,12.7008453483396,0.80777,0.80777,0.5
Si2,Si1_11_-1_-1_-1,13.5619777976394,0.99188,0.68411,0.56671
Si3,Si1_11_-1_-1_-1,14.9270009299549,1.05777,0.5,0.8826
Na1,Si1_15_-1_-1_-1,11.9581150698604,0.75,0.8826,0.19223
Na2,Si1_15_-1_-1_-1,6.7047333728731,0.5,0.3826,0.19223
Si1,Si1_15_-1_-1_-1,9.23703573035876,0.5,0.69037,0.30963
Si2,Si1_15_-1_-1_-1,9.82646703363398,0.68411,0.56671,0.37634
Si3,Si1_15_-1_-1_-1,11.101705095875,0.75,0.3826,0.69223
Na1,Si1_18_-1_-1_-1,15.9864659585628,0.75,1.1174,0.80777
Na2,Si1_18_-1_-1_-1,11.5397692700934,0.5,0.6174,0.80777
Si1,Si1_18_-1_-1_-1,14.2661135695174,0.5,0.92517,0.92517
Si2,Si1_18_-1_-1_-1,14.7395388688385,0.68411,0.80151,0.99188
Si3,Si1_18_-1_-1_-1,16.5926415568026,0.75,0.6174,1.30777
Na1,Si1_25_-1_-1_-1,19.3987425429051,1.1326,1.5,0.30777
Na2,Si1_25_-1_-1_-1,13.9418428978942,0.8826,1,0.30777
Si1,Si1_25_-1_-1_-1,16.6427996270758,0.8826,1.30777,0.42517
Si2,Si1_25_-1_-1_-1,16.988024052758,1.06671,1.18411,0.49188
Si3,Si1_25_-1_-1_-1,17.4499412463611,1.1326,1,0.80777
Na1,Si1_26_-1_-1_-1,19.8529905151193,0.94223,1.3826,1
Na2,Si1_26_-1_-1_-1,15.3054960663966,0.69223,0.8826,1
Si1,Si1_26_-1_-1_-1,18.0618544852437,0.69223,1.19037,1.1174
Si2,Si1_26_-1_-1_-1,18.5246319614999,0.87634,1.06671,1.18411
Si3,Si1_26_-1_-1_-1,20.1573834785349,0.94223,0.8826,1.5
Na1,Si1_27_-1_-1_-1,17.634505780643,1.25,1.19223,0.1174
Na2,Si1_27_-1_-1_-1,12.4449854725939,1,0.69223,0.1174
Si1,Si1_27_-1_-1_-1,14.6012259209255,1,1,0.2348
Si2,Si1_27_-1_-1_-1,15.3150885756123,1.18411,0.87634,0.30151
Si3,Si1_27_-1_-1_-1,15.8538294329909,1.25,0.69223,0.6174
Na1,Si1_28_-1_-1_-1,17.2372741190921,0.3674,1.5,0.69223
Na2,Si1_28_-1_-1_-1,12.4449854725939,0.1174,1,0.69223
Si1,Si1_28_-1_-1_-1,15.7114620904838,0.1174,1.30777,0.80963
Si2,Si1_28_-1_-1_-1,15.3150885756123,0.30151,1.18411,0.87634
Si3,Si1_28_-1_-1_-1,16.2848421165568,0.3674,1,1.19223
Na1,Si1_29_-1_-1_-1,13.2497282941659,0.55777,0.6174,1
Na2,Si1_29_-1_-1_-1,10.723545913743,0.30777,0.1174,1
Si1,Si1_29_-1_-1_-1,12.5739776135118,0.30777,0.42517,1.1174
Si2,Si1_29_-1_-1_-1,13.4157709426969,0.49188,0.30151,1.18411
Si3,Si1_29_-1_-1_-1,16.3436447159722,0.55777,0.1174,1.5
Na1,Si1_30_-1_-1_-1,17.6235605839202,1.25,0.80777,0.8826
Na2,Si1_30_-1_-1_-1,13.9418428978942,1,0.30777,0.8826
Si1,Si1_30_-1_-1_-1,15.7092950020908,1,0.61554,1
Si2,Si1_30_-1_-1_-1,16.988024052758,1.18411,0.49188,1.06671
Si3,Si1_30_-1_-1_-1,19.2411479411252,1.25,0.30777,1.3826
Na1,Si1_31_-1_-1_-1,20.4008440681956,1.1326,1.5,0.69223
Na2,Si1_31_-1_-1_-1,15.3054960663966,0.8826,1,0.69223
Si1,Si1_31_-1_-1_-1,18.0618544852437,0.8826,1.30777,0.80963
Si2,Si1_31_-1_-1_-1,18.5246319614999,1.06671,1.18411,0.87634
Si3,Si1_31_-1_-1_-1,19.6027269123276,1.1326,1,1.19223
Na1,Si1_32_-1_-1_-1,15.3421034914577,0.94223,0.6174,1
Na2,Si1_32_-1_-1_-1,12.4449854725939,0.69223,0.1174,1
Si1,Si1_32_-1_-1_-1,14.0708258277193,0.69223,0.42517,1.1174
Si2,Si1_32_-1_-1_-1,15.3150885756123,0.87634,0.30151,1.18411
