Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Ba1,Ba1_1_-1_-1_-1,10.1466134383596,0.5,0.5,0.5
Ba2,Ba1_1_-1_-1_-1,15.7735516074575,0.75,1,0.5
Sn1,Ba1_1_-1_-1_-1,15.7735516074575,0.75,0.5,1
Ga1,Ba1_1_-1_-1_-1,15.7735516074575,0.75,0.5,1
Sn2,Ba1_1_-1_-1_-1,13.8773202673757,0.68384,0.68384,0.68384
Ga2,Ba1_1_-1_-1_-1,13.8773202673757,0.68384,0.68384,0.68384
Sn3,Ba1_1_-1_-1_-1,13.3140196221423,0.5,0.81197,0.61809
Ga3,Ba1_1_-1_-1_-1,13.3140196221423,0.5,0.81197,0.61809
Ba1,Ba1_25_-1_-1_-1,20.2932268767192,1,1,1
Ba2,Ba1_25_-1_-1_-1,25.7025288130006,1.25,1.5,1
Sn1,Ba1_25_-1_-1_-1,25.7025288130006,1.25,1,1.5
Ga1,Ba1_25_-1_-1_-1,25.7025288130006,1.25,1,1.5
Sn2,Ba1_25_-1_-1_-1,24.0239337057353,1.18384,1.18384,1.18384
Ga2,Ba1_25_-1_-1_-1,24.0239337057353,1.18384,1.18384,1.18384
Sn3,Ba1_25_-1_-1_-1,23.3486503346367,1,1.31197,1.11809
Ga3,Ba1_25_-1_-1_-1,23.3486503346367,1,1.31197,1.11809
Ba1,Ba2_1_-1_-1_-1,13.4227079037028,0.5,1,0.25
Ba2,Ba2_1_-1_-1_-1,19.8659531953226,0.75,1.5,0.25
Sn1,Ba2_1_-1_-1_-1,17.079295421394,0.75,1,0.75
Ga1,Ba2_1_-1_-1_-1,17.079295421394,0.75,1,0.75
Sn2,Ba2_1_-1_-1_-1,16.8051585637436,0.68384,1.18384,0.43384
Ga2,Ba2_1_-1_-1_-1,16.8051585637436,0.68384,1.18384,0.43384
Sn3,Ba2_1_-1_-1_-1,17.0058190864938,0.5,1.31197,0.36809
Ga3,Ba2_1_-1_-1_-1,17.0058190864938,0.5,1.31197,0.36809
Ba1,Ba2_2_-1_-1_-1,15.7735516074575,1,0.75,0.5
Ba2,Ba2_2_-1_-1_-1,21.5242175050279,1.25,1.25,0.5
Sn1,Ba2_2_-1_-1_-1,20.7116879510399,1.25,0.75,1
Ga1,Ba2_2_-1_-1_-1,20.7116879510399,1.25,0.75,1
Sn2,Ba2_2_-1_-1_-1,19.3980726850586,1.18384,0.93384,0.68384
Ga2,Ba2_2_-1_-1_-1,19.3980726850586,1.18384,0.93384,0.68384
Sn3,Ba2_2_-1_-1_-1,18.5614279740749,1,1.06197,0.61809
Ga3,Ba2_2_-1_-1_-1,18.5614279740749,1,1.06197,0.61809
Ba1,Ba2_3_-1_-1_-1,13.4227079037028,0.25,0.5,1
Ba2,Ba2_3_-1_-1_-1,17.57445,0.5,1,1
Sn1,Ba2_3_-1_-1_-1,19.4292855156205,0.5,0.5,1.5
Ga1,Ba2_3_-1_-1_-1,19.4292855156205,0.5,0.5,1.5
Sn2,Ba2_3_-1_-1_-1,16.8051585637436,0.43384,0.68384,1.18384
