Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Ba1,Ba1_1_-1_-1_-1,9.14011871408134,0.5,0.5,0.5
Ba2,Ba1_1_-1_-1_-1,14.2088919727446,0.75,1,0.5
Ga1,Ba1_1_-1_-1_-1,14.2088919727446,0.75,0.5,1
Si1,Ba1_1_-1_-1_-1,14.2088919727446,0.75,0.5,1
Ga2,Ba1_1_-1_-1_-1,12.5311027570055,0.6855,0.6855,0.6855
Si2,Ba1_1_-1_-1_-1,12.5311027570055,0.6855,0.6855,0.6855
Ga3,Ba1_1_-1_-1_-1,11.9593005385,0.5,0.8066,0.6192
Si3,Ba1_1_-1_-1_-1,11.9593005385,0.5,0.8066,0.6192
Ba1,Ba1_25_-1_-1_-1,18.2802374281627,1,1,1
Ba2,Ba1_25_-1_-1_-1,23.1529629102438,1.25,1.5,1
Ga1,Ba1_25_-1_-1_-1,23.1529629102438,1.25,1,1.5
Si1,Ba1_25_-1_-1_-1,23.1529629102438,1.25,1,1.5
Ga2,Ba1_25_-1_-1_-1,21.6712214710869,1.1855,1.1855,1.1855
Si2,Ba1_25_-1_-1_-1,21.6712214710869,1.1855,1.1855,1.1855
Ga3,Ba1_25_-1_-1_-1,21.0018958027214,1,1.3066,1.1192
Si3,Ba1_25_-1_-1_-1,21.0018958027214,1,1.3066,1.1192
Ba1,Ba2_1_-1_-1_-1,12.0912405355334,0.5,1,0.25
Ba2,Ba2_1_-1_-1_-1,17.8953472187256,0.75,1.5,0.25
Ga1,Ba2_1_-1_-1_-1,15.3851123483467,0.75,1,0.75
Si1,Ba2_1_-1_-1_-1,15.3851123483467,0.75,1,0.75
Ga2,Ba2_1_-1_-1_-1,15.1662848490948,0.6855,1.1855,0.4355
Si2,Ba2_1_-1_-1_-1,15.1662848490948,0.6855,1.1855,0.4355
Ga3,Ba2_1_-1_-1_-1,15.2707002646526,0.5,1.3066,0.3692
Si3,Ba2_1_-1_-1_-1,15.2707002646526,0.5,1.3066,0.3692
Ba1,Ba2_2_-1_-1_-1,14.2088919727446,1,0.75,0.5
Ba2,Ba2_2_-1_-1_-1,19.389119770731,1.25,1.25,0.5
Ga1,Ba2_2_-1_-1_-1,18.6571891983024,1.25,0.75,1
Si1,Ba2_2_-1_-1_-1,18.6571891983024,1.25,0.75,1
Ga2,Ba2_2_-1_-1_-1,17.5035246165491,1.1855,0.9355,0.6855
Si2,Ba2_2_-1_-1_-1,17.5035246165491,1.1855,0.9355,0.6855
Ga3,Ba2_2_-1_-1_-1,16.6868705324205,1,1.0566,0.6192
Si3,Ba2_2_-1_-1_-1,16.6868705324205,1,1.0566,0.6192
Ba1,Ba2_3_-1_-1_-1,12.0912405355334,0.25,0.5,1
Ba2,Ba2_3_-1_-1_-1,15.83115,0.5,1,1
Ga1,Ba2_3_-1_-1_-1,17.501994849945,0.5,0.5,1.5
Si1,Ba2_3_-1_-1_-1,17.501994849945,0.5,0.5,1.5
Ga2,Ba2_3_-1_-1_-1,15.1662848490948,0.4355,0.6855,1.1855
Si2,Ba2_3_-1_-1_-1,15.1662848490948,0.4355,0.6855,1.1855
Ga3,Ba2_3_-1_-1_-1,14.7972554531759,0.25,0.8066,1.1192
Si3,Ba2_3_-1_-1_-1,14.7972554531759,0.25,0.8066,1.1192
Ba1,Ba2_4_-1_-1_-1,14.2088919727446,0.5,1,0.75
Ba2,Ba2_4_-1_-1_-1,19.389119770731,0.75,1.5,0.75
Ga1,Ba2_4_-1_-1_-1,18.6571891983024,0.75,1,1.25
Si1,Ba2_4_-1_-1_-1,18.6571891983024,0.75,1,1.25
Ga2,Ba2_4_-1_-1_-1,17.5035246165491,0.6855,1.1855,0.9355
Si2,Ba2_4_-1_-1_-1,17.5035246165491,0.6855,1.1855,0.9355
Ga3,Ba2_4_-1_-1_-1,17.38293335354,0.5,1.3066,0.8692
Si3,Ba2_4_-1_-1_-1,17.38293335354,0.5,1.3066,0.8692
Ba1,Ba2_5_-1_-1_-1,12.0912405355334,1,0.25,0.5
Ba2,Ba2_5_-1_-1_-1,16.2649604571837,1.25,0.75,0.5
