Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Ba1,Ba1_1_-1_-1_-1,8.9623236986844,0.5,0.5,0.5
Ba2,Ba1_1_-1_-1_-1,13.9324983890184,0.75,0.5,1
Si1,Ba1_1_-1_-1_-1,13.9324983890184,0.75,1,0.5
Pt1,Ba1_1_-1_-1_-1,13.9324983890184,0.75,1,0.5
Si2,Ba1_1_-1_-1_-1,12.2640437492797,0.6842,0.6842,0.6842
Si3,Ba1_1_-1_-1_-1,11.72722826105,0.5,0.62021,0.8059
Pt3,Ba1_1_-1_-1_-1,11.72722826105,0.5,0.62021,0.8059
Ba1,Ba1_25_-1_-1_-1,17.9246473973688,1,1,1
Ba2,Ba1_25_-1_-1_-1,22.7025878630609,1.25,1,1.5
Si1,Ba1_25_-1_-1_-1,22.7025878630609,1.25,1.5,1
Pt1,Ba1_25_-1_-1_-1,22.7025878630609,1.25,1.5,1
Si2,Ba1_25_-1_-1_-1,21.2263674479641,1.1842,1.1842,1.1842
Si3,Ba1_25_-1_-1_-1,20.5944896863935,1,1.12021,1.3059
Pt3,Ba1_25_-1_-1_-1,20.5944896863935,1,1.12021,1.3059
Ba1,Ba2_1_-1_-1_-1,11.8560398379898,1,0.5,0.25
Ba2,Ba2_1_-1_-1_-1,15.9485719084813,1.25,0.5,0.75
Si1,Ba2_1_-1_-1_-1,16.7669723349208,1.25,1,0.25
Pt1,Ba2_1_-1_-1_-1,16.7669723349208,1.25,1,0.25
Si2,Ba2_1_-1_-1_-1,14.8496767056684,1.1842,0.6842,0.4342
Si3,Ba2_1_-1_-1_-1,13.4681004573593,1,0.62021,0.5559
Pt3,Ba2_1_-1_-1_-1,13.4681004573593,1,0.62021,0.5559
Ba1,Ba2_2_-1_-1_-1,13.9324983890184,0.5,0.75,1
Ba2,Ba2_2_-1_-1_-1,19.0119595875859,0.75,0.75,1.5
Si1,Ba2_2_-1_-1_-1,18.2942666428584,0.75,1.25,1
Pt1,Ba2_2_-1_-1_-1,18.2942666428584,0.75,1.25,1
Si2,Ba2_2_-1_-1_-1,17.1402776587814,0.6842,0.9342,1.1842
Si3,Ba2_2_-1_-1_-1,17.0445717911046,0.5,0.87021,1.3059
Pt3,Ba2_2_-1_-1_-1,17.0445717911046,0.5,0.87021,1.3059
