Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Ba1,Ba1_1_-1_-1_-1,9.25973414285205,0.5,0.5,0.5
Ba2,Ba1_1_-1_-1_-1,14.3948417135349,0.75,1,0.5
Cu1,Ba1_1_-1_-1_-1,14.3948417135349,0.75,0.5,1
Ge1,Ba1_1_-1_-1_-1,12.6532415115245,0.68324,0.68324,0.68324
Ge2,Ba1_1_-1_-1_-1,12.1785078534666,0.5,0.81465,0.61942
Ba1,Ba1_25_-1_-1_-1,18.5194682857041,1,1,1
Ba2,Ba1_25_-1_-1_-1,23.4559624305405,1.25,1.5,1
Cu1,Ba1_25_-1_-1_-1,23.4559624305405,1.25,1,1.5
Ge1,Ba1_25_-1_-1_-1,21.9129756543765,1.18324,1.18324,1.18324
Ge2,Ba1_25_-1_-1_-1,21.3346786738627,1,1.31465,1.11942
Ba1,Ba2_1_-1_-1_-1,12.2494768742802,0.5,1,0.25
Ba2,Ba2_1_-1_-1_-1,18.1295410730429,0.75,1.5,0.25
Cu1,Ba2_1_-1_-1_-1,15.5864551172757,0.75,1,0.75
Ge1,Ba2_1_-1_-1_-1,15.3259862127944,0.68324,1.18324,0.43324
Ge2,Ba2_1_-1_-1_-1,15.5489135117153,0.5,1.31465,0.36942
Ba1,Ba2_2_-1_-1_-1,14.3948417135349,1,0.75,0.5
Ba2,Ba2_2_-1_-1_-1,19.6428624131859,1.25,1.25,0.5
Cu1,Ba2_2_-1_-1_-1,18.9013531698461,1.25,0.75,1
Ge1,Ba2_2_-1_-1_-1,17.6917011153848,1.18324,0.93324,0.68324
Ge2,Ba2_2_-1_-1_-1,16.9638085498836,1,1.06465,0.61942
Ba1,Ba2_3_-1_-1_-1,12.2494768742802,0.25,0.5,1
Ba2,Ba2_3_-1_-1_-1,16.03833,0.5,1,1
Cu1,Ba2_3_-1_-1_-1,17.7310409579669,0.5,0.5,1.5
Ge1,Ba2_3_-1_-1_-1,15.3259862127944,0.43324,0.68324,1.18324
Ge2,Ba2_3_-1_-1_-1,15.0424592865606,0.25,0.81465,1.11942
Ba1,Ba2_4_-1_-1_-1,14.3948417135349,0.5,1,0.75
Ba2,Ba2_4_-1_-1_-1,19.6428624131859,0.75,1.5,0.75
Cu1,Ba2_4_-1_-1_-1,18.9013531698461,0.75,1,1.25
Ge1,Ba2_4_-1_-1_-1,17.6917011153848,0.68324,1.18324,0.93324
Ge2,Ba2_4_-1_-1_-1,17.6800174268202,0.5,1.31465,0.86942
Ba1,Ba2_5_-1_-1_-1,12.2494768742802,1,0.25,0.5
Ba2,Ba2_5_-1_-1_-1,16.4778176727062,1.25,0.75,0.5
Cu1,Ba2_5_-1_-1_-1,17.3233763275826,1.25,0.25,1
Ge1,Ba2_5_-1_-1_-1,15.3259862127944,1.18324,0.43324,0.68324
Ge2,Ba2_5_-1_-1_-1,13.9512402823348,1,0.56465,0.61942
Ba1,Ba2_6_-1_-1_-1,14.3948417135349,0.75,0.5,1
Ba2,Ba2_6_-1_-1_-1,18.5194682857041,1,1,1
Cu1,Ba2_6_-1_-1_-1,20.003311972006,1,0.5,1.5
Ge1,Ba2_6_-1_-1_-1,17.6917011153848,0.93324,0.68324,1.18324
Ge2,Ba2_6_-1_-1_-1,16.8355981673368,0.75,0.81465,1.11942
Ba1,Cu1_1_-1_-1_-1,12.2494768742802,1,0.5,0.25
Ba2,Cu1_1_-1_-1_-1,17.3233763275826,1.25,1,0.25
Cu1,Cu1_1_-1_-1_-1,16.4778176727062,1.25,0.5,0.75
Ge1,Cu1_1_-1_-1_-1,15.3259862127944,1.18324,0.68324,0.43324
Ge2,Cu1_1_-1_-1_-1,14.3456195598985,1,0.81465,0.36942
Ba1,Cu1_2_-1_-1_-1,14.3948417135349,0.5,0.75,1
Ba2,Cu1_2_-1_-1_-1,18.9013531698461,0.75,1.25,1
Cu1,Cu1_2_-1_-1_-1,19.6428624131859,0.75,0.75,1.5
Ge1,Cu1_2_-1_-1_-1,17.6917011153848,0.68324,0.93324,1.18324
Ge2,Cu1_2_-1_-1_-1,17.3615471969167,0.5,1.06465,1.11942
Ba1,Cu1_3_-1_-1_-1,12.2494768742802,0.25,1,0.5
Ba2,Cu1_3_-1_-1_-1,17.7310409579669,0.5,1.5,0.5
Cu1,Cu1_3_-1_-1_-1,16.03833,0.5,1,1
