Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Ba1,Ba1_1_-1_-1_-1,9.32795962416219,0.5,0.5,0.5
Ba2,Ba1_1_-1_-1_-1,14.5009025344114,0.75,0.5,1
Ge1,Ba1_1_-1_-1_-1,14.5009025344114,0.75,1,0.5
Pd1,Ba1_1_-1_-1_-1,14.5009025344114,0.75,1,0.5
Ge2,Ba1_1_-1_-1_-1,12.7492686551124,0.68339,0.68339,0.68339
Ge3,Ba1_1_-1_-1_-1,12.2487101658446,0.5,0.61966,0.81193
Ba1,Ba1_25_-1_-1_-1,18.6559192483244,1,1,1
Ba2,Ba1_25_-1_-1_-1,23.6287853541501,1.25,1,1.5
Ge1,Ba1_25_-1_-1_-1,23.6287853541501,1.25,1.5,1
Pd1,Ba1_25_-1_-1_-1,23.6287853541501,1.25,1.5,1
Ge2,Ba1_25_-1_-1_-1,22.0772282792746,1.18339,1.18339,1.18339
Ge3,Ba1_25_-1_-1_-1,21.4740323546384,1,1.11966,1.31193
Ba1,Ba2_1_-1_-1_-1,12.3397307025923,1,0.5,0.25
Ba2,Ba2_1_-1_-1_-1,16.5992258064947,1.25,0.5,0.75
Ge1,Ba2_1_-1_-1_-1,17.4510145156378,1.25,1,0.25
Pd1,Ba2_1_-1_-1_-1,17.4510145156378,1.25,1,0.25
Ge2,Ba2_1_-1_-1_-1,15.4414998776099,1.18339,0.68339,0.43339
Ge3,Ba2_1_-1_-1_-1,14.042607717187,1,0.61966,0.56193
Ba1,Ba2_2_-1_-1_-1,14.5009025344114,0.5,0.75,1
Ba2,Ba2_2_-1_-1_-1,19.7875905146382,0.75,0.75,1.5
Ge1,Ba2_2_-1_-1_-1,19.0406178504008,0.75,1.25,1
Pd1,Ba2_2_-1_-1_-1,19.0406178504008,0.75,1.25,1
Ge2,Ba2_2_-1_-1_-1,17.8247868796577,0.68339,0.93339,1.18339
Ge3,Ba2_2_-1_-1_-1,17.7883606011213,0.5,0.86966,1.31193
Ba1,Ba2_3_-1_-1_-1,12.3397307025923,0.25,1,0.5
Ba2,Ba2_3_-1_-1_-1,16.1565,0.5,1,1
Ge1,Ba2_3_-1_-1_-1,17.861682808459,0.5,1.5,0.5
Pd1,Ba2_3_-1_-1_-1,17.861682808459,0.5,1.5,0.5
Ge2,Ba2_3_-1_-1_-1,15.4414998776099,0.43339,1.18339,0.68339
