Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Ba1,Ba1_1_-1_-1_-1,9.03203874368905,0.5,0.5,0.5
Ba2,Ba1_1_-1_-1_-1,14.040874830762,0.75,1,0.5
Ga1,Ba1_1_-1_-1_-1,14.040874830762,0.75,0.5,1
Si1,Ba1_1_-1_-1_-1,14.040874830762,0.75,0.5,1
Ga2,Ba1_1_-1_-1_-1,12.3798542244248,0.68533,0.68533,0.68533
Si2,Ba1_1_-1_-1_-1,12.3798542244248,0.68533,0.68533,0.68533
Ga3,Ba1_1_-1_-1_-1,11.8151033957926,0.5,0.80621,0.61922
Si3,Ba1_1_-1_-1_-1,11.8151033957926,0.5,0.80621,0.61922
Ba1,Ba1_25_-1_-1_-1,18.0640774873781,1,1,1
Ba2,Ba1_25_-1_-1_-1,22.8791840213572,1.25,1.5,1
Ga1,Ba1_25_-1_-1_-1,22.8791840213572,1.25,1,1.5
Si1,Ba1_25_-1_-1_-1,22.8791840213572,1.25,1,1.5
Ga2,Ba1_25_-1_-1_-1,21.4118929681139,1.18533,1.18533,1.18533
Si2,Ba1_25_-1_-1_-1,21.4118929681139,1.18533,1.18533,1.18533
Ga3,Ba1_25_-1_-1_-1,20.7509996853735,1,1.30621,1.11922
Si3,Ba1_25_-1_-1_-1,20.7509996853735,1,1.30621,1.11922
Ba1,Ba2_1_-1_-1_-1,11.9482641738507,0.5,1,0.25
Ba2,Ba2_1_-1_-1_-1,17.6837385232521,0.75,1.5,0.25
Ga1,Ba2_1_-1_-1_-1,15.2031866492275,0.75,1,0.75
Si1,Ba2_1_-1_-1_-1,15.2031866492275,0.75,1,0.75
Ga2,Ba2_1_-1_-1_-1,14.9841010150162,0.68533,1.18533,0.43533
Si2,Ba2_1_-1_-1_-1,14.9841010150162,0.68533,1.18533,0.43533
Ga3,Ba2_1_-1_-1_-1,15.0865077722291,0.5,1.30621,0.36922
Si3,Ba2_1_-1_-1_-1,15.0865077722291,0.5,1.30621,0.36922
Ba1,Ba2_2_-1_-1_-1,14.040874830762,1,0.75,0.5
Ba2,Ba2_2_-1_-1_-1,19.1598475308064,1.25,1.25,0.5
Ga1,Ba2_2_-1_-1_-1,18.4365718825722,1.25,0.75,1
Si1,Ba2_2_-1_-1_-1,18.4365718825722,1.25,0.75,1
Ga2,Ba2_2_-1_-1_-1,17.29354885188,1.18533,0.93533,0.68533
Si2,Ba2_2_-1_-1_-1,17.29354885188,1.18533,0.93533,0.68533
Ga3,Ba2_2_-1_-1_-1,16.4869156287405,1,1.05621,0.61922
Si3,Ba2_2_-1_-1_-1,16.4869156287405,1,1.05621,0.61922
Ba1,Ba2_3_-1_-1_-1,11.9482641738507,0.25,0.5,1
Ba2,Ba2_3_-1_-1_-1,15.64395,0.5,1,1
Ga1,Ba2_3_-1_-1_-1,17.2950374630268,0.5,0.5,1.5
Si1,Ba2_3_-1_-1_-1,17.2950374630268,0.5,0.5,1.5
Ga2,Ba2_3_-1_-1_-1,14.9841010150162,0.43533,0.68533,1.18533
Si2,Ba2_3_-1_-1_-1,14.9841010150162,0.43533,0.68533,1.18533
Ga3,Ba2_3_-1_-1_-1,14.6201079387217,0.25,0.80621,1.11922
Si3,Ba2_3_-1_-1_-1,14.6201079387217,0.25,0.80621,1.11922
Ba1,Ba2_4_-1_-1_-1,14.040874830762,0.5,1,0.75
Ba2,Ba2_4_-1_-1_-1,19.1598475308064,0.75,1.5,0.75
Ga1,Ba2_4_-1_-1_-1,18.4365718825722,0.75,1,1.25
Si1,Ba2_4_-1_-1_-1,18.4365718825722,0.75,1,1.25
Ga2,Ba2_4_-1_-1_-1,17.29354885188,0.68533,1.18533,0.93533
Si2,Ba2_4_-1_-1_-1,17.29354885188,0.68533,1.18533,0.93533
Ga3,Ba2_4_-1_-1_-1,17.1742674077385,0.5,1.30621,0.86922
Si3,Ba2_4_-1_-1_-1,17.1742674077385,0.5,1.30621,0.86922
Ba1,Ba2_5_-1_-1_-1,11.9482641738507,1,0.25,0.5
Ba2,Ba2_5_-1_-1_-1,16.0726307402911,1.25,0.75,0.5
Ga1,Ba2_5_-1_-1_-1,16.8973972414763,1.25,0.25,1
Si1,Ba2_5_-1_-1_-1,16.8973972414763,1.25,0.25,1
Ga2,Ba2_5_-1_-1_-1,14.9841010150162,1.18533,0.43533,0.68533
Si2,Ba2_5_-1_-1_-1,14.9841010150162,1.18533,0.43533,0.68533
Ga3,Ba2_5_-1_-1_-1,13.5693288192005,1,0.55621,0.61922
Si3,Ba2_5_-1_-1_-1,13.5693288192005,1,0.55621,0.61922
Ba1,Ba2_6_-1_-1_-1,14.040874830762,0.75,0.5,1
Ba2,Ba2_6_-1_-1_-1,18.0640774873781,1,1,1
Ga1,Ba2_6_-1_-1_-1,19.5114336919407,1,0.5,1.5
Si1,Ba2_6_-1_-1_-1,19.5114336919407,1,0.5,1.5
Ga2,Ba2_6_-1_-1_-1,17.29354885188,0.93533,0.68533,1.18533
Si2,Ba2_6_-1_-1_-1,17.29354885188,0.93533,0.68533,1.18533
Ga3,Ba2_6_-1_-1_-1,16.3747581779052,0.75,0.80621,1.11922
Si3,Ba2_6_-1_-1_-1,16.3747581779052,0.75,0.80621,1.11922
Ba1,Ga1_1_-1_-1_-1,11.9482641738507,1,0.5,0.25
Ba2,Ga1_1_-1_-1_-1,16.8973972414763,1.25,1,0.25
Ga1,Ga1_1_-1_-1_-1,16.0726307402911,1.25,0.5,0.75
Si1,Ga1_1_-1_-1_-1,16.0726307402911,1.25,0.5,0.75
Ga2,Ga1_1_-1_-1_-1,14.9841010150162,1.18533,0.68533,0.43533
Si2,Ga1_1_-1_-1_-1,14.9841010150162,1.18533,0.68533,0.43533
Ga3,Ga1_1_-1_-1_-1,13.939015878494,1,0.80621,0.36922
Si3,Ga1_1_-1_-1_-1,13.939015878494,1,0.80621,0.36922
Ba1,Ga1_2_-1_-1_-1,14.040874830762,0.5,0.75,1
Ba2,Ga1_2_-1_-1_-1,18.4365718825722,0.75,1.25,1
Ga1,Ga1_2_-1_-1_-1,19.1598475308064,0.75,0.75,1.5
Si1,Ga1_2_-1_-1_-1,19.1598475308064,0.75,0.75,1.5
Ga2,Ga1_2_-1_-1_-1,17.29354885188,0.68533,0.93533,1.18533
Si2,Ga1_2_-1_-1_-1,17.29354885188,0.68533,0.93533,1.18533
Ga3,Ga1_2_-1_-1_-1,16.8756031576707,0.5,1.05621,1.11922
Si3,Ga1_2_-1_-1_-1,16.8756031576707,0.5,1.05621,1.11922
Ba1,Ga1_3_-1_-1_-1,11.9482641738507,0.25,1,0.5
Ba2,Ga1_3_-1_-1_-1,17.2950374630268,0.5,1.5,0.5
Ga1,Ga1_3_-1_-1_-1,15.64395,0.5,1,1
Si1,Ga1_3_-1_-1_-1,15.64395,0.5,1,1
Ga2,Ga1_3_-1_-1_-1,14.9841010150162,0.43533,1.18533,0.68533
Si2,Ga1_3_-1_-1_-1,14.9841010150162,0.43533,1.18533,0.68533
Ga3,Ga1_3_-1_-1_-1,15.2998860863249,0.25,1.30621,0.61922
Si3,Ga1_3_-1_-1_-1,15.2998860863249,0.25,1.30621,0.61922
Ba1,Ga1_4_-1_-1_-1,14.040874830762,1,0.5,0.75
Ba2,Ga1_4_-1_-1_-1,18.4365718825722,1.25,1,0.75
Ga1,Ga1_4_-1_-1_-1,19.1598475308064,1.25,0.5,1.25
Si1,Ga1_4_-1_-1_-1,19.1598475308064,1.25,0.5,1.25
Ga2,Ga1_4_-1_-1_-1,17.29354885188,1.18533,0.68533,0.93533
Si2,Ga1_4_-1_-1_-1,17.29354885188,1.18533,0.68533,0.93533
Ga3,Ga1_4_-1_-1_-1,16.1755651490724,1,0.80621,0.86922
Si3,Ga1_4_-1_-1_-1,16.1755651490724,1,0.80621,0.86922
Ba1,Ga1_5_-1_-1_-1,11.9482641738507,0.5,0.25,1
Ba2,Ga1_5_-1_-1_-1,15.2031866492275,0.75,0.75,1
Ga1,Ga1_5_-1_-1_-1,17.6837385232521,0.75,0.25,1.5
Si1,Ga1_5_-1_-1_-1,17.6837385232521,0.75,0.25,1.5
Ga2,Ga1_5_-1_-1_-1,14.9841010150162,0.68533,0.43533,1.18533
Si2,Ga1_5_-1_-1_-1,14.9841010150162,0.68533,0.43533,1.18533
Ga3,Ga1_5_-1_-1_-1,14.0390270171961,0.5,0.55621,1.11922
Si3,Ga1_5_-1_-1_-1,14.0390270171961,0.5,0.55621,1.11922
Ba1,Ga1_6_-1_-1_-1,14.040874830762,0.75,1,0.5
Ba2,Ga1_6_-1_-1_-1,19.5114336919407,1,1.5,0.5
Ga1,Ga1_6_-1_-1_-1,18.0640774873781,1,1,1
Si1,Ga1_6_-1_-1_-1,18.0640774873781,1,1,1
Ga2,Ga1_6_-1_-1_-1,17.29354885188,0.93533,1.18533,0.68533
Si2,Ga1_6_-1_-1_-1,17.29354885188,0.93533,1.18533,0.68533
Ga3,Ga1_6_-1_-1_-1,16.9844535826007,0.75,1.30621,0.61922
Si3,Ga1_6_-1_-1_-1,16.9844535826007,0.75,1.30621,0.61922
Ba1,Ga2_1_-1_-1_-1,8.5221589366429,0.31467,0.68533,0.31467
Ba2,Ga2_1_-1_-1_-1,14.0810097221969,0.56467,1.18533,0.31467
Ga1,Ga2_1_-1_-1_-1,12.5681357391739,0.56467,0.68533,0.81467
Si1,Ga2_1_-1_-1_-1,12.5681357391739,0.56467,0.68533,0.81467
Ga2,Ga2_1_-1_-1_-1,11.6977924140929,0.5,0.87066,0.5
Si2,Ga2_1_-1_-1_-1,11.6977924140929,0.5,0.87066,0.5
Ga3,Ga2_1_-1_-1_-1,11.7552105698685,0.31467,0.99154,0.43389
Si3,Ga2_1_-1_-1_-1,11.7552105698685,0.31467,0.99154,0.43389
Ba1,Ga2_4_-1_-1_-1,10.6275110811378,0.68533,0.31467,0.68533
Ba2,Ga2_4_-1_-1_-1,14.7794869402072,0.93533,0.81467,0.68533
Ga1,Ga2_4_-1_-1_-1,16.085708969581,0.93533,0.31467,1.18533
Si1,Ga2_4_-1_-1_-1,16.085708969581,0.93533,0.31467,1.18533
Ga2,Ga2_4_-1_-1_-1,13.8599773036942,0.87066,0.5,0.87066
Si2,Ga2_4_-1_-1_-1,13.8599773036942,0.87066,0.5,0.87066
Ga3,Ga2_4_-1_-1_-1,12.7837435030081,0.68533,0.62088,0.80455
Si3,Ga2_4_-1_-1_-1,12.7837435030081,0.68533,0.62088,0.80455
Ba1,Ga2_7_-1_-1_-1,8.5221589366429,0.31467,0.31467,0.68533
Ba2,Ga2_7_-1_-1_-1,12.5681357391739,0.56467,0.81467,0.68533
Ga1,Ga2_7_-1_-1_-1,14.0810097221969,0.56467,0.31467,1.18533
Si1,Ga2_7_-1_-1_-1,14.0810097221969,0.56467,0.31467,1.18533
Ga2,Ga2_7_-1_-1_-1,11.6977924140929,0.5,0.5,0.87066
Si2,Ga2_7_-1_-1_-1,11.6977924140929,0.5,0.5,0.87066
