Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Ba1,Ba1_1_-1_-1_-1,9.62976947738107,0.5,0.5,0.5
Ba2,Ba1_1_-1_-1_-1,14.970085018233,0.75,1,0.5
Ge1,Ba1_1_-1_-1_-1,14.970085018233,0.75,0.5,1
In1,Ba1_1_-1_-1_-1,14.970085018233,0.75,0.5,1
Ge2,Ba1_1_-1_-1_-1,13.1793025067437,0.6843,0.6843,0.6843
In2,Ba1_1_-1_-1_-1,13.1793025067437,0.6843,0.6843,0.6843
Ge3,Ba1_1_-1_-1_-1,12.5707389436622,0.5,0.8049,0.6166
In3,Ba1_1_-1_-1_-1,12.5707389436622,0.5,0.8049,0.6166
Ba1,Ba1_25_-1_-1_-1,19.2595389547621,1,1,1
Ba2,Ba1_25_-1_-1_-1,24.3933041264017,1.25,1.5,1
Ge1,Ba1_25_-1_-1_-1,24.3933041264017,1.25,1,1.5
In1,Ba1_25_-1_-1_-1,24.3933041264017,1.25,1,1.5
Ge2,Ba1_25_-1_-1_-1,22.8090719841248,1.1843,1.1843,1.1843
In2,Ba1_25_-1_-1_-1,22.8090719841248,1.1843,1.1843,1.1843
Ge3,Ba1_25_-1_-1_-1,22.0983370590997,1,1.3049,1.1166
In3,Ba1_25_-1_-1_-1,22.0983370590997,1,1.3049,1.1166
Ba1,Ba2_1_-1_-1_-1,12.7389876100154,0.5,1,0.25
Ba2,Ba2_1_-1_-1_-1,18.8540295618404,0.75,1.5,0.25
Ge1,Ba2_1_-1_-1_-1,16.2093173986831,0.75,1,0.75
In1,Ba2_1_-1_-1_-1,16.2093173986831,0.75,1,0.75
Ge2,Ba2_1_-1_-1_-1,15.9573521606789,0.6843,1.1843,0.4343
In2,Ba2_1_-1_-1_-1,15.9573521606789,0.6843,1.1843,0.4343
Ge3,Ba2_1_-1_-1_-1,16.0643473455967,0.5,1.3049,0.3666
In3,Ba2_1_-1_-1_-1,16.0643473455967,0.5,1.3049,0.3666
Ba1,Ba2_2_-1_-1_-1,14.970085018233,1,0.75,0.5
Ba2,Ba2_2_-1_-1_-1,20.4278258961582,1.25,1.25,0.5
Ge1,Ba2_2_-1_-1_-1,19.6566846335095,1.25,0.75,1
In1,Ba2_2_-1_-1_-1,19.6566846335095,1.25,0.75,1
Ge2,Ba2_2_-1_-1_-1,18.4186368837381,1.1843,0.9343,0.6843
In2,Ba2_2_-1_-1_-1,18.4186368837381,1.1843,0.9343,0.6843
Ge3,Ba2_2_-1_-1_-1,17.5568756027216,1,1.0549,0.6166
In3,Ba2_2_-1_-1_-1,17.5568756027216,1,1.0549,0.6166
Ba1,Ba2_3_-1_-1_-1,12.7389876100154,0.25,0.5,1
Ba2,Ba2_3_-1_-1_-1,16.67925,0.5,1,1
Ge1,Ba2_3_-1_-1_-1,18.4396046781784,0.5,0.5,1.5
In1,Ba2_3_-1_-1_-1,18.4396046781784,0.5,0.5,1.5
Ge2,Ba2_3_-1_-1_-1,15.9573521606789,0.4343,0.6843,1.1843
In2,Ba2_3_-1_-1_-1,15.9573521606789,0.4343,0.6843,1.1843
Ge3,Ba2_3_-1_-1_-1,15.5560158526365,0.25,0.8049,1.1166
In3,Ba2_3_-1_-1_-1,15.5560158526365,0.25,0.8049,1.1166
Ba1,Ba2_4_-1_-1_-1,14.970085018233,0.5,1,0.75
Ba2,Ba2_4_-1_-1_-1,20.4278258961582,0.75,1.5,0.75
Ge1,Ba2_4_-1_-1_-1,19.6566846335095,0.75,1,1.25
In1,Ba2_4_-1_-1_-1,19.6566846335095,0.75,1,1.25
Ge2,Ba2_4_-1_-1_-1,18.4186368837381,0.6843,1.1843,0.9343
In2,Ba2_4_-1_-1_-1,18.4186368837381,0.6843,1.1843,0.9343
Ge3,Ba2_4_-1_-1_-1,18.2839192254322,0.5,1.3049,0.8666
In3,Ba2_4_-1_-1_-1,18.2839192254322,0.5,1.3049,0.8666
Ba1,Ba2_5_-1_-1_-1,12.7389876100154,1,0.25,0.5
Ba2,Ba2_5_-1_-1_-1,17.1363003765034,1.25,0.75,0.5
Ge1,Ba2_5_-1_-1_-1,18.0156490489866,1.25,0.25,1
In1,Ba2_5_-1_-1_-1,18.0156490489866,1.25,0.25,1
Ge2,Ba2_5_-1_-1_-1,15.9573521606789,1.1843,0.4343,0.6843
In2,Ba2_5_-1_-1_-1,15.9573521606789,1.1843,0.4343,0.6843
Ge3,Ba2_5_-1_-1_-1,14.4472628776602,1,0.5549,0.6166
In3,Ba2_5_-1_-1_-1,14.4472628776602,1,0.5549,0.6166
Ba1,Ba2_6_-1_-1_-1,14.970085018233,0.75,0.5,1
Ba2,Ba2_6_-1_-1_-1,19.2595389547621,1,1,1
Ge1,Ba2_6_-1_-1_-1,20.8026796561164,1,0.5,1.5
