Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Ba1,Ba1_1_-1_-1_-1,8.97687292546798,0.5,0.5,0.5
Ba2,Ba1_1_-1_-1_-1,13.9551160812084,0.75,0.5,1
Si1,Ba1_1_-1_-1_-1,13.9551160812084,0.75,1,0.5
Pt1,Ba1_1_-1_-1_-1,13.9551160812084,0.75,1,0.5
Si2,Ba1_1_-1_-1_-1,12.2659991653594,0.6832,0.6832,0.6832
Si3,Ba1_1_-1_-1_-1,11.8405793268072,0.5,0.6246,0.8153
Pt3,Ba1_1_-1_-1_-1,11.8405793268072,0.5,0.6246,0.8153
Ba1,Ba1_25_-1_-1_-1,17.953745850936,1,1,1
Ba2,Ba1_25_-1_-1_-1,22.7394427134879,1.25,1,1.5
Si1,Ba1_25_-1_-1_-1,22.7394427134879,1.25,1.5,1
Pt1,Ba1_25_-1_-1_-1,22.7394427134879,1.25,1.5,1
Si2,Ba1_25_-1_-1_-1,21.2428720908274,1.1832,1.1832,1.1832
Si3,Ba1_25_-1_-1_-1,20.7175628071083,1,1.1246,1.3153
Pt3,Ba1_25_-1_-1_-1,20.7175628071083,1,1.1246,1.3153
Ba1,Ba2_1_-1_-1_-1,11.8752866559086,1,0.5,0.25
Ba2,Ba2_1_-1_-1_-1,15.9744624472938,1.25,0.5,0.75
Si1,Ba2_1_-1_-1_-1,16.7941914458541,1.25,1,0.25
Pt1,Ba2_1_-1_-1_-1,16.7941914458541,1.25,1,0.25
Si2,Ba2_1_-1_-1_-1,14.8571512723124,1.1832,0.6832,0.4332
Si3,Ba2_1_-1_-1_-1,13.5535491885229,1,0.6246,0.5653
Pt3,Ba2_1_-1_-1_-1,13.5535491885229,1,0.6246,0.5653
Ba1,Ba2_2_-1_-1_-1,13.9551160812084,0.5,0.75,1
Ba2,Ba2_2_-1_-1_-1,19.042823158345,0.75,0.75,1.5
Si1,Ba2_2_-1_-1_-1,18.3239651276682,0.75,1.25,1
Pt1,Ba2_2_-1_-1_-1,18.3239651276682,0.75,1.25,1
Si2,Ba2_2_-1_-1_-1,17.1505632891729,0.6832,0.9332,1.1832
Si3,Ba2_2_-1_-1_-1,17.1735790853028,0.5,0.8746,1.3153
Pt3,Ba2_2_-1_-1_-1,17.1735790853028,0.5,0.8746,1.3153
Ba1,Ba2_3_-1_-1_-1,11.8752866559086,0.25,1,0.5
Ba2,Ba2_3_-1_-1_-1,15.5484,0.5,1,1
Si1,Ba2_3_-1_-1_-1,17.189402963454,0.5,1.5,0.5
Pt1,Ba2_3_-1_-1_-1,17.189402963454,0.5,1.5,0.5
Si2,Ba2_3_-1_-1_-1,14.8571512723124,0.4332,1.1832,0.6832
Si3,Ba2_3_-1_-1_-1,14.6296012963126,0.25,1.1246,0.8153
Pt3,Ba2_3_-1_-1_-1,14.6296012963126,0.25,1.1246,0.8153
Ba1,Ba2_4_-1_-1_-1,13.9551160812084,1,0.5,0.75
Ba2,Ba2_4_-1_-1_-1,19.042823158345,1.25,0.5,1.25
Si1,Ba2_4_-1_-1_-1,18.3239651276682,1.25,1,0.75
Pt1,Ba2_4_-1_-1_-1,18.3239651276682,1.25,1,0.75
Si2,Ba2_4_-1_-1_-1,17.1505632891729,1.1832,0.6832,0.9332
Si3,Ba2_4_-1_-1_-1,16.4711610077468,1,0.6246,1.0653
Pt3,Ba2_4_-1_-1_-1,16.4711610077468,1,0.6246,1.0653
Ba1,Ba2_5_-1_-1_-1,11.8752866559086,0.5,0.25,1
Ba2,Ba2_5_-1_-1_-1,17.5757299182708,0.75,0.25,1.5
Si1,Ba2_5_-1_-1_-1,15.1103287403021,0.75,0.75,1
Pt1,Ba2_5_-1_-1_-1,15.1103287403021,0.75,0.75,1
Si2,Ba2_5_-1_-1_-1,14.8571512723124,0.6832,0.4332,1.1832
Si3,Ba2_5_-1_-1_-1,15.0937489466499,0.5,0.3746,1.3153
Pt3,Ba2_5_-1_-1_-1,15.0937489466499,0.5,0.3746,1.3153
Ba1,Ba2_6_-1_-1_-1,13.9551160812084,0.75,1,0.5
Ba2,Ba2_6_-1_-1_-1,17.953745850936,1,1,1
Si1,Ba2_6_-1_-1_-1,19.392261904172,1,1.5,0.5
Pt1,Ba2_6_-1_-1_-1,19.392261904172,1,1.5,0.5
