Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Ba1,Ba1_1_-1_-1_-1,9.18497882999738,0.5,0.5,0.5
Sr1,Ba1_1_-1_-1_-1,9.18497882999738,0.5,0.5,0.5
Ba2,Ba1_1_-1_-1_-1,14.278629856997,0.75,1,0.5
Si1,Ba1_1_-1_-1_-1,11.9985901061005,0.5,0.80528,0.61757
Al1,Ba1_1_-1_-1_-1,11.9985901061005,0.5,0.80528,0.61757
Si2,Ba1_1_-1_-1_-1,12.5821534700179,0.684931,0.684931,0.684931
Al2,Ba1_1_-1_-1_-1,12.5821534700179,0.684931,0.684931,0.684931
Si3,Ba1_1_-1_-1_-1,14.278629856997,0.75,0.5,1
Al3,Ba1_1_-1_-1_-1,14.278629856997,0.75,0.5,1
Ba1,Ba1_25_-1_-1_-1,18.3699576599948,1,1,1
Sr1,Ba1_25_-1_-1_-1,18.3699576599948,1,1,1
Ba2,Ba1_25_-1_-1_-1,23.2665986990605,1.25,1.5,1
Si1,Ba1_25_-1_-1_-1,21.0860618336882,1,1.30528,1.11757
Al1,Ba1_25_-1_-1_-1,21.0860618336882,1,1.30528,1.11757
Si2,Ba1_25_-1_-1_-1,21.7671323000152,1.184931,1.184931,1.184931
Al2,Ba1_25_-1_-1_-1,21.7671323000152,1.184931,1.184931,1.184931
Si3,Ba1_25_-1_-1_-1,23.2665986990605,1.25,1,1.5
Al3,Ba1_25_-1_-1_-1,23.2665986990605,1.25,1,1.5
Ba1,Ba2_1_-1_-1_-1,12.150584890783,0.5,1,0.25
Sr1,Ba2_1_-1_-1_-1,12.150584890783,0.5,1,0.25
Ba2,Ba2_1_-1_-1_-1,17.9831783920071,0.75,1.5,0.25
Si1,Ba2_1_-1_-1_-1,15.3286026757147,0.5,1.30528,0.36757
Al1,Ba2_1_-1_-1_-1,15.3286026757147,0.5,1.30528,0.36757
Si2,Ba2_1_-1_-1_-1,15.2310359269214,0.684931,1.184931,0.434931
Al2,Ba2_1_-1_-1_-1,15.2310359269214,0.684931,1.184931,0.434931
Si3,Ba2_1_-1_-1_-1,15.4606231753849,0.75,1,0.75
Al3,Ba2_1_-1_-1_-1,15.4606231753849,0.75,1,0.75
Ba1,Ba2_2_-1_-1_-1,14.278629856997,1,0.75,0.5
Sr1,Ba2_2_-1_-1_-1,14.278629856997,1,0.75,0.5
Ba2,Ba2_2_-1_-1_-1,19.4842824472381,1.25,1.25,0.5
Si1,Ba2_2_-1_-1_-1,16.7526513407411,1,1.05528,0.61757
Al1,Ba2_2_-1_-1_-1,16.7526513407411,1,1.05528,0.61757
Si2,Ba2_2_-1_-1_-1,17.5792206192169,1.184931,0.934931,0.684931
Al2,Ba2_2_-1_-1_-1,17.5792206192169,1.184931,0.934931,0.684931
Si3,Ba2_2_-1_-1_-1,18.748759526466,1.25,0.75,1
Al3,Ba2_2_-1_-1_-1,18.748759526466,1.25,0.75,1
Ba1,Ba2_3_-1_-1_-1,12.150584890783,0.25,0.5,1
Sr1,Ba2_3_-1_-1_-1,12.150584890783,0.25,0.5,1
Ba2,Ba2_3_-1_-1_-1,15.90885,0.5,1,1
Si1,Ba2_3_-1_-1_-1,14.8480273626852,0.25,0.80528,1.11757
Al1,Ba2_3_-1_-1_-1,14.8480273626852,0.25,0.80528,1.11757
Si2,Ba2_3_-1_-1_-1,15.2310359269214,0.434931,0.684931,1.184931
Al2,Ba2_3_-1_-1_-1,15.2310359269214,0.434931,0.684931,1.184931
Si3,Ba2_3_-1_-1_-1,17.5878954320152,0.5,0.5,1.5
Al3,Ba2_3_-1_-1_-1,17.5878954320152,0.5,0.5,1.5
Ba1,Ba2_4_-1_-1_-1,14.278629856997,0.5,1,0.75
Sr1,Ba2_4_-1_-1_-1,14.278629856997,0.5,1,0.75
Ba2,Ba2_4_-1_-1_-1,19.4842824472381,0.75,1.5,0.75
Si1,Ba2_4_-1_-1_-1,17.4480225912033,0.5,1.30528,0.86757
Al1,Ba2_4_-1_-1_-1,17.4480225912033,0.5,1.30528,0.86757
Si2,Ba2_4_-1_-1_-1,17.5792206192169,0.684931,1.184931,0.934931
Al2,Ba2_4_-1_-1_-1,17.5792206192169,0.684931,1.184931,0.934931
Si3,Ba2_4_-1_-1_-1,18.748759526466,0.75,1,1.25
Al3,Ba2_4_-1_-1_-1,18.748759526466,0.75,1,1.25
Ba1,Ba2_5_-1_-1_-1,12.150584890783,1,0.25,0.5
Sr1,Ba2_5_-1_-1_-1,12.150584890783,1,0.25,0.5
Ba2,Ba2_5_-1_-1_-1,16.3447896185222,1.25,0.75,0.5
Si1,Ba2_5_-1_-1_-1,13.7865627946287,1,0.55528,0.61757
Al1,Ba2_5_-1_-1_-1,13.7865627946287,1,0.55528,0.61757
Si2,Ba2_5_-1_-1_-1,15.2310359269214,1.184931,0.434931,0.684931
Al2,Ba2_5_-1_-1_-1,15.2310359269214,1.184931,0.434931,0.684931
Si3,Ba2_5_-1_-1_-1,17.183521943311,1.25,0.25,1
Al3,Ba2_5_-1_-1_-1,17.183521943311,1.25,0.25,1
Ba1,Ba2_6_-1_-1_-1,14.278629856997,0.75,0.5,1
Sr1,Ba2_6_-1_-1_-1,14.278629856997,0.75,0.5,1
Ba2,Ba2_6_-1_-1_-1,18.3699576599948,1,1,1
Si1,Ba2_6_-1_-1_-1,16.6344965047954,0.75,0.80528,1.11757
Al1,Ba2_6_-1_-1_-1,16.6344965047954,0.75,0.80528,1.11757
Si2,Ba2_6_-1_-1_-1,17.5792206192169,0.934931,0.684931,1.184931
Al2,Ba2_6_-1_-1_-1,17.5792206192169,0.934931,0.684931,1.184931
Si3,Ba2_6_-1_-1_-1,19.8418220391929,1,0.5,1.5
Al3,Ba2_6_-1_-1_-1,19.8418220391929,1,0.5,1.5
Ba1,Si1_1_-1_-1_-1,10.8404988186794,0.38243,0.80528,0.5
Sr1,Si1_1_-1_-1_-1,10.8404988186794,0.38243,0.80528,0.5
Ba2,Si1_1_-1_-1_-1,16.2714125846069,0.63243,1.30528,0.5
Si1,Si1_1_-1_-1_-1,14.0742687635197,0.38243,1.11056,0.61757
Al1,Si1_1_-1_-1_-1,14.0742687635197,0.38243,1.11056,0.61757
Si2,Si1_1_-1_-1_-1,14.1163963388172,0.567361,0.990211,0.684931
Al2,Si1_1_-1_-1_-1,14.1163963388172,0.567361,0.990211,0.684931
Si3,Si1_1_-1_-1_-1,15.1795721826838,0.63243,0.80528,1
Al3,Si1_1_-1_-1_-1,15.1795721826838,0.63243,0.80528,1
Ba1,Si1_2_-1_-1_-1,6.98838342818964,0.19472,0.5,0.38243
Sr1,Si1_2_-1_-1_-1,6.98838342818964,0.19472,0.5,0.38243
Ba2,Si1_2_-1_-1_-1,12.295658156456,0.44472,1,0.38243
Si1,Si1_2_-1_-1_-1,10.2630470266284,0.19472,0.80528,0.5
Al1,Si1_2_-1_-1_-1,10.2630470266284,0.19472,0.80528,0.5
Si2,Si1_2_-1_-1_-1,10.2563158228278,0.379651,0.684931,0.567361
Al2,Si1_2_-1_-1_-1,10.2563158228278,0.379651,0.684931,0.567361
Si3,Si1_2_-1_-1_-1,11.7455665913659,0.44472,0.5,0.88243
Al3,Si1_2_-1_-1_-1,11.7455665913659,0.44472,0.5,0.88243
Ba1,Si1_3_-1_-1_-1,8.67682273852699,0.5,0.61757,0.19472
Sr1,Si1_3_-1_-1_-1,8.67682273852699,0.5,0.61757,0.19472
Ba2,Si1_3_-1_-1_-1,14.423160619977,0.75,1.11757,0.19472
Si1,Si1_3_-1_-1_-1,11.6141974007045,0.5,0.92285,0.31229
Al1,Si1_3_-1_-1_-1,11.6141974007045,0.5,0.92285,0.31229
Si2,Si1_3_-1_-1_-1,11.8922042342957,0.684931,0.802501,0.379651
Al2,Si1_3_-1_-1_-1,11.8922042342957,0.684931,0.802501,0.379651
Si3,Si1_3_-1_-1_-1,12.6674082381617,0.75,0.61757,0.69472
Al3,Si1_3_-1_-1_-1,12.6674082381617,0.75,0.61757,0.69472
Ba1,Si1_4_-1_-1_-1,8.67682273852699,0.61757,0.19472,0.5
Sr1,Si1_4_-1_-1_-1,8.67682273852699,0.61757,0.19472,0.5
Ba2,Si1_4_-1_-1_-1,12.9257753711858,0.86757,0.69472,0.5
Si1,Si1_4_-1_-1_-1,10.6734850493757,0.61757,0.5,0.61757
Al1,Si1_4_-1_-1_-1,10.6734850493757,0.61757,0.5,0.61757
Si2,Si1_4_-1_-1_-1,11.8922042342957,0.802501,0.379651,0.684931
Al2,Si1_4_-1_-1_-1,11.8922042342957,0.802501,0.379651,0.684931
Si3,Si1_4_-1_-1_-1,14.192079650127,0.86757,0.19472,1
Al3,Si1_4_-1_-1_-1,14.192079650127,0.86757,0.19472,1
Ba1,Si1_5_-1_-1_-1,11.9985901061005,0.80528,0.5,0.61757
Sr1,Si1_5_-1_-1_-1,11.9985901061005,0.80528,0.5,0.61757
Ba2,Si1_5_-1_-1_-1,16.7526513407411,1.05528,1,0.61757
Si1,Si1_5_-1_-1_-1,14.3763065512755,0.80528,0.80528,0.73514
Al1,Si1_5_-1_-1_-1,14.3763065512755,0.80528,0.80528,0.73514
Si2,Si1_5_-1_-1_-1,15.3461771424412,0.990211,0.684931,0.802501
Al2,Si1_5_-1_-1_-1,15.3461771424412,0.990211,0.684931,0.802501
Si3,Si1_5_-1_-1_-1,17.1428177932523,1.05528,0.5,1.11757
Al3,Si1_5_-1_-1_-1,17.1428177932523,1.05528,0.5,1.11757
Ba1,Si1_6_-1_-1_-1,10.8404988186794,0.5,0.38243,0.80528
Sr1,Si1_6_-1_-1_-1,10.8404988186794,0.5,0.38243,0.80528
Ba2,Si1_6_-1_-1_-1,14.9601796170769,0.75,0.88243,0.80528
Si1,Si1_6_-1_-1_-1,13.3085965850837,0.5,0.68771,0.92285
Al1,Si1_6_-1_-1_-1,13.3085965850837,0.5,0.68771,0.92285
Si2,Si1_6_-1_-1_-1,14.1163963388172,0.684931,0.567361,0.990211
Al2,Si1_6_-1_-1_-1,14.1163963388172,0.684931,0.567361,0.990211
Si3,Si1_6_-1_-1_-1,16.4733513582577,0.75,0.38243,1.30528
Al3,Si1_6_-1_-1_-1,16.4733513582577,0.75,0.38243,1.30528
Ba1,Si1_7_-1_-1_-1,6.98838342818964,0.38243,0.19472,0.5
Sr1,Si1_7_-1_-1_-1,6.98838342818964,0.38243,0.19472,0.5
Ba2,Si1_7_-1_-1_-1,11.2872070992659,0.63243,0.69472,0.5
Si1,Si1_7_-1_-1_-1,9.35272865012251,0.38243,0.5,0.61757
Al1,Si1_7_-1_-1_-1,9.35272865012251,0.38243,0.5,0.61757
Si2,Si1_7_-1_-1_-1,10.2563158228278,0.567361,0.379651,0.684931
Al2,Si1_7_-1_-1_-1,10.2563158228278,0.567361,0.379651,0.684931
Si3,Si1_7_-1_-1_-1,12.7177238510244,0.63243,0.19472,1
Al3,Si1_7_-1_-1_-1,12.7177238510244,0.63243,0.19472,1
Ba1,Si1_8_-1_-1_-1,8.67682273852699,0.19472,0.5,0.61757
Sr1,Si1_8_-1_-1_-1,8.67682273852699,0.19472,0.5,0.61757
Ba2,Si1_8_-1_-1_-1,13.3279015376332,0.44472,1,0.61757
Si1,Si1_8_-1_-1_-1,11.7473094093011,0.19472,0.80528,0.73514
Al1,Si1_8_-1_-1_-1,11.7473094093011,0.19472,0.80528,0.73514
Si2,Si1_8_-1_-1_-1,11.8922042342957,0.379651,0.684931,0.802501
Al2,Si1_8_-1_-1_-1,11.8922042342957,0.379651,0.684931,0.802501
Si3,Si1_8_-1_-1_-1,13.8151306307634,0.44472,0.5,1.11757
Al3,Si1_8_-1_-1_-1,13.8151306307634,0.44472,0.5,1.11757
Ba1,Si1_10_-1_-1_-1,11.9985901061005,0.61757,0.80528,0.5
Sr1,Si1_10_-1_-1_-1,11.9985901061005,0.61757,0.80528,0.5
Ba2,Si1_10_-1_-1_-1,17.4480225912033,0.86757,1.30528,0.5
Si1,Si1_10_-1_-1_-1,14.984485013647,0.61757,1.11056,0.61757
Al1,Si1_10_-1_-1_-1,14.984485013647,0.61757,1.11056,0.61757
Si2,Si1_10_-1_-1_-1,15.3461771424412,0.802501,0.990211,0.684931
Al2,Si1_10_-1_-1_-1,15.3461771424412,0.802501,0.990211,0.684931
Si3,Si1_10_-1_-1_-1,16.4345379154372,0.86757,0.80528,1
Al3,Si1_10_-1_-1_-1,16.4345379154372,0.86757,0.80528,1
Ba1,Si1_11_-1_-1_-1,10.8404988186794,0.80528,0.5,0.38243
Sr1,Si1_11_-1_-1_-1,10.8404988186794,0.80528,0.5,0.38243
Ba2,Si1_11_-1_-1_-1,15.9437002307498,1.05528,1,0.38243
Si1,Si1_11_-1_-1_-1,13.1912488403934,0.80528,0.80528,0.5
Al1,Si1_11_-1_-1_-1,13.1912488403934,0.80528,0.80528,0.5
Si2,Si1_11_-1_-1_-1,14.1163963388172,0.990211,0.684931,0.567361
Al2,Si1_11_-1_-1_-1,14.1163963388172,0.990211,0.684931,0.567361
Si3,Si1_11_-1_-1_-1,15.5234243032844,1.05528,0.5,0.88243
Al3,Si1_11_-1_-1_-1,15.5234243032844,1.05528,0.5,0.88243
Ba1,Si1_15_-1_-1_-1,6.98838342818964,0.5,0.38243,0.19472
Sr1,Si1_15_-1_-1_-1,6.98838342818964,0.5,0.38243,0.19472
Ba2,Si1_15_-1_-1_-1,12.4550416489392,0.75,0.88243,0.19472
Si1,Si1_15_-1_-1_-1,9.60680342618437,0.5,0.68771,0.31229
Al1,Si1_15_-1_-1_-1,9.60680342618437,0.5,0.68771,0.31229
Si2,Si1_15_-1_-1_-1,10.2563158228278,0.684931,0.567361,0.379651
Al2,Si1_15_-1_-1_-1,10.2563158228278,0.684931,0.567361,0.379651
Si3,Si1_15_-1_-1_-1,11.5764192035285,0.75,0.38243,0.69472
Al3,Si1_15_-1_-1_-1,11.5764192035285,0.75,0.38243,0.69472
Ba1,Si1_18_-1_-1_-1,11.9985901061005,0.5,0.61757,0.80528
Sr1,Si1_18_-1_-1_-1,11.9985901061005,0.5,0.61757,0.80528
Ba2,Si1_18_-1_-1_-1,16.6344965047954,0.75,1.11757,0.80528
Si1,Si1_18_-1_-1_-1,14.8228759779499,0.5,0.92285,0.92285
Al1,Si1_18_-1_-1_-1,14.8228759779499,0.5,0.92285,0.92285
Si2,Si1_18_-1_-1_-1,15.3461771424412,0.684931,0.802501,0.990211
Al2,Si1_18_-1_-1_-1,15.3461771424412,0.684931,0.802501,0.990211
Si3,Si1_18_-1_-1_-1,17.2574927167603,0.75,0.61757,1.30528
Al3,Si1_18_-1_-1_-1,17.2574927167603,0.75,0.61757,1.30528
Ba1,Si1_25_-1_-1_-1,14.5106332512706,0.88243,1,0.30528
Sr1,Si1_25_-1_-1_-1,14.5106332512706,0.88243,1,0.30528
Ba2,Si1_25_-1_-1_-1,20.1946852035851,1.13243,1.5,0.30528
Si1,Si1_25_-1_-1_-1,17.3017330440901,0.88243,1.30528,0.42285
Al1,Si1_25_-1_-1_-1,17.3017330440901,0.88243,1.30528,0.42285
Si2,Si1_25_-1_-1_-1,17.6951036469582,1.067361,1.184931,0.490211
Al2,Si1_25_-1_-1_-1,17.6951036469582,1.067361,1.184931,0.490211
