Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
K1,K1_1_-1_-1_-1,8.61781879305895,0.5,0.5,0.5
K2,K1_1_-1_-1_-1,13.3969437489489,0.75,1,0.5
Si1,K1_1_-1_-1_-1,13.3969437489489,0.75,0.5,1
Si2,K1_1_-1_-1_-1,12.0075516371208,0.69667,0.69667,0.69667
Si3,K1_1_-1_-1_-1,11.7693551256806,0.68285,0.68285,0.68285
Si4,K1_1_-1_-1_-1,11.2479099775336,0.5,0.80356,0.61801
Si5,K1_1_-1_-1_-1,11.2715881982142,0.516,0.78995,0.6267
K1,K1_25_-1_-1_-1,17.2356375861179,1,1,1
K2,K1_25_-1_-1_-1,21.8299176547348,1.25,1.5,1
Si1,K1_25_-1_-1_-1,21.8299176547348,1.25,1,1.5
Si2,K1_25_-1_-1_-1,20.6253704301797,1.19667,1.19667,1.19667
Si3,K1_25_-1_-1_-1,20.3871739187396,1.18285,1.18285,1.18285
Si4,K1_25_-1_-1_-1,19.7752561222926,1,1.30356,1.11801
Si5,K1_25_-1_-1_-1,19.8164362223073,1.016,1.28995,1.1267
K1,K2_1_-1_-1_-1,11.4003026851264,0.5,1,0.25
K2,K2_1_-1_-1_-1,16.8727414155199,0.75,1.5,0.25
Si1,K2_1_-1_-1_-1,14.5059505764014,0.75,1,0.75
Si2,K2_1_-1_-1_-1,14.4782169027459,0.69667,1.19667,0.44667
Si3,K2_1_-1_-1_-1,14.2573119362771,0.68285,1.18285,0.43285
Si4,K2_1_-1_-1_-1,14.3677417398057,0.5,1.30356,0.36801
Si5,K2_1_-1_-1_-1,14.3243595716954,0.516,1.28995,0.3767
K1,K2_2_-1_-1_-1,13.3969437489489,1,0.75,0.5
K2,K2_2_-1_-1_-1,18.2811543228266,1.25,1.25,0.5
Si1,K2_2_-1_-1_-1,17.5910489489683,1.25,0.75,1
Si2,K2_2_-1_-1_-1,16.6914559217471,1.19667,0.94667,0.69667
Si3,K2_2_-1_-1_-1,16.4586873769192,1.18285,0.93285,0.68285
Si4,K2_2_-1_-1_-1,15.7084817837046,1,1.05356,0.61801
Si5,K2_2_-1_-1_-1,15.7543686821655,1.016,1.03995,0.6267
K1,K2_3_-1_-1_-1,11.4003026851264,0.25,0.5,1
K2,K2_3_-1_-1_-1,14.9265,0.5,1,1
Si1,K2_3_-1_-1_-1,16.5018666444133,0.5,0.5,1.5
Si2,K2_3_-1_-1_-1,14.4782169027459,0.44667,0.69667,1.19667
Si3,K2_3_-1_-1_-1,14.2573119362771,0.43285,0.68285,1.18285
Si4,K2_3_-1_-1_-1,13.9248415778137,0.25,0.80356,1.11801
Si5,K2_3_-1_-1_-1,13.9464246339814,0.266,0.78995,1.1267
K1,K2_4_-1_-1_-1,13.3969437489489,0.5,1,0.75
K2,K2_4_-1_-1_-1,18.2811543228266,0.75,1.5,0.75
Si1,K2_4_-1_-1_-1,17.5910489489683,0.75,1,1.25
Si2,K2_4_-1_-1_-1,16.6914559217471,0.69667,1.19667,0.94667
Si3,K2_4_-1_-1_-1,16.4586873769192,0.68285,1.18285,0.93285
Si4,K2_4_-1_-1_-1,16.3593654138467,0.5,1.30356,0.86801
Si5,K2_4_-1_-1_-1,16.3476180480803,0.516,1.28995,0.8767
K1,K2_5_-1_-1_-1,11.4003026851264,1,0.25,0.5
K2,K2_5_-1_-1_-1,15.3355209358861,1.25,0.75,0.5
Si1,K2_5_-1_-1_-1,16.1224626724642,1.25,0.25,1
Si2,K2_5_-1_-1_-1,14.4782169027459,1.19667,0.44667,0.69667
Si3,K2_5_-1_-1_-1,14.2573119362771,1.18285,0.43285,0.68285
Si4,K2_5_-1_-1_-1,12.930040966734,1,0.55356,0.61801
Si5,K2_5_-1_-1_-1,13.0375376089063,1.016,0.53995,0.6267
K1,K2_6_-1_-1_-1,13.3969437489489,0.75,0.5,1
K2,K2_6_-1_-1_-1,17.2356375861179,1,1,1
Si1,K2_6_-1_-1_-1,18.6166163278937,1,0.5,1.5
Si2,K2_6_-1_-1_-1,16.6914559217471,0.94667,0.69667,1.19667
Si3,K2_6_-1_-1_-1,16.4586873769192,0.93285,0.68285,1.18285
Si4,K2_6_-1_-1_-1,15.6016798283778,0.75,0.80356,1.11801
Si5,K2_6_-1_-1_-1,15.6715767868878,0.766,0.78995,1.1267
K1,Si1_1_-1_-1_-1,11.4003026851264,1,0.5,0.25
K2,Si1_1_-1_-1_-1,16.1224626724642,1.25,1,0.25
Si1,Si1_1_-1_-1_-1,15.3355209358861,1.25,0.5,0.75
Si2,Si1_1_-1_-1_-1,14.4782169027459,1.19667,0.69667,0.44667
Si3,Si1_1_-1_-1_-1,14.2573119362771,1.18285,0.68285,0.43285
Si4,Si1_1_-1_-1_-1,13.2805407515731,1,0.80356,0.36801
Si5,Si1_1_-1_-1_-1,13.343915856497,1.016,0.78995,0.3767
K1,Si1_2_-1_-1_-1,13.3969437489489,0.5,0.75,1
K2,Si1_2_-1_-1_-1,17.5910489489683,0.75,1.25,1
Si1,Si1_2_-1_-1_-1,18.2811543228266,0.75,0.75,1.5
Si2,Si1_2_-1_-1_-1,16.6914559217471,0.69667,0.94667,1.19667
Si3,Si1_2_-1_-1_-1,16.4586873769192,0.68285,0.93285,1.18285
Si4,Si1_2_-1_-1_-1,16.0761324170644,0.5,1.05356,1.11801
Si5,Si1_2_-1_-1_-1,16.0985065258954,0.516,1.03995,1.1267
K1,Si1_3_-1_-1_-1,11.4003026851264,0.25,1,0.5
K2,Si1_3_-1_-1_-1,16.5018666444133,0.5,1.5,0.5
Si1,Si1_3_-1_-1_-1,14.9265,0.5,1,1
Si2,Si1_3_-1_-1_-1,14.4782169027459,0.44667,1.19667,0.69667
Si3,Si1_3_-1_-1_-1,14.2573119362771,0.43285,1.18285,0.68285
Si4,Si1_3_-1_-1_-1,14.5696540615335,0.25,1.30356,0.61801
