Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Ba1,Ba1_1_-1_-1_-1,9.0956916108672,0.5,0.5,0.5
Ba2,Ba1_1_-1_-1_-1,14.1398272340931,0.75,1,0.5
Ga1,Ba1_1_-1_-1_-1,14.1398272340931,0.75,0.5,1
Si1,Ba1_1_-1_-1_-1,14.1398272340931,0.75,0.5,1
Ga2,Ba1_1_-1_-1_-1,12.4709208538278,0.68554,0.68554,0.68554
Si2,Ba1_1_-1_-1_-1,12.4709208538278,0.68554,0.68554,0.68554
Ga3,Ba1_1_-1_-1_-1,11.8984651174472,0.5,0.8059,0.61964
Si3,Ba1_1_-1_-1_-1,11.8984651174472,0.5,0.8059,0.61964
Ba1,Ba1_25_-1_-1_-1,18.1913832217344,1,1,1
Ba2,Ba1_25_-1_-1_-1,23.0404239919755,1.25,1.5,1
Ga1,Ba1_25_-1_-1_-1,23.0404239919755,1.25,1,1.5
Si1,Ba1_25_-1_-1_-1,23.0404239919755,1.25,1,1.5
Ga2,Ba1_25_-1_-1_-1,21.566612464695,1.18554,1.18554,1.18554
Si2,Ba1_25_-1_-1_-1,21.566612464695,1.18554,1.18554,1.18554
Ga3,Ba1_25_-1_-1_-1,20.8975859821019,1,1.3059,1.11964
Si3,Ba1_25_-1_-1_-1,20.8975859821019,1,1.3059,1.11964
Ba1,Ba2_1_-1_-1_-1,12.0324690022456,0.5,1,0.25
Ba2,Ba2_1_-1_-1_-1,17.808363836692,0.75,1.5,0.25
Ga1,Ba2_1_-1_-1_-1,15.3103303902953,0.75,1,0.75
Si1,Ba2_1_-1_-1_-1,15.3103303902953,0.75,1,0.75
Ga2,Ba2_1_-1_-1_-1,15.093240853301,0.68554,1.18554,0.43554
Si2,Ba2_1_-1_-1_-1,15.093240853301,0.68554,1.18554,0.43554
Ga3,Ba2_1_-1_-1_-1,15.1910160290342,0.5,1.3059,0.36964
Si3,Ba2_1_-1_-1_-1,15.1910160290342,0.5,1.3059,0.36964
Ba1,Ba2_2_-1_-1_-1,14.1398272340931,1,0.75,0.5
Ba2,Ba2_2_-1_-1_-1,19.2948756528774,1.25,1.25,0.5
Ga1,Ba2_2_-1_-1_-1,18.5665027536152,1.25,0.75,1
Si1,Ba2_2_-1_-1_-1,18.5665027536152,1.25,0.75,1
Ga2,Ba2_2_-1_-1_-1,17.4191566840185,1.18554,0.93554,0.68554
Si2,Ba2_2_-1_-1_-1,17.4191566840185,1.18554,0.93554,0.68554
Ga3,Ba2_2_-1_-1_-1,16.6026598061948,1,1.0559,0.61964
Si3,Ba2_2_-1_-1_-1,16.6026598061948,1,1.0559,0.61964
Ba1,Ba2_3_-1_-1_-1,12.0324690022456,0.25,0.5,1
Ba2,Ba2_3_-1_-1_-1,15.7542,0.5,1,1
Ga1,Ba2_3_-1_-1_-1,17.4169234240723,0.5,0.5,1.5
Si1,Ba2_3_-1_-1_-1,17.4169234240723,0.5,0.5,1.5
Ga2,Ba2_3_-1_-1_-1,15.093240853301,0.43554,0.68554,1.18554
Si2,Ba2_3_-1_-1_-1,15.093240853301,0.43554,0.68554,1.18554
Ga3,Ba2_3_-1_-1_-1,14.7247927771866,0.25,0.8059,1.11964
Si3,Ba2_3_-1_-1_-1,14.7247927771866,0.25,0.8059,1.11964
Ba1,Ba2_4_-1_-1_-1,14.1398272340931,0.5,1,0.75
Ba2,Ba2_4_-1_-1_-1,19.2948756528774,0.75,1.5,0.75
Ga1,Ba2_4_-1_-1_-1,18.5665027536152,0.75,1,1.25
Si1,Ba2_4_-1_-1_-1,18.5665027536152,0.75,1,1.25
Ga2,Ba2_4_-1_-1_-1,17.4191566840185,0.68554,1.18554,0.93554
Si2,Ba2_4_-1_-1_-1,17.4191566840185,0.68554,1.18554,0.93554
