Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Ge1,Ge1_1_-1_-1_-1,16.4173755934071,1.25,0.5,0.75
Ga1,Ge1_1_-1_-1_-1,15.2656672251822,1.183,0.683,0.433
Ge2,Ge1_1_-1_-1_-1,14.2529655633101,1,0.81,0.366
Na1,Ge1_1_-1_-1_-1,12.2045447195911,1,0.5,0.25
Na2,Ge1_1_-1_-1_-1,17.2598326650347,1.25,1,0.25
Ge1,Ge1_2_-1_-1_-1,19.5708106724019,0.75,0.75,1.5
Ga1,Ge1_2_-1_-1_-1,17.6224803355544,0.683,0.933,1.183
Ge2,Ge1_2_-1_-1_-1,17.2402801720246,0.5,1.06,1.116
Na1,Ge1_2_-1_-1_-1,14.342040172601,0.5,0.75,1
Na2,Ge1_2_-1_-1_-1,18.8320213499507,0.75,1.25,1
Ge1,Ge1_3_-1_-1_-1,15.9795,0.5,1,1
Ga1,Ge1_3_-1_-1_-1,15.2656672251822,0.433,1.183,0.683
Ge2,Ge1_3_-1_-1_-1,15.64960146013,0.25,1.31,0.616
Na1,Ge1_3_-1_-1_-1,12.2045447195911,0.25,1,0.5
Na2,Ge1_3_-1_-1_-1,17.666001945828,0.5,1.5,0.5
Ge1,Ge1_4_-1_-1_-1,19.5708106724019,1.25,0.5,1.25
Ga1,Ge1_4_-1_-1_-1,17.6224803355544,1.183,0.683,0.933
Ge2,Ge1_4_-1_-1_-1,16.5243655034892,1,0.81,0.866
Na1,Ge1_4_-1_-1_-1,14.342040172601,1,0.5,0.75
Na2,Ge1_4_-1_-1_-1,18.8320213499507,1.25,1,0.75
Ge1,Ge1_5_-1_-1_-1,18.0630403275584,0.75,0.25,1.5
Ga1,Ge1_5_-1_-1_-1,15.2656672251822,0.683,0.433,1.183
Ge2,Ge1_5_-1_-1_-1,14.3284077663886,0.5,0.56,1.116
Na1,Ge1_5_-1_-1_-1,12.2045447195911,0.5,0.25,1
Na2,Ge1_5_-1_-1_-1,15.5292826339467,0.75,0.75,1
Ge1,Ge1_6_-1_-1_-1,18.4515372530313,1,1,1
Ga1,Ge1_6_-1_-1_-1,17.6224803355544,0.933,1.183,0.683
Ge2,Ge1_6_-1_-1_-1,17.3681671560618,0.75,1.31,0.616
Na1,Ge1_6_-1_-1_-1,14.342040172601,0.75,1,0.5
