Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Ba1,Ba1_1_-1_-1_-1,9.08426007553725,0.5,0.5,0.5
Ba2,Ba1_1_-1_-1_-1,14.1220561902295,0.75,1,0.5
Ga1,Ba1_1_-1_-1_-1,14.1220561902295,0.75,0.5,1
Si1,Ba1_1_-1_-1_-1,12.4472531555011,0.6851,0.6851,0.6851
Ga2,Ba1_1_-1_-1_-1,12.4472531555011,0.6851,0.6851,0.6851
Si3,Ba1_1_-1_-1_-1,11.8940806572493,0.5,0.8075,0.6194
Ga3,Ba1_1_-1_-1_-1,11.8940806572493,0.5,0.8075,0.6194
Ba1,Ba1_25_-1_-1_-1,18.1685201510745,1,1,1
Ba2,Ba1_25_-1_-1_-1,23.0114666094971,1.25,1.5,1
Ga1,Ba1_25_-1_-1_-1,23.0114666094971,1.25,1,1.5
Si1,Ba1_25_-1_-1_-1,21.5315132310384,1.1851,1.1851,1.1851
Ga2,Ba1_25_-1_-1_-1,21.5315132310384,1.1851,1.1851,1.1851
Si3,Ba1_25_-1_-1_-1,20.8809251292814,1,1.3075,1.1194
Ga3,Ba1_25_-1_-1_-1,20.8809251292814,1,1.3075,1.1194
Ba1,Ba2_1_-1_-1_-1,12.0173465024522,0.5,1,0.25
Ba2,Ba2_1_-1_-1_-1,17.7859821477477,0.75,1.5,0.25
Ga1,Ba2_1_-1_-1_-1,15.2910882490423,0.75,1,0.75
Si1,Ba2_1_-1_-1_-1,15.0668636931294,0.6851,1.1851,0.4351
Ga2,Ba2_1_-1_-1_-1,15.0668636931294,0.6851,1.1851,0.4351
Si3,Ba2_1_-1_-1_-1,15.1864363101815,0.5,1.3075,0.3694
Ga3,Ba2_1_-1_-1_-1,15.1864363101815,0.5,1.3075,0.3694
Ba1,Ba2_2_-1_-1_-1,14.1220561902295,1,0.75,0.5
Ba2,Ba2_2_-1_-1_-1,19.2706257044238,1.25,1.25,0.5
Ga1,Ba2_2_-1_-1_-1,18.543168229836,1.25,0.75,1
Si1,Ba2_2_-1_-1_-1,17.389453838685,1.1851,0.9351,0.6851
Ga2,Ba2_2_-1_-1_-1,17.389453838685,1.1851,0.9351,0.6851
Si3,Ba2_2_-1_-1_-1,16.5920227739342,1,1.0575,0.6194
Ga3,Ba2_2_-1_-1_-1,16.5920227739342,1,1.0575,0.6194
Ba1,Ba2_3_-1_-1_-1,12.0173465024522,0.25,0.5,1
Ba2,Ba2_3_-1_-1_-1,15.7344,0.5,1,1
Ga1,Ba2_3_-1_-1_-1,17.395033700456,0.5,0.5,1.5
Si1,Ba2_3_-1_-1_-1,15.0668636931294,0.4351,0.6851,1.1851
Ga2,Ba2_3_-1_-1_-1,15.0668636931294,0.4351,0.6851,1.1851
Si3,Ba2_3_-1_-1_-1,14.713931373887,0.25,0.8075,1.1194
Ga3,Ba2_3_-1_-1_-1,14.713931373887,0.25,0.8075,1.1194
Ba1,Ba2_4_-1_-1_-1,14.1220561902295,0.5,1,0.75
Ba2,Ba2_4_-1_-1_-1,19.2706257044238,0.75,1.5,0.75
Ga1,Ba2_4_-1_-1_-1,18.543168229836,0.75,1,1.25
Si1,Ba2_4_-1_-1_-1,17.389453838685,0.6851,1.1851,0.9351
Ga2,Ba2_4_-1_-1_-1,17.389453838685,0.6851,1.1851,0.9351
Si3,Ba2_4_-1_-1_-1,17.2852968686541,0.5,1.3075,0.8694
Ga3,Ba2_4_-1_-1_-1,17.2852968686541,0.5,1.3075,0.8694
