Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Ce1,Ce1_1_-1_-1_-1,8.99479965132632,0.5,0.5,0.5
Ba1,Ce1_1_-1_-1_-1,8.99479965132632,0.5,0.5,0.5
Ba2,Ce1_1_-1_-1_-1,13.9829843090853,0.75,1,0.5
Au1,Ce1_1_-1_-1_-1,13.9829843090853,0.75,0.5,1
Si1,Ce1_1_-1_-1_-1,13.9829843090853,0.75,0.5,1
Si2,Ce1_1_-1_-1_-1,12.2892349716211,0.68313,0.68313,0.68313
Si3,Ce1_1_-1_-1_-1,11.7343818269471,0.5,0.80366,0.6169
Au2,Ce1_1_-1_-1_-1,11.7343818269471,0.5,0.80366,0.6169
Ce1,Ce1_25_-1_-1_-1,17.9895993026526,1,1,1
Ba1,Ce1_25_-1_-1_-1,17.9895993026526,1,1,1
Ba2,Ce1_25_-1_-1_-1,22.7848531541927,1.25,1.5,1
Au1,Ce1_25_-1_-1_-1,22.7848531541927,1.25,1,1.5
Si1,Ce1_25_-1_-1_-1,22.7848531541927,1.25,1,1.5
Si2,Ce1_25_-1_-1_-1,21.2840346229474,1.18313,1.18313,1.18313
Si3,Ce1_25_-1_-1_-1,20.6345095633599,1,1.30366,1.1169
Au2,Ce1_25_-1_-1_-1,20.6345095633599,1,1.30366,1.1169
Ce1,Ba2_1_-1_-1_-1,11.89900148513,0.5,1,0.25
Ba1,Ba2_1_-1_-1_-1,11.89900148513,0.5,1,0.25
Ba2,Ba2_1_-1_-1_-1,17.6108284759335,0.75,1.5,0.25
Au1,Ba2_1_-1_-1_-1,15.1405039163579,0.75,1,0.75
Si1,Ba2_1_-1_-1_-1,15.1405039163579,0.75,1,0.75
Si2,Ba2_1_-1_-1_-1,14.8856544023692,0.68313,1.18313,0.43313
Si3,Ba2_1_-1_-1_-1,14.9942527995921,0.5,1.30366,0.3669
Au2,Ba2_1_-1_-1_-1,14.9942527995921,0.5,1.30366,0.3669
Ce1,Ba2_2_-1_-1_-1,13.9829843090853,1,0.75,0.5
Ba1,Ba2_2_-1_-1_-1,13.9829843090853,1,0.75,0.5
Ba2,Ba2_2_-1_-1_-1,19.0808514866017,1.25,1.25,0.5
Au1,Ba2_2_-1_-1_-1,18.3605579035946,1.25,0.75,1
Si1,Ba2_2_-1_-1_-1,18.3605579035946,1.25,0.75,1
Si2,Ba2_2_-1_-1_-1,17.183582608951,1.18313,0.93313,0.68313
Si3,Ba2_2_-1_-1_-1,16.3918224155029,1,1.05366,0.6169
Au2,Ba2_2_-1_-1_-1,16.3918224155029,1,1.05366,0.6169
Ce1,Ba2_3_-1_-1_-1,11.89900148513,0.25,0.5,1
Ba1,Ba2_3_-1_-1_-1,11.89900148513,0.25,0.5,1
Ba2,Ba2_3_-1_-1_-1,15.57945,0.5,1,1
Au1,Ba2_3_-1_-1_-1,17.2237300300341,0.5,0.5,1.5
Si1,Ba2_3_-1_-1_-1,17.2237300300341,0.5,0.5,1.5
Si2,Ba2_3_-1_-1_-1,14.8856544023692,0.43313,0.68313,1.18313
Si3,Ba2_3_-1_-1_-1,14.5253621832012,0.25,0.80366,1.1169
Au2,Ba2_3_-1_-1_-1,14.5253621832012,0.25,0.80366,1.1169
Ce1,Ba2_4_-1_-1_-1,13.9829843090853,0.5,1,0.75
Ba1,Ba2_4_-1_-1_-1,13.9829843090853,0.5,1,0.75
Ba2,Ba2_4_-1_-1_-1,19.0808514866017,0.75,1.5,0.75
Au1,Ba2_4_-1_-1_-1,18.3605579035946,0.75,1,1.25
Si1,Ba2_4_-1_-1_-1,18.3605579035946,0.75,1,1.25
Si2,Ba2_4_-1_-1_-1,17.183582608951,0.68313,1.18313,0.93313
Si3,Ba2_4_-1_-1_-1,17.0697347659545,0.5,1.30366,0.8669
Au2,Ba2_4_-1_-1_-1,17.0697347659545,0.5,1.30366,0.8669
Ce1,Ba2_5_-1_-1_-1,11.89900148513,1,0.25,0.5
Ba1,Ba2_5_-1_-1_-1,11.89900148513,1,0.25,0.5
Ba2,Ba2_5_-1_-1_-1,16.0063632897592,1.25,0.75,0.5
Au1,Ba2_5_-1_-1_-1,16.8277292789684,1.25,0.25,1
Si1,Ba2_5_-1_-1_-1,16.8277292789684,1.25,0.25,1
Si2,Ba2_5_-1_-1_-1,14.8856544023692,1.18313,0.43313,0.68313
Si3,Ba2_5_-1_-1_-1,13.4906203199126,1,0.55366,0.6169
Au2,Ba2_5_-1_-1_-1,13.4906203199126,1,0.55366,0.6169
Ce1,Ba2_6_-1_-1_-1,13.9829843090853,0.75,0.5,1
Ba1,Ba2_6_-1_-1_-1,13.9829843090853,0.75,0.5,1
Ba2,Ba2_6_-1_-1_-1,17.9895993026526,1,1,1
Au1,Ba2_6_-1_-1_-1,19.4309880581251,1,0.5,1.5
Si1,Ba2_6_-1_-1_-1,19.4309880581251,1,0.5,1.5
Si2,Ba2_6_-1_-1_-1,17.183582608951,0.93313,0.68313,1.18313
Si3,Ba2_6_-1_-1_-1,16.2764787468965,0.75,0.80366,1.1169
Au2,Ba2_6_-1_-1_-1,16.2764787468965,0.75,0.80366,1.1169
Ce1,Au1_1_-1_-1_-1,11.89900148513,1,0.5,0.25
Ba1,Au1_1_-1_-1_-1,11.89900148513,1,0.5,0.25
Ba2,Au1_1_-1_-1_-1,16.8277292789684,1.25,1,0.25
Au1,Au1_1_-1_-1_-1,16.0063632897592,1.25,0.5,0.75
Si1,Au1_1_-1_-1_-1,16.0063632897592,1.25,0.5,0.75
Si2,Au1_1_-1_-1_-1,14.8856544023692,1.18313,0.68313,0.43313
Si3,Au1_1_-1_-1_-1,13.8589402689286,1,0.80366,0.3669
Au2,Au1_1_-1_-1_-1,13.8589402689286,1,0.80366,0.3669
Ce1,Au1_2_-1_-1_-1,13.9829843090853,0.5,0.75,1
Ba1,Au1_2_-1_-1_-1,13.9829843090853,0.5,0.75,1
Ba2,Au1_2_-1_-1_-1,18.3605579035946,0.75,1.25,1
Au1,Au1_2_-1_-1_-1,19.0808514866017,0.75,0.75,1.5
Si1,Au1_2_-1_-1_-1,19.0808514866017,0.75,0.75,1.5
Si2,Au1_2_-1_-1_-1,17.183582608951,0.68313,0.93313,1.18313
Si3,Au1_2_-1_-1_-1,16.7720737005996,0.5,1.05366,1.1169
Au2,Au1_2_-1_-1_-1,16.7720737005996,0.5,1.05366,1.1169
Ce1,Au1_3_-1_-1_-1,11.89900148513,0.25,1,0.5
Ba1,Au1_3_-1_-1_-1,11.89900148513,0.25,1,0.5
Ba2,Au1_3_-1_-1_-1,17.2237300300341,0.5,1.5,0.5
Au1,Au1_3_-1_-1_-1,15.57945,0.5,1,1
Si1,Au1_3_-1_-1_-1,15.57945,0.5,1,1
Si2,Au1_3_-1_-1_-1,14.8856544023692,0.43313,1.18313,0.68313
Si3,Au1_3_-1_-1_-1,15.2030564057546,0.25,1.30366,0.6169
Au2,Au1_3_-1_-1_-1,15.2030564057546,0.25,1.30366,0.6169
Ce1,Au1_4_-1_-1_-1,13.9829843090853,1,0.5,0.75
Ba1,Au1_4_-1_-1_-1,13.9829843090853,1,0.5,0.75
Ba2,Au1_4_-1_-1_-1,18.3605579035946,1.25,1,0.75
Au1,Au1_4_-1_-1_-1,19.0808514866017,1.25,0.5,1.25
Si1,Au1_4_-1_-1_-1,19.0808514866017,1.25,0.5,1.25
Si2,Au1_4_-1_-1_-1,17.183582608951,1.18313,0.68313,0.93313
Si3,Au1_4_-1_-1_-1,16.0816184925427,1,0.80366,0.8669
Au2,Au1_4_-1_-1_-1,16.0816184925427,1,0.80366,0.8669
Ce1,Au1_5_-1_-1_-1,11.89900148513,0.5,0.25,1
Ba1,Au1_5_-1_-1_-1,11.89900148513,0.5,0.25,1
Ba2,Au1_5_-1_-1_-1,15.1405039163579,0.75,0.75,1
Au1,Au1_5_-1_-1_-1,17.6108284759335,0.75,0.25,1.5
Si1,Au1_5_-1_-1_-1,17.6108284759335,0.75,0.25,1.5
