Atom1,Atom2,Distance,DeltaX,DeltaY,DeltaZ
Ba1,Ba1_1_-1_-1_-1,9.24364339084974,0.5,0.5,0.5
Ba2,Ba1_1_-1_-1_-1,14.3698276230058,0.75,1,0.5
Cu1,Ba1_1_-1_-1_-1,14.3698276230058,0.75,0.5,1
Ge1,Ba1_1_-1_-1_-1,12.6301445835214,0.68318,0.68318,0.68318
Ge2,Ba1_1_-1_-1_-1,12.1582215027779,0.5,0.81478,0.6194
Ba1,Ba1_25_-1_-1_-1,18.4872867816995,1,1,1
Ba2,Ba1_25_-1_-1_-1,23.415202720961,1.25,1.5,1
Cu1,Ba1_25_-1_-1_-1,23.415202720961,1.25,1,1.5
Ge1,Ba1_25_-1_-1_-1,21.8737879743712,1.18318,1.18318,1.18318
Ge2,Ba1_25_-1_-1_-1,21.298399628547,1,1.31478,1.1194
Ba1,Ba2_1_-1_-1_-1,12.2281908101771,0.5,1,0.25
Ba2,Ba2_1_-1_-1_-1,18.0980371502713,0.75,1.5,0.25
Cu1,Ba2_1_-1_-1_-1,15.5593703457241,0.75,1,0.75
Ge1,Ba2_1_-1_-1_-1,15.2983265754615,0.68318,1.18318,0.43318
Ge2,Ba2_1_-1_-1_-1,15.5230941586214,0.5,1.31478,0.3694
Ba1,Ba2_2_-1_-1_-1,14.3698276230058,1,0.75,0.5
Ba2,Ba2_2_-1_-1_-1,19.6087287736202,1.25,1.25,0.5
Cu1,Ba2_2_-1_-1_-1,18.86850805986,1.25,0.75,1
Ge1,Ba2_2_-1_-1_-1,17.6598744147885,1.18318,0.93318,0.68318
Ge2,Ba2_2_-1_-1_-1,16.935178151473,1,1.06478,0.6194
Ba1,Ba2_3_-1_-1_-1,12.2281908101771,0.25,0.5,1
Ba2,Ba2_3_-1_-1_-1,16.01046,0.5,1,1
Cu1,Ba2_3_-1_-1_-1,17.7002295136645,0.5,0.5,1.5
Ge1,Ba2_3_-1_-1_-1,15.2983265754615,0.43318,0.68318,1.18318
Ge2,Ba2_3_-1_-1_-1,15.0169534996601,0.25,0.81478,1.1194
Ba1,Ba2_4_-1_-1_-1,14.3698276230058,0.5,1,0.75
Ba2,Ba2_4_-1_-1_-1,19.6087287736202,0.75,1.5,0.75
Cu1,Ba2_4_-1_-1_-1,18.86850805986,0.75,1,1.25
Ge1,Ba2_4_-1_-1_-1,17.6598744147885,0.68318,1.18318,0.93318
Ge2,Ba2_4_-1_-1_-1,17.6502856245917,0.5,1.31478,0.8694
Ba1,Ba2_5_-1_-1_-1,12.2281908101771,1,0.25,0.5
Ba2,Ba2_5_-1_-1_-1,16.4491839696624,1.25,0.75,0.5
Cu1,Ba2_5_-1_-1_-1,17.2932732870385,1.25,0.25,1
Ge1,Ba2_5_-1_-1_-1,15.2983265754615,1.18318,0.43318,0.68318
Ge2,Ba2_5_-1_-1_-1,13.9274962333397,1,0.56478,0.6194
Ba1,Ba2_6_-1_-1_-1,14.3698276230058,0.75,0.5,1
Ba2,Ba2_6_-1_-1_-1,18.4872867816995,1,1,1
Cu1,Ba2_6_-1_-1_-1,19.9685519748829,1,0.5,1.5
Ge1,Ba2_6_-1_-1_-1,17.6598744147885,0.93318,0.68318,1.18318
Ge2,Ba2_6_-1_-1_-1,16.8069089316196,0.75,0.81478,1.1194
Ba1,Cu1_1_-1_-1_-1,12.2281908101771,1,0.5,0.25
Ba2,Cu1_1_-1_-1_-1,17.2932732870385,1.25,1,0.25
Cu1,Cu1_1_-1_-1_-1,16.4491839696624,1.25,0.5,0.75
Ge1,Cu1_1_-1_-1_-1,15.2983265754615,1.18318,0.68318,0.43318
Ge2,Cu1_1_-1_-1_-1,14.3214747840364,1,0.81478,0.3694
Ba1,Cu1_2_-1_-1_-1,14.3698276230058,0.5,0.75,1
Ba2,Cu1_2_-1_-1_-1,18.86850805986,0.75,1.25,1
Cu1,Cu1_2_-1_-1_-1,19.6087287736202,0.75,0.75,1.5
Ge1,Cu1_2_-1_-1_-1,17.6598744147885,0.68318,0.93318,1.18318
Ge2,Cu1_2_-1_-1_-1,17.3321404901291,0.5,1.06478,1.1194
Ba1,Cu1_3_-1_-1_-1,12.2281908101771,0.25,1,0.5
Ba2,Cu1_3_-1_-1_-1,17.7002295136645,0.5,1.5,0.5
Cu1,Cu1_3_-1_-1_-1,16.01046,0.5,1,1
Ge1,Cu1_3_-1_-1_-1,15.2983265754615,0.43318,1.18318,0.68318
Ge2,Cu1_3_-1_-1_-1,15.7406438791794,0.25,1.31478,0.6194
Ba1,Cu1_4_-1_-1_-1,14.3698276230058,1,0.5,0.75
Ba2,Cu1_4_-1_-1_-1,18.86850805986,1.25,1,0.75
Cu1,Cu1_4_-1_-1_-1,19.6087287736202,1.25,0.5,1.25
Ge1,Cu1_4_-1_-1_-1,17.6598744147885,1.18318,0.68318,0.93318
Ge2,Cu1_4_-1_-1_-1,16.6033361214556,1,0.81478,0.8694
Ba1,Cu1_5_-1_-1_-1,12.2281908101771,0.5,0.25,1
Ba2,Cu1_5_-1_-1_-1,15.5593703457241,0.75,0.75,1
Cu1,Cu1_5_-1_-1_-1,18.0980371502713,0.75,0.25,1.5
Ge1,Cu1_5_-1_-1_-1,15.2983265754615,0.68318,0.43318,1.18318
Ge2,Cu1_5_-1_-1_-1,14.40756697979,0.5,0.56478,1.1194
Ba1,Cu1_6_-1_-1_-1,14.3698276230058,0.75,1,0.5
Ba2,Cu1_6_-1_-1_-1,19.9685519748829,1,1.5,0.5
Cu1,Cu1_6_-1_-1_-1,18.4872867816995,1,1,1
Ge1,Cu1_6_-1_-1_-1,17.6598744147885,0.93318,1.18318,0.68318
Ge2,Cu1_6_-1_-1_-1,17.4565507806081,0.75,1.31478,0.6194
Ba1,Ge1_1_-1_-1_-1,8.72033603442764,0.31682,0.68318,0.31682
Ba2,Ge1_1_-1_-1_-1,14.4057557867316,0.56682,1.18318,0.31682
Cu1,Ge1_1_-1_-1_-1,12.8758554652999,0.56682,0.68318,0.81682
Ge1,Ge1_1_-1_-1_-1,11.9362588806047,0.5,0.86636,0.5
Ge2,Ge1_1_-1_-1_-1,12.1068768250848,0.31682,0.99796,0.43622
Ba1,Ge1_4_-1_-1_-1,10.8527603114137,0.68318,0.31682,0.68318
Ba2,Ge1_4_-1_-1_-1,15.1127387557246,0.93318,0.81682,0.68318
Cu1,Ge1_4_-1_-1_-1,16.4357238514901,0.93318,0.31682,1.18318
Ge1,Ge1_4_-1_-1_-1,14.1245746481949,0.86636,0.5,0.86636
Ge2,Ge1_4_-1_-1_-1,13.1150682201573,0.68318,0.6316,0.80258
Ba1,Ge1_7_-1_-1_-1,8.72033603442764,0.31682,0.31682,0.68318
Ba2,Ge1_7_-1_-1_-1,12.8758554652999,0.56682,0.81682,0.68318
Cu1,Ge1_7_-1_-1_-1,14.4057557867316,0.56682,0.31682,1.18318
Ge1,Ge1_7_-1_-1_-1,11.9362588806047,0.5,0.5,0.86636
Ge2,Ge1_7_-1_-1_-1,11.4134512131836,0.31682,0.6316,0.80258
Ba1,Ge1_10_-1_-1_-1,10.8527603114137,0.68318,0.68318,0.31682
Ba2,Ge1_10_-1_-1_-1,16.4357238514901,0.93318,1.18318,0.31682
Cu1,Ge1_10_-1_-1_-1,15.1127387557246,0.93318,0.68318,0.81682
Ge1,Ge1_10_-1_-1_-1,14.1245746481949,0.86636,0.86636,0.5
Ge2,Ge1_10_-1_-1_-1,13.7227771344373,0.68318,0.99796,0.43622
Ba1,Ge1_13_-1_-1_-1,8.72033603442764,0.68318,0.31682,0.31682
Ba2,Ge1_13_-1_-1_-1,13.6622372573134,0.93318,0.81682,0.31682
Cu1,Ge1_13_-1_-1_-1,13.6622372573134,0.93318,0.31682,0.81682
Ge1,Ge1_13_-1_-1_-1,11.9362588806047,0.86636,0.5,0.5
Ge2,Ge1_13_-1_-1_-1,10.9681265206521,0.68318,0.6316,0.43622
Ba1,Ge1_16_-1_-1_-1,10.8527603114137,0.31682,0.68318,0.68318
Ba2,Ge1_16_-1_-1_-1,15.7880950595888,0.56682,1.18318,0.68318
Cu1,Ge1_16_-1_-1_-1,15.7880950595888,0.56682,0.68318,1.18318
Ge1,Ge1_16_-1_-1_-1,14.1245746481949,0.5,0.86636,0.86636
Ge2,Ge1_16_-1_-1_-1,14.0812528385838,0.31682,0.99796,0.80258
Ba1,Ge1_19_-1_-1_-1,12.6301445835214,0.68318,0.68318,0.68318
Ba2,Ge1_19_-1_-1_-1,17.6598744147885,0.93318,1.18318,0.68318
Cu1,Ge1_19_-1_-1_-1,17.6598744147885,0.93318,0.68318,1.18318
Ge1,Ge1_19_-1_-1_-1,16.0166457761932,0.86636,0.86636,0.86636
Ge2,Ge1_19_-1_-1_-1,15.4925732958661,0.68318,0.99796,0.80258
Ba1,Ge1_22_-1_-1_-1,5.85714219817803,0.31682,0.31682,0.31682
Ba2,Ge1_22_-1_-1_-1,11.1377514849108,0.56682,0.81682,0.31682
Cu1,Ge1_22_-1_-1_-1,11.1377514849108,0.56682,0.31682,0.81682
Ge1,Ge1_22_-1_-1_-1,9.24364339084974,0.5,0.5,0.5
Ge2,Ge1_22_-1_-1_-1,8.86350120152144,0.31682,0.6316,0.43622
Ba1,Ge1_25_-1_-1_-1,12.4838007185251,0.81682,0.81682,0.18318
Ba2,Ge1_25_-1_-1_-1,18.1943292519126,1.06682,1.31682,0.18318
Cu1,Ge1_25_-1_-1_-1,16.0886659453499,1.06682,0.81682,0.68318
Ge1,Ge1_25_-1_-1_-1,15.5930872120679,1,1,0.36636
Ge2,Ge1_25_-1_-1_-1,15.2422723287057,0.81682,1.1316,0.30258
Ba1,Ge1_28_-1_-1_-1,9.14641106412277,0.18318,0.18318,0.81682
Ba2,Ge1_28_-1_-1_-1,12.2703913695592,0.43318,0.68318,0.81682
Cu1,Ge1_28_-1_-1_-1,14.9248433622632,0.43318,0.18318,1.31682
Ge1,Ge1_28_-1_-1_-1,12.0211881716206,0.36636,0.36636,1
Ge2,Ge1_28_-1_-1_-1,11.4860813134049,0.18318,0.49796,0.93622
Ba1,Ge1_31_-1_-1_-1,12.4838007185251,0.81682,0.18318,0.81682
Ba2,Ge1_31_-1_-1_-1,16.0886659453499,1.06682,0.68318,0.81682
Cu1,Ge1_31_-1_-1_-1,18.1943292519126,1.06682,0.18318,1.31682
Ge1,Ge1_31_-1_-1_-1,15.5930872120679,1,0.36636,1
Ge2,Ge1_31_-1_-1_-1,14.2870048983015,0.81682,0.49796,0.93622
Ba1,Ge1_34_-1_-1_-1,9.14641106412277,0.18318,0.81682,0.18318
Ba2,Ge1_34_-1_-1_-1,14.9248433622632,0.43318,1.31682,0.18318
Cu1,Ge1_34_-1_-1_-1,12.2703913695592,0.43318,0.81682,0.68318
Ge1,Ge1_34_-1_-1_-1,12.0211881716206,0.36636,1,0.36636
Ge2,Ge1_34_-1_-1_-1,12.6545810170265,0.18318,1.1316,0.30258
Ba1,Ge1_37_-1_-1_-1,12.4838007185251,0.18318,0.81682,0.81682
Ba2,Ge1_37_-1_-1_-1,17.1737996498746,0.43318,1.31682,0.81682
Cu1,Ge1_37_-1_-1_-1,17.1737996498746,0.43318,0.81682,1.31682
Ge1,Ge1_37_-1_-1_-1,15.5930872120679,0.36636,1,1
Ge2,Ge1_37_-1_-1_-1,15.7976411661558,0.18318,1.1316,0.93622
Ba1,Ge1_40_-1_-1_-1,9.14641106412277,0.81682,0.18318,0.18318
Ba2,Ge1_40_-1_-1_-1,13.6622372573134,1.06682,0.68318,0.18318
Cu1,Ge1_40_-1_-1_-1,13.6622372573134,1.06682,0.18318,0.68318
Ge1,Ge1_40_-1_-1_-1,12.0211881716206,1,0.36636,0.36636
Ge2,Ge1_40_-1_-1_-1,10.7094100335152,0.81682,0.49796,0.30258
Ba1,Ge1_43_-1_-1_-1,3.38650119267171,0.18318,0.18318,0.18318
Ba2,Ge1_43_-1_-1_-1,8.85291247760936,0.43318,0.68318,0.18318
Cu1,Ge1_43_-1_-1_-1,8.85291247760936,0.43318,0.18318,0.68318
Ge1,Ge1_43_-1_-1_-1,6.77300238534342,0.36636,0.36636,0.36636
Ge2,Ge1_43_-1_-1_-1,6.5194338895348,0.18318,0.49796,0.30258
Ba1,Ge1_46_-1_-1_-1,15.1007855890278,0.81682,0.81682,0.81682
Ba2,Ge1_46_-1_-1_-1,20.0803899850811,1.06682,1.31682,0.81682
