Label,x_a,y_b,z_c
Ba1_1,0.5,0.5,0.5
Ba1_25,0,0,0
Ba2_1,0,0.5,0.75
Ba2_2,0.5,0.25,0
Ba2_3,0.75,0,0.5
Ba2_4,0,0.5,0.25
Ba2_5,0.5,0.75,0
Ba2_6,0.25,0,0.5
In1_1,0.5,0,0.75
In1_2,0,0.25,0.5
In1_3,0.75,0.5,0
In1_4,0.5,0,0.25
In1_5,0,0.75,0.5
In1_6,0.25,0.5,0
In2_1,0.68506,0.31494,0.68506
In2_4,0.31494,0.68506,0.31494
In2_7,0.68506,0.68506,0.31494
In2_10,0.31494,0.31494,0.68506
In2_13,0.31494,0.68506,0.68506
In2_16,0.68506,0.31494,0.31494
In2_19,0.31494,0.31494,0.31494
In2_22,0.68506,0.68506,0.68506
In2_25,0.18506,0.18506,0.81494
In2_28,0.81494,0.81494,0.18506
In2_31,0.18506,0.81494,0.18506
In2_34,0.81494,0.18506,0.81494
In2_37,0.81494,0.18506,0.18506
In2_40,0.18506,0.81494,0.81494
In2_43,0.81494,0.81494,0.81494
In2_46,0.18506,0.18506,0.18506
In3_1,0.80571,0.38361,0.5
In3_2,0.61639,0.5,0.80571
In3_3,0.5,0.19429,0.61639
In3_4,0.19429,0.61639,0.5
In3_5,0.38361,0.5,0.19429
In3_6,0.5,0.80571,0.38361
In3_7,0.80571,0.61639,0.5
In3_8,0.61639,0.5,0.19429
In3_10,0.19429,0.38361,0.5
In3_11,0.38361,0.5,0.80571
In3_15,0.5,0.80571,0.61639
In3_18,0.5,0.19429,0.38361
In3_25,0.30571,0,0.88361
In3_26,0.11639,0.30571,0
In3_27,0,0.11639,0.69429
In3_28,0.69429,0,0.11639
In3_29,0.88361,0.69429,0
In3_30,0,0.88361,0.30571
In3_31,0.30571,0,0.11639
In3_32,0.11639,0.69429,0
In3_34,0.69429,0,0.88361
In3_35,0.88361,0.30571,0
In3_39,0,0.11639,0.30571
In3_42,0,0.88361,0.69429
