Label,x_a,y_b,z_c
Ba1_1,0.5,0.5,0.5
Ba1_25,0,0,0
Ba2_1,0.5,0,0.75
Ba2_2,0,0.25,0.5
Ba2_3,0.75,0.5,0
Ba2_4,0.5,0,0.25
Ba2_5,0,0.75,0.5
Ba2_6,0.25,0.5,0
Si1_1,0,0.5,0.75
Si1_2,0.5,0.25,0
Si1_3,0.75,0,0.5
Si1_4,0,0.5,0.25
Si1_5,0.5,0.75,0
Si1_6,0.25,0,0.5
Si2_1,0.68491,0.31509,0.68491
Si2_4,0.31509,0.68491,0.31509
Si2_7,0.68491,0.68491,0.31509
Si2_10,0.31509,0.31509,0.68491
Si2_13,0.31509,0.68491,0.68491
Si2_16,0.68491,0.31509,0.31509
Si2_19,0.31509,0.31509,0.31509
Si2_22,0.68491,0.68491,0.68491
Si2_25,0.18491,0.18491,0.81509
Si2_28,0.81509,0.81509,0.18491
Si2_31,0.18491,0.81509,0.18491
Si2_34,0.81509,0.18491,0.81509
Si2_37,0.81509,0.18491,0.18491
Si2_40,0.18491,0.81509,0.81509
Si2_43,0.81509,0.81509,0.81509
Si2_46,0.18491,0.18491,0.18491
Si3_1,0.62142,0.19377,0.5
Si3_2,0.80623,0.5,0.62142
Si3_3,0.5,0.37858,0.80623
Si3_4,0.37858,0.80623,0.5
Si3_5,0.19377,0.5,0.37858
Si3_6,0.5,0.62142,0.19377
Si3_7,0.62142,0.80623,0.5
Si3_8,0.80623,0.5,0.37858
Si3_10,0.37858,0.19377,0.5
Si3_11,0.19377,0.5,0.62142
Si3_15,0.5,0.62142,0.80623
Si3_18,0.5,0.37858,0.19377
Si3_25,0.12142,0,0.69377
Si3_26,0.30623,0.12142,0
Si3_27,0,0.30623,0.87858
Si3_28,0.87858,0,0.30623
Si3_29,0.69377,0.87858,0
Si3_30,0,0.69377,0.12142
Si3_31,0.12142,0,0.30623
Si3_32,0.30623,0.87858,0
Si3_34,0.87858,0,0.69377
Si3_35,0.69377,0.12142,0
Si3_39,0,0.30623,0.12142
Si3_42,0,0.69377,0.87858
