Label,x_a,y_b,z_c
Ba1_1,0.5,0.5,0.5
Ba1_25,0,0,0
Ba2_1,0.5,0,0.25
Ba2_2,0,0.75,0.5
Ba2_3,0.25,0.5,0
Ba2_4,0.5,0,0.75
Ba2_5,0,0.25,0.5
Ba2_6,0.75,0.5,0
Ga1_1,0.25,0,0.5
Ga1_2,0,0.5,0.25
Ga1_3,0.5,0.75,0
Ga1_4,0.75,0,0.5
Ga1_5,0,0.5,0.75
Ga1_6,0.5,0.25,0
Ga2_1,0.31548,0.68452,0.31548
Ga2_4,0.68452,0.31548,0.68452
Ga2_7,0.31548,0.31548,0.68452
Ga2_10,0.68452,0.68452,0.31548
Ga2_13,0.68452,0.31548,0.31548
Ga2_16,0.31548,0.68452,0.68452
Ga2_19,0.68452,0.68452,0.68452
Ga2_22,0.31548,0.31548,0.31548
Ga2_25,0.81548,0.81548,0.18452
Ga2_28,0.18452,0.18452,0.81548
Ga2_31,0.81548,0.18452,0.81548
Ga2_34,0.18452,0.81548,0.18452
Ga2_37,0.18452,0.81548,0.81548
Ga2_40,0.81548,0.18452,0.18452
Ga2_43,0.18452,0.18452,0.18452
Ga2_46,0.81548,0.81548,0.81548
Ga3_1,0.38183,0.80847,0.5
Ga3_2,0.19153,0.5,0.38183
Ga3_3,0.5,0.61817,0.19153
Ga3_4,0.61817,0.19153,0.5
Ga3_5,0.80847,0.5,0.61817
Ga3_6,0.5,0.38183,0.80847
Ga3_7,0.38183,0.19153,0.5
Ga3_8,0.19153,0.5,0.61817
Ga3_10,0.61817,0.80847,0.5
Ga3_11,0.80847,0.5,0.38183
Ga3_15,0.5,0.38183,0.19153
Ga3_18,0.5,0.61817,0.80847
Ga3_25,0.88183,0,0.30847
Ga3_26,0.69153,0.88183,0
Ga3_27,0,0.69153,0.11817
Ga3_28,0.11817,0,0.69153
Ga3_29,0.30847,0.11817,0
Ga3_30,0,0.30847,0.88183
Ga3_31,0.88183,0,0.69153
Ga3_32,0.69153,0.11817,0
Ga3_34,0.11817,0,0.30847
Ga3_35,0.30847,0.88183,0
Ga3_39,0,0.69153,0.88183
Ga3_42,0,0.30847,0.11817
