Label,x_a,y_b,z_c
K1_1,0.5,0.5,0.5
K1_25,0,0,0
K2_1,0,0.5,0.75
K2_2,0.5,0.25,0
K2_3,0.75,0,0.5
K2_4,0,0.5,0.25
K2_5,0.5,0.75,0
K2_6,0.25,0,0.5
Si1_1,0.5,0,0.75
Si1_2,0,0.25,0.5
Si1_3,0.75,0.5,0
Si1_4,0.5,0,0.25
Si1_5,0,0.75,0.5
Si1_6,0.25,0.5,0
Si2_1,0.6828,0.3172,0.6828
Si2_4,0.3172,0.6828,0.3172
Si2_7,0.6828,0.6828,0.3172
Si2_10,0.3172,0.3172,0.6828
Si2_13,0.3172,0.6828,0.6828
Si2_16,0.6828,0.3172,0.3172
Si2_19,0.3172,0.3172,0.3172
Si2_22,0.6828,0.6828,0.6828
Si2_25,0.1828,0.1828,0.8172
Si2_28,0.8172,0.8172,0.1828
Si2_31,0.1828,0.8172,0.1828
Si2_34,0.8172,0.1828,0.8172
Si2_37,0.8172,0.1828,0.1828
Si2_40,0.1828,0.8172,0.8172
Si2_43,0.8172,0.8172,0.8172
Si2_46,0.1828,0.1828,0.1828
Si3_1,0.6974,0.3026,0.6974
Si3_4,0.3026,0.6974,0.3026
Si3_7,0.6974,0.6974,0.3026
Si3_10,0.3026,0.3026,0.6974
Si3_13,0.3026,0.6974,0.6974
Si3_16,0.6974,0.3026,0.3026
Si3_19,0.3026,0.3026,0.3026
Si3_22,0.6974,0.6974,0.6974
Si3_25,0.1974,0.1974,0.8026
Si3_28,0.8026,0.8026,0.1974
Si3_31,0.1974,0.8026,0.1974
Si3_34,0.8026,0.1974,0.8026
Si3_37,0.8026,0.1974,0.1974
Si3_40,0.1974,0.8026,0.8026
Si3_43,0.8026,0.8026,0.8026
Si3_46,0.1974,0.1974,0.1974
Si4_1,0.8069,0.3841,0.5
Si4_2,0.6159,0.5,0.8069
Si4_3,0.5,0.1931,0.6159
Si4_4,0.1931,0.6159,0.5
Si4_5,0.3841,0.5,0.1931
Si4_6,0.5,0.8069,0.3841
Si4_7,0.8069,0.6159,0.5
Si4_8,0.6159,0.5,0.1931
Si4_10,0.1931,0.3841,0.5
Si4_11,0.3841,0.5,0.8069
Si4_15,0.5,0.8069,0.6159
Si4_18,0.5,0.1931,0.3841
Si4_25,0.3069,0,0.8841
Si4_26,0.1159,0.3069,0
Si4_27,0,0.1159,0.6931
Si4_28,0.6931,0,0.1159
Si4_29,0.8841,0.6931,0
Si4_30,0,0.8841,0.3069
Si4_31,0.3069,0,0.1159
Si4_32,0.1159,0.6931,0
Si4_34,0.6931,0,0.8841
Si4_35,0.8841,0.3069,0
Si4_39,0,0.1159,0.3069
Si4_42,0,0.8841,0.6931
Si5_1,0.7924,0.3748,0.5145
Si5_2,0.6252,0.4855,0.7924
Si5_3,0.5145,0.2076,0.6252
Si5_4,0.2076,0.6252,0.4855
Si5_5,0.3748,0.5145,0.2076
Si5_6,0.4855,0.7924,0.3748
Si5_7,0.7924,0.6252,0.4855
Si5_8,0.6252,0.5145,0.2076
Si5_9,0.5145,0.7924,0.3748
Si5_10,0.2076,0.3748,0.5145
Si5_11,0.3748,0.4855,0.7924
Si5_12,0.4855,0.2076,0.6252
Si5_13,0.2076,0.6252,0.5145
Si5_14,0.3748,0.5145,0.7924
Si5_15,0.4855,0.7924,0.6252
Si5_16,0.7924,0.3748,0.4855
Si5_17,0.6252,0.4855,0.2076
Si5_18,0.5145,0.2076,0.3748
Si5_19,0.2076,0.3748,0.4855
Si5_20,0.3748,0.4855,0.2076
Si5_21,0.4855,0.2076,0.3748
Si5_22,0.7924,0.6252,0.5145
Si5_23,0.6252,0.5145,0.7924
Si5_24,0.5145,0.7924,0.6252
Si5_25,0.2924,0.0145,0.8748
Si5_26,0.1252,0.2924,0.9855
Si5_27,0.0145,0.1252,0.7076
Si5_28,0.7076,0.9855,0.1252
Si5_29,0.8748,0.7076,0.0145
Si5_30,0.9855,0.8748,0.2924
Si5_31,0.2924,0.9855,0.1252
Si5_32,0.1252,0.7076,0.0145
Si5_33,0.0145,0.8748,0.2924
Si5_34,0.7076,0.0145,0.8748
Si5_35,0.8748,0.2924,0.9855
Si5_36,0.9855,0.1252,0.7076
Si5_37,0.7076,0.0145,0.1252
Si5_38,0.8748,0.2924,0.0145
Si5_39,0.9855,0.1252,0.2924
Si5_40,0.2924,0.9855,0.8748
Si5_41,0.1252,0.7076,0.9855
Si5_42,0.0145,0.8748,0.7076
Si5_43,0.7076,0.9855,0.8748
Si5_44,0.8748,0.7076,0.9855
Si5_45,0.9855,0.8748,0.7076
Si5_46,0.2924,0.0145,0.1252
Si5_47,0.1252,0.2924,0.0145
Si5_48,0.0145,0.1252,0.2924
