Label,x_a,y_b,z_c
Rb1_1,0,0,0
Rb1_2,0.5,0.5,0.5
Rb2_1,0.25,0.5,0
Rb2_2,0,0.75,0.5
Rb2_3,0.75,0.5,0
Rb2_4,0,0.25,0.5
Rb2_8,0.5,0,0.25
Rb2_10,0.5,0,0.75
Si1_1,0.25,0,0.5
Si1_2,0.5,0.75,0
Si1_3,0.75,0,0.5
Si1_4,0.5,0.25,0
Si1_8,0,0.5,0.25
Si1_10,0,0.5,0.75
Si21_1,0.1911,0.1912,0.1912
Si21_2,0.3088,0.6911,0.6912
Si21_3,0.8089,0.8088,0.1912
Si21_4,0.6912,0.3089,0.6912
Si21_5,0.6911,0.3088,0.6912
Si21_6,0.1911,0.8088,0.8088
Si21_7,0.6911,0.6912,0.3088
Si21_8,0.6912,0.6912,0.3089
Si21_9,0.8089,0.1912,0.8088
Si21_10,0.3088,0.6912,0.6911
Si21_11,0.1912,0.1911,0.1912
Si21_12,0.1912,0.1912,0.1911
Si21_13,0.8088,0.8088,0.1911
Si21_14,0.1912,0.8089,0.8088
Si21_15,0.8088,0.1912,0.8089
Si21_16,0.8088,0.8089,0.1912
Si21_17,0.8088,0.1911,0.8088
Si21_18,0.1912,0.8088,0.8089
Si21_19,0.6912,0.6911,0.3088
Si21_20,0.3088,0.3089,0.3088
Si21_21,0.3089,0.6912,0.6912
Si21_22,0.3089,0.3088,0.3088
Si21_23,0.6912,0.3088,0.6911
Si21_24,0.3088,0.3088,0.3089
Si21_25,0.8089,0.8088,0.8088
Si21_26,0.6912,0.3089,0.3088
Si21_27,0.1911,0.1912,0.8088
Si21_28,0.3088,0.6911,0.3088
Si21_29,0.3089,0.6912,0.3088
Si21_30,0.8089,0.1912,0.1912
Si21_31,0.3089,0.3088,0.6912
Si21_32,0.3088,0.3088,0.6911
Si21_33,0.1911,0.8088,0.1912
Si21_34,0.6912,0.3088,0.3089
Si21_35,0.8088,0.8089,0.8088
Si21_36,0.8088,0.8088,0.8089
Si21_37,0.1912,0.1912,0.8089
Si21_38,0.8088,0.1911,0.1912
Si21_39,0.1912,0.8088,0.1911
Si21_40,0.1912,0.1911,0.8088
Si21_41,0.1912,0.8089,0.1912
Si21_42,0.8088,0.1912,0.1911
Si21_43,0.3088,0.3089,0.6912
Si21_44,0.6912,0.6911,0.6912
Si21_45,0.6911,0.3088,0.3088
Si21_46,0.6911,0.6912,0.6912
Si21_47,0.3088,0.6912,0.3089
Si21_48,0.6912,0.6912,0.6911
Si31_1,0,0.2972,0.1242
Si31_2,0.2028,0.5,0.6242
Si31_3,0,0.7028,0.1242
Si31_4,0.7972,0.5,0.6242
Si31_5,0.5,0.3758,0.7972
Si31_6,0,0.7028,0.8758
Si31_7,0.5,0.6242,0.2028
Si31_8,0.6242,0.7972,0.5
Si31_9,0,0.2972,0.8758
Si31_10,0.3758,0.7972,0.5
Si31_11,0.1242,0,0.2972
Si31_12,0.2972,0.1242,0
Si31_13,0.7028,0.8758,0
Si31_14,0.1242,0,0.7028
Si31_15,0.7028,0.1242,0
Si31_16,0.8758,0,0.2972
Si31_17,0.8758,0,0.7028
Si31_18,0.2972,0.8758,0
Si31_19,0.7972,0.5,0.3758
Si31_20,0.2028,0.5,0.3758
Si31_21,0.5,0.6242,0.7972
Si31_22,0.5,0.3758,0.2028
Si31_23,0.6242,0.2028,0.5
Si31_24,0.3758,0.2028,0.5
