Label,x_a,y_b,z_c
Ba1_1,0.5,0.5,0.5
Ba1_25,0,0,0
Ba2_1,0.5,0,0.75
Ba2_2,0,0.25,0.5
Ba2_3,0.75,0.5,0
Ba2_4,0.5,0,0.25
Ba2_5,0,0.75,0.5
Ba2_6,0.25,0.5,0
Si1_1,0.616016,0.196362,0.5
Si1_2,0.803638,0.5,0.616016
Si1_3,0.5,0.383984,0.803638
Si1_4,0.383984,0.803638,0.5
Si1_5,0.196362,0.5,0.383984
Si1_6,0.5,0.616016,0.196362
Si1_7,0.616016,0.803638,0.5
Si1_8,0.803638,0.5,0.383984
Si1_10,0.383984,0.196362,0.5
Si1_11,0.196362,0.5,0.616016
Si1_15,0.5,0.616016,0.803638
Si1_18,0.5,0.383984,0.196362
Si1_25,0.116016,0,0.696362
Si1_26,0.303638,0.116016,0
Si1_27,0,0.303638,0.883984
Si1_28,0.883984,0,0.303638
Si1_29,0.696362,0.883984,0
Si1_30,0,0.696362,0.116016
Si1_31,0.116016,0,0.303638
Si1_32,0.303638,0.883984,0
Si1_34,0.883984,0,0.696362
Si1_35,0.696362,0.116016,0
Si1_39,0,0.303638,0.116016
Si1_42,0,0.696362,0.883984
Si2_1,0.684739,0.315261,0.684739
Si2_4,0.315261,0.684739,0.315261
Si2_7,0.684739,0.684739,0.315261
Si2_10,0.315261,0.315261,0.684739
Si2_13,0.315261,0.684739,0.684739
Si2_16,0.684739,0.315261,0.315261
Si2_19,0.315261,0.315261,0.315261
Si2_22,0.684739,0.684739,0.684739
Si2_25,0.184739,0.184739,0.815261
Si2_28,0.815261,0.815261,0.184739
Si2_31,0.184739,0.815261,0.184739
Si2_34,0.815261,0.184739,0.815261
Si2_37,0.815261,0.184739,0.184739
Si2_40,0.184739,0.815261,0.815261
Si2_43,0.815261,0.815261,0.815261
Si2_46,0.184739,0.184739,0.184739
Al3_1,0,0.5,0.75
Al3_2,0.5,0.25,0
Al3_3,0.75,0,0.5
Al3_4,0,0.5,0.25
Al3_5,0.5,0.75,0
Al3_6,0.25,0,0.5
