Label,x_a,y_b,z_c
Ba1_1,0.5,0.5,0.5
Ba1_25,0,0,0
Ba2_1,0.5,0,0.75
Ba2_2,0,0.25,0.5
Ba2_3,0.75,0.5,0
Ba2_4,0.5,0,0.25
Ba2_5,0,0.75,0.5
Ba2_6,0.25,0.5,0
Ge1_1,0.75,0,0.5
Ge1_2,0,0.5,0.75
Ge1_3,0.5,0.25,0
Ge1_4,0.25,0,0.5
Ge1_5,0,0.5,0.25
Ge1_6,0.5,0.75,0
Ge2_1,0.684563,0.315437,0.684563
Ge2_4,0.315437,0.684563,0.315437
Ge2_7,0.684563,0.684563,0.315437
Ge2_10,0.315437,0.315437,0.684563
Ge2_13,0.315437,0.684563,0.684563
Ge2_16,0.684563,0.315437,0.315437
Ge2_19,0.315437,0.315437,0.315437
Ge2_22,0.684563,0.684563,0.684563
Ge2_25,0.184563,0.184563,0.815437
Ge2_28,0.815437,0.815437,0.184563
Ge2_31,0.184563,0.815437,0.184563
Ge2_34,0.815437,0.184563,0.815437
Ge2_37,0.815437,0.184563,0.184563
Ge2_40,0.184563,0.815437,0.815437
Ge2_43,0.815437,0.815437,0.815437
Ge2_46,0.184563,0.184563,0.184563
Ge3_1,0.61762,0.191855,0.5
Ge3_2,0.808145,0.5,0.61762
Ge3_3,0.5,0.38238,0.808145
Ge3_4,0.38238,0.808145,0.5
Ge3_5,0.191855,0.5,0.38238
Ge3_6,0.5,0.61762,0.191855
Ge3_7,0.61762,0.808145,0.5
Ge3_8,0.808145,0.5,0.38238
Ge3_10,0.38238,0.191855,0.5
Ge3_11,0.191855,0.5,0.61762
Ge3_15,0.5,0.61762,0.808145
Ge3_18,0.5,0.38238,0.191855
Ge3_25,0.11762,0,0.691855
Ge3_26,0.308145,0.11762,0
Ge3_27,0,0.308145,0.88238
Ge3_28,0.88238,0,0.308145
Ge3_29,0.691855,0.88238,0
Ge3_30,0,0.691855,0.11762
Ge3_31,0.11762,0,0.308145
Ge3_32,0.308145,0.88238,0
Ge3_34,0.88238,0,0.691855
Ge3_35,0.691855,0.11762,0
Ge3_39,0,0.308145,0.11762
Ge3_42,0,0.691855,0.88238
