Label,x_a,y_b,z_c
Ba1_1,0.5,0.5,0.5
Ba1_25,0,0,0
Ba2_1,0,0.5,0.75
Ba2_2,0.5,0.25,0
Ba2_3,0.75,0,0.5
Ba2_4,0,0.5,0.25
Ba2_5,0.5,0.75,0
Ba2_6,0.25,0,0.5
Cu1_1,0.5,0,0.75
Cu1_2,0,0.25,0.5
Cu1_3,0.75,0.5,0
Cu1_4,0.5,0,0.25
Cu1_5,0,0.75,0.5
Cu1_6,0.25,0.5,0
Ge1_1,0.68242,0.31758,0.68242
Ge1_4,0.31758,0.68242,0.31758
Ge1_7,0.68242,0.68242,0.31758
Ge1_10,0.31758,0.31758,0.68242
Ge1_13,0.31758,0.68242,0.68242
Ge1_16,0.68242,0.31758,0.31758
Ge1_19,0.31758,0.31758,0.31758
Ge1_22,0.68242,0.68242,0.68242
Ge1_25,0.18242,0.18242,0.81758
Ge1_28,0.81758,0.81758,0.18242
Ge1_31,0.18242,0.81758,0.18242
Ge1_34,0.81758,0.18242,0.81758
Ge1_37,0.81758,0.18242,0.18242
Ge1_40,0.18242,0.81758,0.81758
Ge1_43,0.81758,0.81758,0.81758
Ge1_46,0.18242,0.18242,0.18242
Ge2_1,0.8141,0.3806,0.5
Ge2_2,0.6194,0.5,0.8141
Ge2_3,0.5,0.1859,0.6194
Ge2_4,0.1859,0.6194,0.5
Ge2_5,0.3806,0.5,0.1859
Ge2_6,0.5,0.8141,0.3806
Ge2_7,0.8141,0.6194,0.5
Ge2_8,0.6194,0.5,0.1859
Ge2_10,0.1859,0.3806,0.5
Ge2_11,0.3806,0.5,0.8141
Ge2_15,0.5,0.8141,0.6194
Ge2_18,0.5,0.1859,0.3806
Ge2_25,0.3141,0,0.8806
Ge2_26,0.1194,0.3141,0
Ge2_27,0,0.1194,0.6859
Ge2_28,0.6859,0,0.1194
Ge2_29,0.8806,0.6859,0
Ge2_30,0,0.8806,0.3141
Ge2_31,0.3141,0,0.1194
Ge2_32,0.1194,0.6859,0
Ge2_34,0.6859,0,0.8806
Ge2_35,0.8806,0.3141,0
Ge2_39,0,0.1194,0.3141
Ge2_42,0,0.8806,0.6859
