Label,x_a,y_b,z_c
Ge1_1_-1_-1_-1,-0.38443,-0.80101,-0.5
Ge1_2_-1_-1_-1,-0.19899,-0.5,-0.38443
Ge1_3_-1_-1_-1,-0.5,-0.61557,-0.19899
Ge1_4_-1_-1_-1,-0.61557,-0.19899,-0.5
Ge1_5_-1_-1_-1,-0.80101,-0.5,-0.61557
Ge1_6_-1_-1_-1,-0.5,-0.38443,-0.80101
Ge1_7_-1_-1_-1,-0.38443,-0.19899,-0.5
Ge1_8_-1_-1_-1,-0.19899,-0.5,-0.61557
Ge1_10_-1_-1_-1,-0.61557,-0.80101,-0.5
Ge1_11_-1_-1_-1,-0.80101,-0.5,-0.38443
Ge1_15_-1_-1_-1,-0.5,-0.38443,-0.19899
Ge1_18_-1_-1_-1,-0.5,-0.61557,-0.80101
Ge1_25_-1_-1_-1,-0.88443,-1,-0.30101
Ge1_26_-1_-1_-1,-0.69899,-0.88443,-1
Ge1_27_-1_-1_-1,-1,-0.69899,-0.11557
Ge1_28_-1_-1_-1,-0.11557,-1,-0.69899
Ge1_29_-1_-1_-1,-0.30101,-0.11557,-1
Ge1_30_-1_-1_-1,-1,-0.30101,-0.88443
Ge1_31_-1_-1_-1,-0.88443,-1,-0.69899
Ge1_32_-1_-1_-1,-0.69899,-0.11557,-1
Ge1_34_-1_-1_-1,-0.11557,-1,-0.30101
Ge1_35_-1_-1_-1,-0.30101,-0.88443,-1
Ge1_39_-1_-1_-1,-1,-0.69899,-0.88443
Ge1_42_-1_-1_-1,-1,-0.30101,-0.11557
Ge2_1_-1_-1_-1,-0.31632,-0.68368,-0.31632
Ge2_4_-1_-1_-1,-0.68368,-0.31632,-0.68368
Ge2_7_-1_-1_-1,-0.31632,-0.31632,-0.68368
Ge2_10_-1_-1_-1,-0.68368,-0.68368,-0.31632
Ge2_13_-1_-1_-1,-0.68368,-0.31632,-0.31632
Ge2_16_-1_-1_-1,-0.31632,-0.68368,-0.68368
Ge2_19_-1_-1_-1,-0.68368,-0.68368,-0.68368
Ge2_22_-1_-1_-1,-0.31632,-0.31632,-0.31632
Ge2_25_-1_-1_-1,-0.81632,-0.81632,-0.18368
Ge2_28_-1_-1_-1,-0.18368,-0.18368,-0.81632
Ge2_31_-1_-1_-1,-0.81632,-0.18368,-0.81632
Ge2_34_-1_-1_-1,-0.18368,-0.81632,-0.18368
Ge2_37_-1_-1_-1,-0.18368,-0.81632,-0.81632
Ge2_40_-1_-1_-1,-0.81632,-0.18368,-0.18368
Ge2_43_-1_-1_-1,-0.18368,-0.18368,-0.18368
Ge2_46_-1_-1_-1,-0.81632,-0.81632,-0.81632
In3_1_-1_-1_-1,-1,-0.5,-0.25
In3_2_-1_-1_-1,-0.5,-0.75,-1
In3_3_-1_-1_-1,-0.25,-1,-0.5
In3_4_-1_-1_-1,-1,-0.5,-0.75
In3_5_-1_-1_-1,-0.5,-0.25,-1
In3_6_-1_-1_-1,-0.75,-1,-0.5
Rb1_1_-1_-1_-1,-0.5,-1,-0.25
Rb1_2_-1_-1_-1,-1,-0.75,-0.5
Rb1_3_-1_-1_-1,-0.25,-0.5,-1
Rb1_4_-1_-1_-1,-0.5,-1,-0.75
Rb1_5_-1_-1_-1,-1,-0.25,-0.5
Rb1_6_-1_-1_-1,-0.75,-0.5,-1
Eu1_1_-1_-1_-1,-0.5,-0.5,-0.5
Eu1_25_-1_-1_-1,-1,-1,-1
Ge1_1_0_-1_-1,0.61557,-0.80101,-0.5
Ge1_2_0_-1_-1,0.80101,-0.5,-0.38443
Ge1_3_0_-1_-1,0.5,-0.61557,-0.19899
Ge1_4_0_-1_-1,0.38443,-0.19899,-0.5
Ge1_5_0_-1_-1,0.19899,-0.5,-0.61557
Ge1_6_0_-1_-1,0.5,-0.38443,-0.80101
Ge1_7_0_-1_-1,0.61557,-0.19899,-0.5
Ge1_8_0_-1_-1,0.80101,-0.5,-0.61557
Ge1_10_0_-1_-1,0.38443,-0.80101,-0.5
Ge1_11_0_-1_-1,0.19899,-0.5,-0.38443
Ge1_15_0_-1_-1,0.5,-0.38443,-0.19899
Ge1_18_0_-1_-1,0.5,-0.61557,-0.80101
