Label,x_a,y_b,z_c
I1_1_-1_-1_-1,-0.5,-0.5,-0.5
I1_25_-1_-1_-1,-1,-1,-1
I2_1_-1_-1_-1,-1,-0.75,-0.5
I2_2_-1_-1_-1,-0.25,-0.5,-1
I2_3_-1_-1_-1,-0.5,-1,-0.25
I2_4_-1_-1_-1,-1,-0.25,-0.5
I2_5_-1_-1_-1,-0.75,-0.5,-1
I2_6_-1_-1_-1,-0.5,-1,-0.75
Sb1_1_-1_-1_-1,-0.19108,-0.5,-0.38275
Sb1_2_-1_-1_-1,-0.5,-0.61725,-0.19108
Sb1_3_-1_-1_-1,-0.38275,-0.80892,-0.5
Sb1_4_-1_-1_-1,-0.80892,-0.5,-0.61725
Sb1_5_-1_-1_-1,-0.5,-0.38275,-0.80892
Sb1_6_-1_-1_-1,-0.61725,-0.19108,-0.5
Sb1_7_-1_-1_-1,-0.19108,-0.5,-0.61725
Sb1_9_-1_-1_-1,-0.38275,-0.19108,-0.5
Sb1_10_-1_-1_-1,-0.80892,-0.5,-0.38275
Sb1_12_-1_-1_-1,-0.61725,-0.80892,-0.5
Sb1_14_-1_-1_-1,-0.5,-0.38275,-0.19108
Sb1_17_-1_-1_-1,-0.5,-0.61725,-0.80892
Sb1_25_-1_-1_-1,-0.69108,-0.88275,-1
Sb1_26_-1_-1_-1,-1,-0.69108,-0.11725
Sb1_27_-1_-1_-1,-0.88275,-1,-0.30892
Sb1_28_-1_-1_-1,-0.30892,-0.11725,-1
Sb1_29_-1_-1_-1,-1,-0.30892,-0.88275
Sb1_30_-1_-1_-1,-0.11725,-1,-0.69108
Sb1_31_-1_-1_-1,-0.69108,-0.11725,-1
Sb1_33_-1_-1_-1,-0.88275,-1,-0.69108
Sb1_34_-1_-1_-1,-0.30892,-0.88275,-1
Sb1_36_-1_-1_-1,-0.11725,-1,-0.30892
Sb1_38_-1_-1_-1,-1,-0.69108,-0.88275
Sb1_41_-1_-1_-1,-1,-0.30892,-0.11725
Sb2_1_-1_-1_-1,-0.3164,-0.6836,-0.3164
Sb2_4_-1_-1_-1,-0.6836,-0.3164,-0.6836
Sb2_7_-1_-1_-1,-0.3164,-0.3164,-0.6836
Sb2_10_-1_-1_-1,-0.6836,-0.6836,-0.3164
Sb2_13_-1_-1_-1,-0.6836,-0.3164,-0.3164
Sb2_16_-1_-1_-1,-0.3164,-0.6836,-0.6836
Sb2_19_-1_-1_-1,-0.6836,-0.6836,-0.6836
Sb2_22_-1_-1_-1,-0.3164,-0.3164,-0.3164
Sb2_25_-1_-1_-1,-0.8164,-0.8164,-0.1836
Sb2_28_-1_-1_-1,-0.1836,-0.1836,-0.8164
Sb2_31_-1_-1_-1,-0.8164,-0.1836,-0.8164
Sb2_34_-1_-1_-1,-0.1836,-0.8164,-0.1836
Sb2_37_-1_-1_-1,-0.1836,-0.8164,-0.8164
Sb2_40_-1_-1_-1,-0.8164,-0.1836,-0.1836
Sb2_43_-1_-1_-1,-0.1836,-0.1836,-0.1836
Sb2_46_-1_-1_-1,-0.8164,-0.8164,-0.8164
Sb3_1_-1_-1_-1,-0.25,-1,-0.5
Sb3_2_-1_-1_-1,-1,-0.5,-0.25
Sb3_3_-1_-1_-1,-0.5,-0.75,-1
