Label,x_a,y_b,z_c
Na1_1_-1_-1_-1,-0.5,-0.5,-0.5
Na1_25_-1_-1_-1,-1,-1,-1
Cs1_1_-1_-1_-1,-0.5,-1,-0.25
Cs1_2_-1_-1_-1,-1,-0.75,-0.5
Cs1_3_-1_-1_-1,-0.25,-0.5,-1
Cs1_4_-1_-1_-1,-0.5,-1,-0.75
Cs1_5_-1_-1_-1,-1,-0.25,-0.5
Cs1_6_-1_-1_-1,-0.75,-0.5,-1
Zn1_1_-1_-1_-1,-1,-0.5,-0.25
Zn1_2_-1_-1_-1,-0.5,-0.75,-1
Zn1_3_-1_-1_-1,-0.25,-1,-0.5
Zn1_4_-1_-1_-1,-1,-0.5,-0.75
Zn1_5_-1_-1_-1,-0.5,-0.25,-1
Zn1_6_-1_-1_-1,-0.75,-1,-0.5
Ge2_1_-1_-1_-1,-0.31761,-0.68239,-0.31761
Ge2_4_-1_-1_-1,-0.68239,-0.31761,-0.68239
Ge2_7_-1_-1_-1,-0.31761,-0.31761,-0.68239
Ge2_10_-1_-1_-1,-0.68239,-0.68239,-0.31761
Ge2_13_-1_-1_-1,-0.68239,-0.31761,-0.31761
Ge2_16_-1_-1_-1,-0.31761,-0.68239,-0.68239
Ge2_19_-1_-1_-1,-0.68239,-0.68239,-0.68239
Ge2_22_-1_-1_-1,-0.31761,-0.31761,-0.31761
Ge2_25_-1_-1_-1,-0.81761,-0.81761,-0.18239
Ge2_28_-1_-1_-1,-0.18239,-0.18239,-0.81761
Ge2_31_-1_-1_-1,-0.81761,-0.18239,-0.81761
Ge2_34_-1_-1_-1,-0.18239,-0.81761,-0.18239
Ge2_37_-1_-1_-1,-0.18239,-0.81761,-0.81761
Ge2_40_-1_-1_-1,-0.81761,-0.18239,-0.18239
Ge2_43_-1_-1_-1,-0.18239,-0.18239,-0.18239
Ge2_46_-1_-1_-1,-0.81761,-0.81761,-0.81761
Ge3_1_-1_-1_-1,-0.38142,-0.80616,-0.5
Ge3_2_-1_-1_-1,-0.19384,-0.5,-0.38142
Ge3_3_-1_-1_-1,-0.5,-0.61858,-0.19384
Ge3_4_-1_-1_-1,-0.61858,-0.19384,-0.5
Ge3_5_-1_-1_-1,-0.80616,-0.5,-0.61858
Ge3_6_-1_-1_-1,-0.5,-0.38142,-0.80616
Ge3_7_-1_-1_-1,-0.38142,-0.19384,-0.5
Ge3_8_-1_-1_-1,-0.19384,-0.5,-0.61858
Ge3_10_-1_-1_-1,-0.61858,-0.80616,-0.5
Ge3_11_-1_-1_-1,-0.80616,-0.5,-0.38142
Ge3_15_-1_-1_-1,-0.5,-0.38142,-0.19384
Ge3_18_-1_-1_-1,-0.5,-0.61858,-0.80616
Ge3_25_-1_-1_-1,-0.88142,-1,-0.30616
Ge3_26_-1_-1_-1,-0.69384,-0.88142,-1
Ge3_27_-1_-1_-1,-1,-0.69384,-0.11858
Ge3_28_-1_-1_-1,-0.11858,-1,-0.69384
Ge3_29_-1_-1_-1,-0.30616,-0.11858,-1
Ge3_30_-1_-1_-1,-1,-0.30616,-0.88142
Ge3_31_-1_-1_-1,-0.88142,-1,-0.69384
Ge3_32_-1_-1_-1,-0.69384,-0.11858,-1
Ge3_34_-1_-1_-1,-0.11858,-1,-0.30616
Ge3_35_-1_-1_-1,-0.30616,-0.88142,-1
Ge3_39_-1_-1_-1,-1,-0.69384,-0.88142
Ge3_42_-1_-1_-1,-1,-0.30616,-0.11858
Na1_1_0_-1_-1,0.5,-0.5,-0.5
Na1_25_0_-1_-1,0,-1,-1
Cs1_1_0_-1_-1,0.5,-1,-0.25
Cs1_2_0_-1_-1,0,-0.75,-0.5
Cs1_3_0_-1_-1,0.75,-0.5,-1
Cs1_4_0_-1_-1,0.5,-1,-0.75
Cs1_5_0_-1_-1,0,-0.25,-0.5
Cs1_6_0_-1_-1,0.25,-0.5,-1
Zn1_1_0_-1_-1,0,-0.5,-0.25
Zn1_2_0_-1_-1,0.5,-0.75,-1
Zn1_3_0_-1_-1,0.75,-1,-0.5
Zn1_4_0_-1_-1,0,-0.5,-0.75
Zn1_5_0_-1_-1,0.5,-0.25,-1
Zn1_6_0_-1_-1,0.25,-1,-0.5
Ge2_1_0_-1_-1,0.68239,-0.68239,-0.31761
Ge2_4_0_-1_-1,0.31761,-0.31761,-0.68239
Ge2_7_0_-1_-1,0.68239,-0.31761,-0.68239
Ge2_10_0_-1_-1,0.31761,-0.68239,-0.31761
Ge2_13_0_-1_-1,0.31761,-0.31761,-0.31761
Ge2_16_0_-1_-1,0.68239,-0.68239,-0.68239
Ge2_19_0_-1_-1,0.31761,-0.68239,-0.68239
Ge2_22_0_-1_-1,0.68239,-0.31761,-0.31761
Ge2_25_0_-1_-1,0.18239,-0.81761,-0.18239
Ge2_28_0_-1_-1,0.81761,-0.18239,-0.81761
Ge2_31_0_-1_-1,0.18239,-0.18239,-0.81761
Ge2_34_0_-1_-1,0.81761,-0.81761,-0.18239
Ge2_37_0_-1_-1,0.81761,-0.81761,-0.81761
Ge2_40_0_-1_-1,0.18239,-0.18239,-0.18239
Ge2_43_0_-1_-1,0.81761,-0.18239,-0.18239
Ge2_46_0_-1_-1,0.18239,-0.81761,-0.81761
Ge3_1_0_-1_-1,0.61858,-0.80616,-0.5
Ge3_2_0_-1_-1,0.80616,-0.5,-0.38142
Ge3_3_0_-1_-1,0.5,-0.61858,-0.19384
Ge3_4_0_-1_-1,0.38142,-0.19384,-0.5
Ge3_5_0_-1_-1,0.19384,-0.5,-0.61858
Ge3_6_0_-1_-1,0.5,-0.38142,-0.80616
Ge3_7_0_-1_-1,0.61858,-0.19384,-0.5
Ge3_8_0_-1_-1,0.80616,-0.5,-0.61858
Ge3_10_0_-1_-1,0.38142,-0.80616,-0.5
Ge3_11_0_-1_-1,0.19384,-0.5,-0.38142
Ge3_15_0_-1_-1,0.5,-0.38142,-0.19384
Ge3_18_0_-1_-1,0.5,-0.61858,-0.80616
Ge3_25_0_-1_-1,0.11858,-1,-0.30616
Ge3_26_0_-1_-1,0.30616,-0.88142,-1
Ge3_27_0_-1_-1,0,-0.69384,-0.11858
Ge3_28_0_-1_-1,0.88142,-1,-0.69384
Ge3_29_0_-1_-1,0.69384,-0.11858,-1
Ge3_30_0_-1_-1,0,-0.30616,-0.88142
Ge3_31_0_-1_-1,0.11858,-1,-0.69384
Ge3_32_0_-1_-1,0.30616,-0.11858,-1
Ge3_34_0_-1_-1,0.88142,-1,-0.30616
Ge3_35_0_-1_-1,0.69384,-0.88142,-1
Ge3_39_0_-1_-1,0,-0.69384,-0.88142
Ge3_42_0_-1_-1,0,-0.30616,-0.11858
Na1_1_1_-1_-1,1.5,-0.5,-0.5
Na1_25_1_-1_-1,1,-1,-1
Cs1_1_1_-1_-1,1.5,-1,-0.25
Cs1_2_1_-1_-1,1,-0.75,-0.5
