Label,x_a,y_b,z_c
Ba1_1_-1_-1_-1,-0.5,-0.5,-0.5
Ba1_25_-1_-1_-1,-1,-1,-1
Ba2_1_-1_-1_-1,-0.4868,-0.0132,-0.25
Ba2_2_-1_-1_-1,-0.9868,-0.75,-0.4868
Ba2_3_-1_-1_-1,-0.25,-0.5132,-0.9868
Ba2_4_-1_-1_-1,-0.5132,-0.9868,-0.75
Ba2_5_-1_-1_-1,-0.0132,-0.25,-0.5132
Ba2_6_-1_-1_-1,-0.75,-0.4868,-0.0132
Ba2_7_-1_-1_-1,-0.4868,-0.9868,-0.75
Ba2_8_-1_-1_-1,-0.9868,-0.25,-0.5132
Ba2_9_-1_-1_-1,-0.25,-0.4868,-0.0132
Ba2_10_-1_-1_-1,-0.5132,-0.0132,-0.25
Ba2_11_-1_-1_-1,-0.0132,-0.75,-0.4868
Ba2_12_-1_-1_-1,-0.75,-0.5132,-0.9868
Ba2_13_-1_-1_-1,-0.5132,-0.9868,-0.25
Ba2_14_-1_-1_-1,-0.0132,-0.25,-0.4868
Ba2_15_-1_-1_-1,-0.75,-0.4868,-0.9868
Ba2_16_-1_-1_-1,-0.4868,-0.0132,-0.75
Ba2_17_-1_-1_-1,-0.9868,-0.75,-0.5132
Ba2_18_-1_-1_-1,-0.25,-0.5132,-0.0132
Ba2_19_-1_-1_-1,-0.5132,-0.0132,-0.75
Ba2_20_-1_-1_-1,-0.0132,-0.75,-0.5132
Ba2_21_-1_-1_-1,-0.75,-0.5132,-0.0132
Ba2_22_-1_-1_-1,-0.4868,-0.9868,-0.25
Ba2_23_-1_-1_-1,-0.9868,-0.25,-0.4868
Ba2_24_-1_-1_-1,-0.25,-0.4868,-0.9868
Ga1_1_-1_-1_-1,-0.3818,-0.8085,-0.5
Ga1_2_-1_-1_-1,-0.1915,-0.5,-0.3818
Ga1_3_-1_-1_-1,-0.5,-0.6182,-0.1915
Ga1_4_-1_-1_-1,-0.6182,-0.1915,-0.5
Ga1_5_-1_-1_-1,-0.8085,-0.5,-0.6182
Ga1_6_-1_-1_-1,-0.5,-0.3818,-0.8085
Ga1_7_-1_-1_-1,-0.3818,-0.1915,-0.5
Ga1_8_-1_-1_-1,-0.1915,-0.5,-0.6182
Ga1_10_-1_-1_-1,-0.6182,-0.8085,-0.5
Ga1_11_-1_-1_-1,-0.8085,-0.5,-0.3818
Ga1_15_-1_-1_-1,-0.5,-0.3818,-0.1915
Ga1_18_-1_-1_-1,-0.5,-0.6182,-0.8085
Ga1_25_-1_-1_-1,-0.8818,-1,-0.3085
Ga1_26_-1_-1_-1,-0.6915,-0.8818,-1
Ga1_27_-1_-1_-1,-1,-0.6915,-0.1182
Ga1_28_-1_-1_-1,-0.1182,-1,-0.6915
Ga1_29_-1_-1_-1,-0.3085,-0.1182,-1
Ga1_30_-1_-1_-1,-1,-0.3085,-0.8818
Ga1_31_-1_-1_-1,-0.8818,-1,-0.6915
Ga1_32_-1_-1_-1,-0.6915,-0.1182,-1
Ga1_34_-1_-1_-1,-0.1182,-1,-0.3085
Ga1_35_-1_-1_-1,-0.3085,-0.8818,-1
Ga1_39_-1_-1_-1,-1,-0.6915,-0.8818
Ga1_42_-1_-1_-1,-1,-0.3085,-0.1182
Ga2_1_-1_-1_-1,-0.3156,-0.6844,-0.3156
Ga2_4_-1_-1_-1,-0.6844,-0.3156,-0.6844
Ga2_7_-1_-1_-1,-0.3156,-0.3156,-0.6844
Ga2_10_-1_-1_-1,-0.6844,-0.6844,-0.3156
Ga2_13_-1_-1_-1,-0.6844,-0.3156,-0.3156
Ga2_16_-1_-1_-1,-0.3156,-0.6844,-0.6844
Ga2_19_-1_-1_-1,-0.6844,-0.6844,-0.6844
Ga2_22_-1_-1_-1,-0.3156,-0.3156,-0.3156
Ga2_25_-1_-1_-1,-0.8156,-0.8156,-0.1844
Ga2_28_-1_-1_-1,-0.1844,-0.1844,-0.8156
Ga2_31_-1_-1_-1,-0.8156,-0.1844,-0.8156
Ga2_34_-1_-1_-1,-0.1844,-0.8156,-0.1844
Ga2_37_-1_-1_-1,-0.1844,-0.8156,-0.8156
Ga2_40_-1_-1_-1,-0.8156,-0.1844,-0.1844
Ga2_43_-1_-1_-1,-0.1844,-0.1844,-0.1844
