Label,x_a,y_b,z_c
Ba1_1_-1_-1_-1,-0.5,-0.5,-0.5
Ba1_25_-1_-1_-1,-1,-1,-1
Ba2_1_-1_-1_-1,-0.5,-0.044,-0.2456
Ba2_2_-1_-1_-1,-0.956,-0.7544,-0.5
Ba2_3_-1_-1_-1,-0.2456,-0.5,-0.956
Ba2_4_-1_-1_-1,-0.5,-0.956,-0.7544
Ba2_5_-1_-1_-1,-0.044,-0.2456,-0.5
Ba2_6_-1_-1_-1,-0.7544,-0.5,-0.044
Ba2_8_-1_-1_-1,-0.956,-0.2456,-0.5
Ba2_9_-1_-1_-1,-0.2456,-0.5,-0.044
Ba2_11_-1_-1_-1,-0.044,-0.7544,-0.5
Ba2_12_-1_-1_-1,-0.7544,-0.5,-0.956
Ba2_13_-1_-1_-1,-0.5,-0.956,-0.2456
Ba2_16_-1_-1_-1,-0.5,-0.044,-0.7544
Ba2_25_-1_-1_-1,-1,-0.7456,-0.544
Ba2_26_-1_-1_-1,-0.456,-1,-0.2544
Ba2_27_-1_-1_-1,-0.7456,-0.456,-1
Ba2_28_-1_-1_-1,-1,-0.2544,-0.456
Ba2_29_-1_-1_-1,-0.544,-1,-0.7456
Ba2_30_-1_-1_-1,-0.2544,-0.544,-1
Ba2_32_-1_-1_-1,-0.456,-1,-0.7456
Ba2_33_-1_-1_-1,-0.7456,-0.544,-1
Ba2_35_-1_-1_-1,-0.544,-1,-0.2544
Ba2_36_-1_-1_-1,-0.2544,-0.456,-1
Ba2_37_-1_-1_-1,-1,-0.7456,-0.456
Ba2_40_-1_-1_-1,-1,-0.2544,-0.544
Sn1_1_-1_-1_-1,-1,-0.5,-0.25
Sn1_2_-1_-1_-1,-0.5,-0.75,-1
Sn1_3_-1_-1_-1,-0.25,-1,-0.5
Sn1_4_-1_-1_-1,-1,-0.5,-0.75
Sn1_5_-1_-1_-1,-0.5,-0.25,-1
Sn1_6_-1_-1_-1,-0.75,-1,-0.5
Sn2_1_-1_-1_-1,-0.3162,-0.6838,-0.3162
Sn2_4_-1_-1_-1,-0.6838,-0.3162,-0.6838
Sn2_7_-1_-1_-1,-0.3162,-0.3162,-0.6838
Sn2_10_-1_-1_-1,-0.6838,-0.6838,-0.3162
Sn2_13_-1_-1_-1,-0.6838,-0.3162,-0.3162
Sn2_16_-1_-1_-1,-0.3162,-0.6838,-0.6838
Sn2_19_-1_-1_-1,-0.6838,-0.6838,-0.6838
Sn2_22_-1_-1_-1,-0.3162,-0.3162,-0.3162
Sn2_25_-1_-1_-1,-0.8162,-0.8162,-0.1838
Sn2_28_-1_-1_-1,-0.1838,-0.1838,-0.8162
Sn2_31_-1_-1_-1,-0.8162,-0.1838,-0.8162
Sn2_34_-1_-1_-1,-0.1838,-0.8162,-0.1838
Sn2_37_-1_-1_-1,-0.1838,-0.8162,-0.8162
Sn2_40_-1_-1_-1,-0.8162,-0.1838,-0.1838
Sn2_43_-1_-1_-1,-0.1838,-0.1838,-0.1838
Sn2_46_-1_-1_-1,-0.8162,-0.8162,-0.8162
Sn3_1_-1_-1_-1,-0.38193,-0.81192,-0.5
Sn3_2_-1_-1_-1,-0.18808,-0.5,-0.38193
Sn3_3_-1_-1_-1,-0.5,-0.61807,-0.18808
Sn3_4_-1_-1_-1,-0.61807,-0.18808,-0.5
Sn3_5_-1_-1_-1,-0.81192,-0.5,-0.61807
Sn3_6_-1_-1_-1,-0.5,-0.38193,-0.81192
Sn3_7_-1_-1_-1,-0.38193,-0.18808,-0.5
Sn3_8_-1_-1_-1,-0.18808,-0.5,-0.61807
Sn3_10_-1_-1_-1,-0.61807,-0.81192,-0.5
Sn3_11_-1_-1_-1,-0.81192,-0.5,-0.38193
Sn3_15_-1_-1_-1,-0.5,-0.38193,-0.18808
Sn3_18_-1_-1_-1,-0.5,-0.61807,-0.81192
Sn3_25_-1_-1_-1,-0.88193,-1,-0.31192
Sn3_26_-1_-1_-1,-0.68808,-0.88193,-1
Sn3_27_-1_-1_-1,-1,-0.68808,-0.11807
Sn3_28_-1_-1_-1,-0.11807,-1,-0.68808
Sn3_29_-1_-1_-1,-0.31192,-0.11807,-1
Sn3_30_-1_-1_-1,-1,-0.31192,-0.88193
Sn3_31_-1_-1_-1,-0.88193,-1,-0.68808
