Label,x_a,y_b,z_c
Si1_1_-1_-1_-1,-1,-0.5,-0.25
Si1_2_-1_-1_-1,-0.5,-0.75,-1
Si1_3_-1_-1_-1,-0.25,-1,-0.5
Si1_4_-1_-1_-1,-1,-0.5,-0.75
Si1_5_-1_-1_-1,-0.5,-0.25,-1
Si1_6_-1_-1_-1,-0.75,-1,-0.5
In2_1_-1_-1_-1,-0.315,-0.685,-0.315
In2_4_-1_-1_-1,-0.685,-0.315,-0.685
In2_7_-1_-1_-1,-0.315,-0.315,-0.685
In2_10_-1_-1_-1,-0.685,-0.685,-0.315
In2_13_-1_-1_-1,-0.685,-0.315,-0.315
In2_16_-1_-1_-1,-0.315,-0.685,-0.685
In2_19_-1_-1_-1,-0.685,-0.685,-0.685
In2_22_-1_-1_-1,-0.315,-0.315,-0.315
In2_25_-1_-1_-1,-0.815,-0.815,-0.185
In2_28_-1_-1_-1,-0.185,-0.185,-0.815
In2_31_-1_-1_-1,-0.815,-0.185,-0.815
In2_34_-1_-1_-1,-0.185,-0.815,-0.185
In2_37_-1_-1_-1,-0.185,-0.815,-0.815
In2_40_-1_-1_-1,-0.815,-0.185,-0.185
In2_43_-1_-1_-1,-0.185,-0.185,-0.185
In2_46_-1_-1_-1,-0.815,-0.815,-0.815
Si2_1_-1_-1_-1,-0.382,-0.808,-0.5
Si2_2_-1_-1_-1,-0.192,-0.5,-0.382
Si2_3_-1_-1_-1,-0.5,-0.618,-0.192
Si2_4_-1_-1_-1,-0.618,-0.192,-0.5
Si2_5_-1_-1_-1,-0.808,-0.5,-0.618
Si2_6_-1_-1_-1,-0.5,-0.382,-0.808
Si2_7_-1_-1_-1,-0.382,-0.192,-0.5
Si2_8_-1_-1_-1,-0.192,-0.5,-0.618
Si2_10_-1_-1_-1,-0.618,-0.808,-0.5
Si2_11_-1_-1_-1,-0.808,-0.5,-0.382
Si2_15_-1_-1_-1,-0.5,-0.382,-0.192
Si2_18_-1_-1_-1,-0.5,-0.618,-0.808
Si2_25_-1_-1_-1,-0.882,-1,-0.308
Si2_26_-1_-1_-1,-0.692,-0.882,-1
