Label,x_a,y_b,z_c
Sr1_1_-1_-1_-1,-0.5,-0.5,-0.5
Sr1_25_-1_-1_-1,-1,-1,-1
Sr2_1_-1_-1_-1,-0.5,-0.9667,-0.2476
Sr2_2_-1_-1_-1,-0.0333,-0.7524,-0.5
Sr2_3_-1_-1_-1,-0.2476,-0.5,-0.0333
Sr2_4_-1_-1_-1,-0.5,-0.0333,-0.7524
Sr2_5_-1_-1_-1,-0.9667,-0.2476,-0.5
Sr2_6_-1_-1_-1,-0.7524,-0.5,-0.9667
Sr2_8_-1_-1_-1,-0.0333,-0.2476,-0.5
Sr2_9_-1_-1_-1,-0.2476,-0.5,-0.9667
Sr2_11_-1_-1_-1,-0.9667,-0.7524,-0.5
Sr2_12_-1_-1_-1,-0.7524,-0.5,-0.0333
Sr2_13_-1_-1_-1,-0.5,-0.0333,-0.2476
Sr2_16_-1_-1_-1,-0.5,-0.9667,-0.7524
Sr2_25_-1_-1_-1,-1,-0.7476,-0.4667
Sr2_26_-1_-1_-1,-0.5333,-1,-0.2524
Sr2_27_-1_-1_-1,-0.7476,-0.5333,-1
Sr2_28_-1_-1_-1,-1,-0.2524,-0.5333
Sr2_29_-1_-1_-1,-0.4667,-1,-0.7476
Sr2_30_-1_-1_-1,-0.2524,-0.4667,-1
Sr2_32_-1_-1_-1,-0.5333,-1,-0.7476
Sr2_33_-1_-1_-1,-0.7476,-0.4667,-1
Sr2_35_-1_-1_-1,-0.4667,-1,-0.2524
Sr2_36_-1_-1_-1,-0.2524,-0.5333,-1
Sr2_37_-1_-1_-1,-1,-0.7476,-0.5333
Sr2_40_-1_-1_-1,-1,-0.2524,-0.4667
Ge1_1_-1_-1_-1,-1,-0.5,-0.25
Ge1_2_-1_-1_-1,-0.5,-0.75,-1
Ge1_3_-1_-1_-1,-0.25,-1,-0.5
Ge1_4_-1_-1_-1,-1,-0.5,-0.75
Ge1_5_-1_-1_-1,-0.5,-0.25,-1
Ge1_6_-1_-1_-1,-0.75,-1,-0.5
Ge2_1_-1_-1_-1,-0.31582,-0.68418,-0.31582
Ge2_4_-1_-1_-1,-0.68418,-0.31582,-0.68418
Ge2_7_-1_-1_-1,-0.31582,-0.31582,-0.68418
Ge2_10_-1_-1_-1,-0.68418,-0.68418,-0.31582
Ge2_13_-1_-1_-1,-0.68418,-0.31582,-0.31582
Ge2_16_-1_-1_-1,-0.31582,-0.68418,-0.68418
Ge2_19_-1_-1_-1,-0.68418,-0.68418,-0.68418
Ge2_22_-1_-1_-1,-0.31582,-0.31582,-0.31582
Ge2_25_-1_-1_-1,-0.81582,-0.81582,-0.18418
Ge2_28_-1_-1_-1,-0.18418,-0.18418,-0.81582
Ge2_31_-1_-1_-1,-0.81582,-0.18418,-0.81582
Ge2_34_-1_-1_-1,-0.18418,-0.81582,-0.18418
Ge2_37_-1_-1_-1,-0.18418,-0.81582,-0.81582
Ge2_40_-1_-1_-1,-0.81582,-0.18418,-0.18418
Ge2_43_-1_-1_-1,-0.18418,-0.18418,-0.18418
Ge2_46_-1_-1_-1,-0.81582,-0.81582,-0.81582
Ge3_1_-1_-1_-1,-0.38287,-0.80888,-0.5
Ge3_2_-1_-1_-1,-0.19112,-0.5,-0.38287
Ge3_3_-1_-1_-1,-0.5,-0.61713,-0.19112
Ge3_4_-1_-1_-1,-0.61713,-0.19112,-0.5
Ge3_5_-1_-1_-1,-0.80888,-0.5,-0.61713
Ge3_6_-1_-1_-1,-0.5,-0.38287,-0.80888
Ge3_7_-1_-1_-1,-0.38287,-0.19112,-0.5
Ge3_8_-1_-1_-1,-0.19112,-0.5,-0.61713
Ge3_10_-1_-1_-1,-0.61713,-0.80888,-0.5
Ge3_11_-1_-1_-1,-0.80888,-0.5,-0.38287
Ge3_15_-1_-1_-1,-0.5,-0.38287,-0.19112
Ge3_18_-1_-1_-1,-0.5,-0.61713,-0.80888
Ge3_25_-1_-1_-1,-0.88287,-1,-0.30888
Ge3_26_-1_-1_-1,-0.69112,-0.88287,-1
Ge3_27_-1_-1_-1,-1,-0.69112,-0.11713
Ge3_28_-1_-1_-1,-0.11713,-1,-0.69112
Ge3_29_-1_-1_-1,-0.30888,-0.11713,-1
Ge3_30_-1_-1_-1,-1,-0.30888,-0.88287
Ge3_31_-1_-1_-1,-0.88287,-1,-0.69112
Ge3_32_-1_-1_-1,-0.69112,-0.11713,-1
Ge3_34_-1_-1_-1,-0.11713,-1,-0.30888
Ge3_35_-1_-1_-1,-0.30888,-0.88287,-1
Ge3_39_-1_-1_-1,-1,-0.69112,-0.88287
Ge3_42_-1_-1_-1,-1,-0.30888,-0.11713
Sr1_1_0_-1_-1,0.5,-0.5,-0.5
Sr1_25_0_-1_-1,0,-1,-1
Sr2_1_0_-1_-1,0.5,-0.9667,-0.2476
Sr2_2_0_-1_-1,0.9667,-0.7524,-0.5
Sr2_3_0_-1_-1,0.7524,-0.5,-0.0333
Sr2_4_0_-1_-1,0.5,-0.0333,-0.7524
Sr2_5_0_-1_-1,0.0333,-0.2476,-0.5
Sr2_6_0_-1_-1,0.2476,-0.5,-0.9667
Sr2_8_0_-1_-1,0.9667,-0.2476,-0.5
Sr2_9_0_-1_-1,0.7524,-0.5,-0.9667
Sr2_11_0_-1_-1,0.0333,-0.7524,-0.5
Sr2_12_0_-1_-1,0.2476,-0.5,-0.0333
Sr2_13_0_-1_-1,0.5,-0.0333,-0.2476
Sr2_16_0_-1_-1,0.5,-0.9667,-0.7524
