Label,x_a,y_b,z_c
I1_1_-1_-1_-1,-0.5,-0.5,-0.5
I1_25_-1_-1_-1,-1,-1,-1
I2_1_-1_-1_-1,-1,-0.75,-0.5
I2_2_-1_-1_-1,-0.25,-0.5,-1
I2_3_-1_-1_-1,-0.5,-1,-0.25
I2_4_-1_-1_-1,-1,-0.25,-0.5
I2_5_-1_-1_-1,-0.75,-0.5,-1
I2_6_-1_-1_-1,-0.5,-1,-0.75
P1_1_-1_-1_-1,-0.3081,-0.6919,-0.3081
P1_4_-1_-1_-1,-0.6919,-0.3081,-0.6919
P1_7_-1_-1_-1,-0.3081,-0.3081,-0.6919
P1_10_-1_-1_-1,-0.6919,-0.6919,-0.3081
P1_13_-1_-1_-1,-0.6919,-0.3081,-0.3081
P1_16_-1_-1_-1,-0.3081,-0.6919,-0.6919
P1_19_-1_-1_-1,-0.6919,-0.6919,-0.6919
P1_22_-1_-1_-1,-0.3081,-0.3081,-0.3081
P1_25_-1_-1_-1,-0.8081,-0.8081,-0.1919
P1_28_-1_-1_-1,-0.1919,-0.1919,-0.8081
P1_31_-1_-1_-1,-0.8081,-0.1919,-0.8081
P1_34_-1_-1_-1,-0.1919,-0.8081,-0.1919
P1_37_-1_-1_-1,-0.1919,-0.8081,-0.8081
P1_40_-1_-1_-1,-0.8081,-0.1919,-0.1919
P1_43_-1_-1_-1,-0.1919,-0.1919,-0.1919
P1_46_-1_-1_-1,-0.8081,-0.8081,-0.8081
P2_1_-1_-1_-1,-0.25,-1,-0.5
P2_2_-1_-1_-1,-1,-0.5,-0.25
P2_3_-1_-1_-1,-0.5,-0.75,-1
P2_4_-1_-1_-1,-0.75,-1,-0.5
P2_5_-1_-1_-1,-1,-0.5,-0.75
P2_6_-1_-1_-1,-0.5,-0.25,-1
Sn1_1_-1_-1_-1,-1,-0.6913,-0.1132
Sn1_2_-1_-1_-1,-0.3087,-0.8868,-1
Sn1_3_-1_-1_-1,-0.1132,-1,-0.3087
Sn1_4_-1_-1_-1,-1,-0.3087,-0.8868
Sn1_5_-1_-1_-1,-0.6913,-0.1132,-1
Sn1_6_-1_-1_-1,-0.8868,-1,-0.6913
Sn1_8_-1_-1_-1,-0.3087,-0.1132,-1
Sn1_9_-1_-1_-1,-0.1132,-1,-0.6913
Sn1_11_-1_-1_-1,-0.6913,-0.8868,-1
Sn1_12_-1_-1_-1,-0.8868,-1,-0.3087
Sn1_13_-1_-1_-1,-1,-0.3087,-0.1132
Sn1_16_-1_-1_-1,-1,-0.6913,-0.8868
Sn1_25_-1_-1_-1,-0.5,-0.6132,-0.1913
Sn1_26_-1_-1_-1,-0.8087,-0.5,-0.3868
Sn1_27_-1_-1_-1,-0.6132,-0.8087,-0.5
Sn1_28_-1_-1_-1,-0.5,-0.3868,-0.8087
Sn1_29_-1_-1_-1,-0.1913,-0.5,-0.6132
Sn1_30_-1_-1_-1,-0.3868,-0.1913,-0.5
Sn1_32_-1_-1_-1,-0.8087,-0.5,-0.6132
Sn1_33_-1_-1_-1,-0.6132,-0.1913,-0.5
Sn1_35_-1_-1_-1,-0.1913,-0.5,-0.3868
Sn1_36_-1_-1_-1,-0.3868,-0.8087,-0.5
