Label,x_a,y_b,z_c
Ba1_1_-1_-1_-1,-0.5,-0.5,-0.5
Ba1_25_-1_-1_-1,-1,-1,-1
Ba2_1_-1_-1_-1,-0.53685,-1,-0.257
Ba2_2_-1_-1_-1,-1,-0.743,-0.53685
Ba2_3_-1_-1_-1,-0.257,-0.46315,-1
Ba2_4_-1_-1_-1,-0.46315,-1,-0.743
Ba2_5_-1_-1_-1,-1,-0.257,-0.46315
Ba2_6_-1_-1_-1,-0.743,-0.53685,-1
Ba2_7_-1_-1_-1,-0.53685,-1,-0.743
Ba2_9_-1_-1_-1,-0.257,-0.53685,-1
Ba2_10_-1_-1_-1,-0.46315,-1,-0.257
Ba2_12_-1_-1_-1,-0.743,-0.46315,-1
Ba2_14_-1_-1_-1,-1,-0.257,-0.53685
Ba2_17_-1_-1_-1,-1,-0.743,-0.46315
Ba2_25_-1_-1_-1,-0.03685,-0.757,-0.5
Ba2_26_-1_-1_-1,-0.5,-0.03685,-0.243
Ba2_27_-1_-1_-1,-0.757,-0.5,-0.96315
Ba2_28_-1_-1_-1,-0.96315,-0.243,-0.5
Ba2_29_-1_-1_-1,-0.5,-0.96315,-0.757
Ba2_30_-1_-1_-1,-0.243,-0.5,-0.03685
Ba2_31_-1_-1_-1,-0.03685,-0.243,-0.5
Ba2_33_-1_-1_-1,-0.757,-0.5,-0.03685
Ba2_34_-1_-1_-1,-0.96315,-0.757,-0.5
Ba2_36_-1_-1_-1,-0.243,-0.5,-0.96315
Ba2_38_-1_-1_-1,-0.5,-0.03685,-0.757
Ba2_41_-1_-1_-1,-0.5,-0.96315,-0.243
Ga1_1_-1_-1_-1,-1,-0.5,-0.25
Ga1_2_-1_-1_-1,-0.5,-0.75,-1
Ga1_3_-1_-1_-1,-0.25,-1,-0.5
Ga1_4_-1_-1_-1,-1,-0.5,-0.75
Ga1_5_-1_-1_-1,-0.5,-0.25,-1
Ga1_6_-1_-1_-1,-0.75,-1,-0.5
Ga2_1_-1_-1_-1,-0.31588,-0.68412,-0.31588
Ga2_4_-1_-1_-1,-0.68412,-0.31588,-0.68412
Ga2_7_-1_-1_-1,-0.31588,-0.31588,-0.68412
Ga2_10_-1_-1_-1,-0.68412,-0.68412,-0.31588
Ga2_13_-1_-1_-1,-0.68412,-0.31588,-0.31588
Ga2_16_-1_-1_-1,-0.31588,-0.68412,-0.68412
Ga2_19_-1_-1_-1,-0.68412,-0.68412,-0.68412
Ga2_22_-1_-1_-1,-0.31588,-0.31588,-0.31588
Ga2_25_-1_-1_-1,-0.81588,-0.81588,-0.18412
Ga2_28_-1_-1_-1,-0.18412,-0.18412,-0.81588
Ga2_31_-1_-1_-1,-0.81588,-0.18412,-0.81588
Ga2_34_-1_-1_-1,-0.18412,-0.81588,-0.18412
Ga2_37_-1_-1_-1,-0.18412,-0.81588,-0.81588
Ga2_40_-1_-1_-1,-0.81588,-0.18412,-0.18412
Ga2_43_-1_-1_-1,-0.18412,-0.18412,-0.18412
Ga2_46_-1_-1_-1,-0.81588,-0.81588,-0.81588
Ga3_1_-1_-1_-1,-0.38152,-0.81235,-0.5
Ga3_2_-1_-1_-1,-0.18765,-0.5,-0.38152
Ga3_3_-1_-1_-1,-0.5,-0.61848,-0.18765
Ga3_4_-1_-1_-1,-0.61848,-0.18765,-0.5
Ga3_5_-1_-1_-1,-0.81235,-0.5,-0.61848
Ga3_6_-1_-1_-1,-0.5,-0.38152,-0.81235
Ga3_7_-1_-1_-1,-0.38152,-0.18765,-0.5
Ga3_8_-1_-1_-1,-0.18765,-0.5,-0.61848
Ga3_10_-1_-1_-1,-0.61848,-0.81235,-0.5
Ga3_11_-1_-1_-1,-0.81235,-0.5,-0.38152
Ga3_15_-1_-1_-1,-0.5,-0.38152,-0.18765
Ga3_18_-1_-1_-1,-0.5,-0.61848,-0.81235
Ga3_25_-1_-1_-1,-0.88152,-1,-0.31235
Ga3_26_-1_-1_-1,-0.68765,-0.88152,-1
Ga3_27_-1_-1_-1,-1,-0.68765,-0.11848
Ga3_28_-1_-1_-1,-0.11848,-1,-0.68765
Ga3_29_-1_-1_-1,-0.31235,-0.11848,-1
Ga3_30_-1_-1_-1,-1,-0.31235,-0.88152
Ga3_31_-1_-1_-1,-0.88152,-1,-0.68765
