Label,x_a,y_b,z_c
Eu1_1_-1_-1_-1,-0.5,-0.5,-0.5
Eu1_25_-1_-1_-1,-1,-1,-1
Eu2_1_-1_-1_-1,-0.96,-0.75,-0.5
Eu2_2_-1_-1_-1,-0.25,-0.5,-0.96
Eu2_3_-1_-1_-1,-0.5,-0.04,-0.25
Eu2_4_-1_-1_-1,-0.04,-0.25,-0.5
Eu2_5_-1_-1_-1,-0.75,-0.5,-0.04
Eu2_6_-1_-1_-1,-0.5,-0.96,-0.75
Eu2_7_-1_-1_-1,-0.96,-0.25,-0.5
Eu2_8_-1_-1_-1,-0.25,-0.5,-0.04
Eu2_10_-1_-1_-1,-0.04,-0.75,-0.5
Eu2_11_-1_-1_-1,-0.75,-0.5,-0.96
Eu2_15_-1_-1_-1,-0.5,-0.96,-0.25
Eu2_18_-1_-1_-1,-0.5,-0.04,-0.75
Eu2_25_-1_-1_-1,-0.46,-1,-0.25
Eu2_26_-1_-1_-1,-0.75,-0.46,-1
Eu2_27_-1_-1_-1,-1,-0.75,-0.54
Eu2_28_-1_-1_-1,-0.54,-1,-0.75
Eu2_29_-1_-1_-1,-0.25,-0.54,-1
Eu2_30_-1_-1_-1,-1,-0.25,-0.46
Eu2_31_-1_-1_-1,-0.46,-1,-0.75
Eu2_32_-1_-1_-1,-0.75,-0.54,-1
Eu2_34_-1_-1_-1,-0.54,-1,-0.25
Eu2_35_-1_-1_-1,-0.25,-0.46,-1
Eu2_39_-1_-1_-1,-1,-0.75,-0.46
Eu2_42_-1_-1_-1,-1,-0.25,-0.54
Ga1_1_-1_-1_-1,-1,-0.5,-0.25
Ga1_2_-1_-1_-1,-0.5,-0.75,-1
Ga1_3_-1_-1_-1,-0.25,-1,-0.5
Ga1_4_-1_-1_-1,-1,-0.5,-0.75
Ga1_5_-1_-1_-1,-0.5,-0.25,-1
Ga1_6_-1_-1_-1,-0.75,-1,-0.5
Ga2_1_-1_-1_-1,-0.3159,-0.6841,-0.3159
Ga2_4_-1_-1_-1,-0.6841,-0.3159,-0.6841
Ga2_7_-1_-1_-1,-0.3159,-0.3159,-0.6841
Ga2_10_-1_-1_-1,-0.6841,-0.6841,-0.3159
Ga2_13_-1_-1_-1,-0.6841,-0.3159,-0.3159
Ga2_16_-1_-1_-1,-0.3159,-0.6841,-0.6841
Ga2_19_-1_-1_-1,-0.6841,-0.6841,-0.6841
Ga2_22_-1_-1_-1,-0.3159,-0.3159,-0.3159
Ga2_25_-1_-1_-1,-0.8159,-0.8159,-0.1841
Ga2_28_-1_-1_-1,-0.1841,-0.1841,-0.8159
Ga2_31_-1_-1_-1,-0.8159,-0.1841,-0.8159
Ga2_34_-1_-1_-1,-0.1841,-0.8159,-0.1841
Ga2_37_-1_-1_-1,-0.1841,-0.8159,-0.8159
Ga2_40_-1_-1_-1,-0.8159,-0.1841,-0.1841
Ga2_43_-1_-1_-1,-0.1841,-0.1841,-0.1841
