Label,x_a,y_b,z_c
Rb1_1_-1_-1_-1,-0.5,-1,-0.25
Rb1_2_-1_-1_-1,-1,-0.75,-0.5
Rb1_3_-1_-1_-1,-0.25,-0.5,-1
Rb1_4_-1_-1_-1,-0.5,-1,-0.75
Rb1_5_-1_-1_-1,-1,-0.25,-0.5
Rb1_6_-1_-1_-1,-0.75,-0.5,-1
Rb2_1_-1_-1_-1,-0.5,-0.5,-0.5
Rb2_25_-1_-1_-1,-1,-1,-1
Sn1_1_-1_-1_-1,-0.38464,-0.81037,-0.5
Sn1_2_-1_-1_-1,-0.18963,-0.5,-0.38464
Sn1_3_-1_-1_-1,-0.5,-0.61536,-0.18963
Sn1_4_-1_-1_-1,-0.61536,-0.18963,-0.5
Sn1_5_-1_-1_-1,-0.81037,-0.5,-0.61536
Sn1_6_-1_-1_-1,-0.5,-0.38464,-0.81037
Sn1_7_-1_-1_-1,-0.38464,-0.18963,-0.5
Sn1_8_-1_-1_-1,-0.18963,-0.5,-0.61536
Sn1_10_-1_-1_-1,-0.61536,-0.81037,-0.5
Sn1_11_-1_-1_-1,-0.81037,-0.5,-0.38464
Sn1_15_-1_-1_-1,-0.5,-0.38464,-0.18963
Sn1_18_-1_-1_-1,-0.5,-0.61536,-0.81037
Sn1_25_-1_-1_-1,-0.88464,-1,-0.31037
Sn1_26_-1_-1_-1,-0.68963,-0.88464,-1
Sn1_27_-1_-1_-1,-1,-0.68963,-0.11536
Sn1_28_-1_-1_-1,-0.11536,-1,-0.68963
Sn1_29_-1_-1_-1,-0.31037,-0.11536,-1
Sn1_30_-1_-1_-1,-1,-0.31037,-0.88464
Sn1_31_-1_-1_-1,-0.88464,-1,-0.68963
Sn1_32_-1_-1_-1,-0.68963,-0.11536,-1
Sn1_34_-1_-1_-1,-0.11536,-1,-0.31037
Sn1_35_-1_-1_-1,-0.31037,-0.88464,-1
Sn1_39_-1_-1_-1,-1,-0.68963,-0.88464
Sn1_42_-1_-1_-1,-1,-0.31037,-0.11536
Sn2_1_-1_-1_-1,-0.3651,-0.8491,-0.5
Sn2_2_-1_-1_-1,-0.1509,-0.5,-0.3651
