Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Sr1,a,2,1,,0,0,0,,,
Sr2,d,6,1,,0.25,0.5,0,,,
Ga1,c,6,0.37,0.01,0.25,0,0.5,,,
Al1,c,6,0.105,0.002,0.25,0,0.5,,,
Si1,c,6,0.525,0.009,0.25,0,0.5,,,
Ga2,i,16,0.15,0.01,0.1847,0.1847,0.1847,1e-04,1e-04,1e-04
Al2,i,16,0.142,0.002,0.1847,0.1847,0.1847,1e-04,1e-04,1e-04
Si2,i,16,0.708,0.009,0.1847,0.1847,0.1847,1e-04,1e-04,1e-04
Ga3,k,24,0.19,0.01,0,0.3058,0.1168,,2e-04,2e-04
Al3,k,24,0.135,0.002,0,0.3058,0.1168,,2e-04,2e-04
Si3,k,24,0.675,0.009,0,0.3058,0.1168,,2e-04,2e-04
