Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
K1,a,2,0.035,,0,0,0,,,
K2,j,24,0.072,0.001,0.25,0.511,0.011,,0.001,0.001
Ba3,a,2,0.965,,0,0,0,,,
Ba4,j,24,0.178,0.001,0.25,0.511,0.011,,0.001,0.001
Zn1,c,6,0.95,0.01,0.25,0,0.5,,,
Zn2,i,16,0.04,0.01,0.18352,0.18352,0.18352,7e-05,7e-05,7e-05
Zn3,k,24,0.03,,0,0.30955,0.11721,,6e-05,6e-05
Ge1,c,6,0.05,0.01,0.25,0,0.5,,,
Ge2,i,16,0.96,0.01,0.18352,0.18352,0.18352,7e-05,7e-05,7e-05
Ge3,k,24,0.97,,0,0.30955,0.11721,,6e-05,6e-05
