Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Sr1,a,2,0.24,0.004,0,0,0,,,
Eu1,a,2,0.76,0.004,0,0,0,,,
Sr2,k,24,0.169,0.001,0,0.2524,0.4605,,2e-04,1e-04
Eu2,k,24,0.081,0.001,0,0.2524,0.4605,,2e-04,1e-04
Ge1,c,6,0.303,0.006,0.25,0,0.5,,,
Ga1,c,6,0.697,0.006,0.25,0,0.5,,,
Ge2,i,16,0.82,0.005,0.18418,0.18418,0.18418,3e-05,3e-05,3e-05
Ga2,i,16,0.18,0.005,0.18418,0.18418,0.18418,3e-05,3e-05,3e-05
Ge3,k,24,0.691,0.004,0,0.30863,0.11689,,4e-05,4e-05
Ga3,k,24,0.309,0.004,0,0.30863,0.11689,,4e-05,4e-05
