Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
K1,a,2,0.611,0.01,0,0,0,,,
K2,d,6,1,,0.25,0.5,0,,,
As1,c,6,0.5,,0.25,0,0.5,,,
Zn1,c,6,0.5,,0.25,0,0.5,,,
As2,i,16,0.731,0.003,0.18343,0.18343,0.18343,6e-05,6e-05,6e-05
Zn2,i,16,0.1827,6e-04,0.18343,0.18343,0.18343,6e-05,6e-05,6e-05
As3,i,16,0.069,0.003,0.1526,0.1526,0.1526,6e-04,6e-04,6e-04
Zn3,i,16,0.0173,6e-04,0.1526,0.1526,0.1526,6e-04,6e-04,6e-04
As4,k,24,0.5,,0,0.31091,0.11805,,3e-05,3e-05
Zn4,k,24,0.5,,0,0.31091,0.11805,,3e-05,3e-05
