Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Te1,f,6,0.915,0.017,0.26055,0,0.5,8e-05,,
Br1,f,6,0.085,0.017,0.26055,0,0.5,8e-05,,
Br2,b,1,0.494,0.009,0.5,0.5,0.5,,,
Br3,a,1,0.45,0.02,0,0,0,,,
Te2,a,1,0.55,0.02,0,0,0,,,
Si1,i,8,1,,0.18457,0.18457,0.18457,0.00012,0.00012,0.00012
P1,i,8,1,,0.31676,0.31676,0.31676,0.00011,0.00011,0.00011
P2,j,12,1,,0,0.1174,0.30895,,0.00017,0.00018
Si2,k,12,1,,0.19067,0.38313,0.5,0.00017,0.00017,
Si3,g,6,1,,0,0.2478,0.5,,3e-04,
