Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Sr1,a,2,1,,0,0,0,,,
Sr2,d,6,0.02,0.004,-0.25,0.5,0,,,
Sr3,j,24,0.0778,9e-04,-0.25,0.471,0.029,,3e-04,3e-04
Sr4,k,24,0.1688,6e-04,-0.25331,0.45883,0,8e-05,1e-04,
Ga1,c,6,0.3449,3e-04,0,0.5,0.25,,,
Ge1,c,6,0.6467,6e-04,0,0.5,0.25,,,
Ga2,i,16,0.3501,2e-04,0.184023,0.184023,0.184023,7e-06,7e-06,7e-06
Ge2,i,16,0.6565,5e-04,0.184023,0.184023,0.184023,7e-06,7e-06,7e-06
Ga3,k,24,0.3483,2e-04,0,0.30927,0.117099,,1.1e-05,1.1e-05
Ge3,k,24,0.653,4e-04,0,0.30927,0.117099,,1.1e-05,1.1e-05
