Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Cs1,a,2,0.629,0.006,0,0,0,,,
Cs2,d,6,1,,0.25,0.5,0,,,
As1,c,6,0.518,0.016,0.25,0,0.5,,,
Cd1,c,6,0.482,0.016,0.25,0,0.5,,,
As2,i,16,0.703,0.004,0.18522,0.18522,0.18522,9e-05,9e-05,9e-05
Cd2,i,16,0.1758,9e-04,0.18522,0.18522,0.18522,9e-05,9e-05,9e-05
As3,i,16,0.097,0.004,0.1535,0.1535,0.1535,7e-04,7e-04,7e-04
Cd3,i,16,0.0242,9e-04,0.1535,0.1535,0.1535,7e-04,7e-04,7e-04
As4,k,24,0.507,0.011,0,0.30789,0.12113,,5e-05,5e-05
Cd4,k,24,0.493,0.011,0,0.30789,0.12113,,5e-05,5e-05
