Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Te1,a,1,0.935,0.01,0,0,0,,,
Te2,b,1,0.381,0.01,0.5,0.5,0.5,,,
Te3,g,6,1,,0,0.2589,0.5,,6e-04,
P1,f,6,0.31547,8e-05,0,0.5,0.2454,,,9e-04
Si1,f,6,0.68454,8e-05,0,0.5,0.2454,,,9e-04
P2,i,8,0.08774,0.00023,0.18412,0.18412,0.18412,0.00016,0.00016,0.00016
Si2,i,8,0.91226,0.00023,0.18412,0.18412,0.18412,0.00016,0.00016,0.00016
P3,i,8,1,,0.31683,0.31683,0.31683,0.00013,0.00013,0.00013
P4,j,12,0.33376,4e-05,0,0.30675,0.11677,,2e-04,0.00021
Si3,j,12,0.66624,4e-05,0,0.30675,0.11677,,2e-04,0.00021
Si4,k,12,1,,0.18825,0.5,0.38273,0.00021,,0.00022
