Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Te1,a,1,1,,0,0,0,,,
Te2,b,1,0.421,0.01,0.5,0.5,0.5,,,
Te3,g,6,1,,0,0.254,0.5,,7e-04,
P1,f,6,0.2955,0.0013,0,0.5,0.2438,,,7e-04
Si1,f,6,0.7045,0.0013,0,0.5,0.2438,,,7e-04
P2,i,8,0.1023,0.0028,0.18258,0.18258,0.18258,0.00015,0.00015,0.00015
Si2,i,8,0.8977,0.0028,0.18258,0.18258,0.18258,0.00015,0.00015,0.00015
P3,i,8,1,,0.31559,0.31559,0.31559,0.00012,0.00012,0.00012
P4,j,12,0.3343,6e-04,0,0.3065,0.11377,,0.00019,2e-04
Si3,j,12,0.6657,6e-04,0,0.3065,0.11377,,0.00019,2e-04
Si4,k,12,1,,0.18808,0.5,0.37985,0.00021,,0.00021
