Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Ba1,a,2,1,,0,0,0,,,
Ba2,d,6,0.3315,8e-04,0.25,0.5,0,,,
Ba3,k,24,0.1684,5e-04,0.24893,0.5,0.0156,0.00015,,4e-04
Ga1,c,6,0.3427,6e-04,0,0.5,0.25,,,
Ge1,c,6,0.6426,0.0011,0,0.5,0.25,,,
Ga2,i,16,0.3475,5e-04,0.184516,0.184516,0.184516,7e-06,7e-06,7e-06
Ge2,i,16,0.6516,0.001,0.184516,0.184516,0.184516,7e-06,7e-06,7e-06
Ga3,k,24,0.346,5e-04,0,0.30847,0.117977,,1e-05,1e-05
Ge3,k,24,0.6489,0.001,0,0.30847,0.117977,,1e-05,1e-05
