Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Rb1,a,2,1,,0,0,0,,,
Rb2,d,6,1,,0.25,0.5,0,,,
Si1,c,6,1,,0.25,0,0.5,,,
Si21,i,16,0.584,0.004,0.1911,0.1912,0.1912,2e-04,,
Si22,i,16,0.415,0.004,0.1911,0.1912,0.1912,2e-04,,
Si31,k,24,0.944,0.004,0,0.2972,0.1242,,2e-04,2e-04
Si32,k,24,0.055,0.004,0,0.2972,0.1242,,2e-04,2e-04
