Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Cs1,a,2,0.179,0.003,0,0,0,,,
Cs2,d,6,1,,0.25,0.5,0,,,
As1,c,6,0.5,,0.25,0,0.5,,,
Zn1,c,6,0.5,,0.25,0,0.5,,,
As2,i,16,0.7,0.002,0.18383,0.18383,0.18383,6e-05,6e-05,6e-05
Zn2,i,16,0.175,6e-04,0.18383,0.18383,0.18383,6e-05,6e-05,6e-05
As3,i,16,0.1,0.002,0.1528,0.1528,0.1528,4e-04,4e-04,4e-04
Zn3,i,16,0.025,6e-04,0.1528,0.1528,0.1528,4e-04,4e-04,4e-04
As4,k,24,0.5,,0,0.30894,0.11943,,3e-05,4e-05
Zn4,k,24,0.5,,0,0.30894,0.11943,,3e-05,4e-05
