Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Na1,d,6,0.709,0.003,0.25,0.5,0,,,
Sr1,d,6,0.291,0.003,0.25,0.5,0,,,
Na2,a,2,0.395,0.003,0,0,0,,,
Sr2,a,2,0.605,0.003,0,0,0,,,
Si1,k,24,0.8995,7e-04,0,0.30576,0.11653,,3e-05,3e-05
Ga1,k,24,0.1005,7e-04,0,0.30576,0.11653,,3e-05,3e-05
Si2,i,16,0.9656,0.001,0.18442,0.18442,0.18442,3e-05,3e-05,3e-05
Ga2,i,16,0.0344,0.001,0.18442,0.18442,0.18442,3e-05,3e-05,3e-05
Si3,c,6,0.227,0.002,0.25,0,0.5,,,
Ga3,c,6,0.773,0.002,0.25,0,0.5,,,
