Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Te1,a,1,0.9519,0.0018,0,0,0,,,
Te2,b,1,0.0288,0.001,0.5,0.5,0.5,,,
Te3,g,6,1,,0.263898,0.5,0,1.3e-05,,
Si1,f,6,0.75,0.05,0.24562,0,0.5,5e-05,,
P1,f,6,0.25,0.05,0.24562,0,0.5,5e-05,,
Si2,i,8,1,,0.18434,0.18434,0.18434,2e-05,2e-05,2e-05
P2,i,8,1,,0.31739,0.31739,0.31739,2e-05,2e-05,2e-05
Si3,j,12,0.66,0.03,0,0.3083,0.11685,,3e-05,3e-05
P3,j,12,0.34,0.03,0,0.3083,0.11685,,3e-05,3e-05
Si4,k,12,1,,0.5,0.38289,0.18991,,3e-05,3e-05
