Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
K1,a,2,0.149,,0,0,0,,,
K2,j,24,0.153,0.001,0.25,0.51,0.01,,0.001,0.001
Ba3,a,2,0.851,,0,0,0,,,
Ba4,j,24,0.097,0.001,0.25,0.51,0.01,,0.001,0.001
Zn1,c,6,0.93,0.01,0.25,0,0.5,,,
Zn2,i,16,0.01,0.01,0.18332,0.18332,0.18332,7e-05,7e-05,7e-05
Zn3,k,24,0,,0,0.30952,0.11708,,6e-05,6e-05
Ge1,c,6,0.07,0.01,0.25,0,0.5,,,
Ge2,i,16,0.99,0.01,0.18332,0.18332,0.18332,7e-05,7e-05,7e-05
Ge3,k,24,1,,0,0.30952,0.11708,,6e-05,6e-05
