Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Te1,a,1,1,,0,0,0,,,
Te2,b,1,0.3472,0.0016,0.5,0.5,0.5,,,
Te3,g,6,1,,0.261824,0.5,0,9e-06,,
P1,f,6,0.39,0.04,0.2466,0,0.5,3e-05,,
Si1,f,6,0.61,0.04,0.2466,0,0.5,3e-05,,
P2,i,8,0.11,0.03,0.184364,0.184364,0.184364,1.7e-05,1.7e-05,1.7e-05
Si2,i,8,0.89,0.03,0.184364,0.184364,0.184364,1.7e-05,1.7e-05,1.7e-05
P3,i,8,1,,0.316791,0.316791,0.316791,1.4e-05,1.4e-05,1.4e-05
P4,j,12,0.29,0.02,0,0.30857,0.11716,,3e-05,2e-05
Si3,j,12,0.71,0.02,0,0.30857,0.11716,,3e-05,2e-05
Si4,k,12,1,,0.5,0.38272,0.19039,,3e-05,3e-05
