Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Cs1,a,2,1,,0,0,0,,,
Cs2,c,6,1,,0.5,0.25,0,,,
Sb1,d,6,0.43,0.06,0.5,0,0.25,,,
Zn1,d,6,0.16,0.03,0.5,0,0.25,,,
Cd1,d,6,0.41,0.07,0.5,0,0.25,,,
Sb2,i,16,0.83,0.03,0.18294,0.18294,0.18294,3e-05,3e-05,3e-05
Zn2,i,16,0.12,0.02,0.18294,0.18294,0.18294,3e-05,3e-05,3e-05
Cd2,i,16,0.05,0.03,0.18294,0.18294,0.18294,3e-05,3e-05,3e-05
Sb3,k,24,0.51,0.02,0.31204,0,0.11669,5e-05,,5e-05
Zn3,k,24,0.256,0.016,0.31204,0,0.11669,5e-05,,5e-05
Cd3,k,24,0.24,0.02,0.31204,0,0.11669,5e-05,,5e-05
