Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Te1,a,1,0.8382,0.0016,0,0,0,,,
Te2,b,1,0.0385,9e-04,0.5,0.5,0.5,,,
Te3,g,6,1,,0.263766,0.5,0,9e-06,,
Si1,f,6,0.79,0.05,0.24576,0,0.5,4e-05,,
P1,f,6,0.21,0.05,0.24576,0,0.5,4e-05,,
Si2,i,8,1,,0.184526,0.184526,0.184526,1.8e-05,1.8e-05,1.8e-05
P2,i,8,1,,0.3174,0.3174,0.3174,1.5e-05,1.5e-05,1.5e-05
P3,j,12,0.31,0.03,0,0.30828,0.11694,,3e-05,3e-05
Si3,j,12,0.69,0.03,0,0.30828,0.11694,,3e-05,3e-05
Si4,k,12,1,,0.5,0.3829,0.19003,,3e-05,3e-05
