Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Na1,d,6,0.6,0.003,0.25,0.5,0,,,
Sr1,d,6,0.4,0.003,0.25,0.5,0,,,
Na2,a,2,0.3,0.004,0,0,0,,,
Sr2,a,2,0.7,0.004,0,0,0,,,
Si1,k,24,0.8775,7e-04,0,0.30587,0.11661,,3e-05,3e-05
Ga1,k,24,0.1225,7e-04,0,0.30587,0.11661,,3e-05,3e-05
Si2,i,16,0.9521,0.001,0.18454,0.18454,0.18454,3e-05,3e-05,3e-05
Ga2,i,16,0.0479,0.001,0.18454,0.18454,0.18454,3e-05,3e-05,3e-05
Si3,c,6,0.218,0.002,0.25,0,0.5,,,
Ga3,c,6,0.782,0.002,0.25,0,0.5,,,
