Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
K1,a,2,0.375,,0,0,0,,,
K2,j,24,0.215,0.001,0.25,0.509,0.009,,0.001,0.001
Ba3,a,2,0.625,,0,0,0,,,
Ba4,j,24,0.035,0.001,0.25,0.509,0.009,,0.001,0.001
Zn1,c,6,0.8,0.01,0.25,0,0.5,,,
Zn2,i,16,0.01,0.01,0.18323,0.18323,0.18323,6e-05,6e-05,6e-05
Zn3,k,24,0,,0,0.30935,0.11735,,5e-05,5e-05
Ge1,c,6,0.2,0.01,0.25,0,0.5,,,
Ge2,i,16,0.99,0.01,0.18332,0.18332,0.18332,7e-05,7e-05,7e-05
Ge3,k,24,1,,0,0.30935,0.11735,,5e-05,5e-05
