Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Rb1,a,2,0.583,0.007,0,0,0,,,
Rb2,d,6,1,,0.25,0.5,0,,,
As1,c,6,0.5,,0.25,0,0.5,,,
Zn1,c,6,0.5,,0.25,0,0.5,,,
As2,i,16,0.733,0.004,0.18338,0.18338,0.18338,9e-05,9e-05,9e-05
Zn2,i,16,0.1833,9e-04,0.18338,0.18338,0.18338,9e-05,9e-05,9e-05
As3,i,16,0.067,0.004,0.1513,0.1513,0.1513,9e-04,9e-04,9e-04
Zn3,i,16,0.0167,9e-04,0.1513,0.1513,0.1513,9e-04,9e-04,9e-04
As4,k,24,0.5,,0,0.31042,0.11859,,5e-05,5e-05
Zn4,k,24,0.5,,0,0.31042,0.11859,,5e-05,5e-05
