Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Na1,d,6,0.565,0.003,0.25,0.5,0,,,
Sr1,d,6,0.435,0.003,0.25,0.5,0,,,
Na2,a,2,0.266,0.003,0,0,0,,,
Sr2,a,2,0.734,0.003,0,0,0,,,
Si1,k,24,0.8613,8e-04,0,0.30587,0.11662,,4e-05,4e-05
Ga1,k,24,0.1387,8e-04,0,0.30587,0.11662,,4e-05,4e-05
Si2,i,16,0.9387,0.0011,0.18452,0.18452,0.18452,3e-05,3e-05,3e-05
Ga2,i,16,0.0613,0.0011,0.18452,0.18452,0.18452,3e-05,3e-05,3e-05
Si3,c,6,0.202,0.002,0.25,0,0.5,,,
Ga3,c,6,0.798,0.002,0.25,0,0.5,,,
